col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,All
,Rhea Powell,Darrell L Clarke,Tom Young,Micah Mahjoubian,Joe Celentano,Noam Kugelmass,Andi Perez,Amanda Mcillmurray,Marylouise Isaacson,Mariel J K Martin,Jon Geeting,Judi Golding Baker,Matthew D Myers,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,4
,Rhea Powell,Darrell L Clarke,Tom Young,Micah Mahjoubian,Joe Celentano,Amanda Mcillmurray,Marylouise Isaacson,Noam Kugelmass,Mariel J K Martin,Andi Perez,Jon Geeting,Judi Golding Baker,Matthew D Myers,4
Rhea Powell,14,21,29,27,26,22,19,22,16,17,10,11,12,4
Darrell L Clarke,,15,20,14,14,18,17,9,13,16,8,9,13,4
Tom Young,,,10,19,21,14,12,17,14,13,9,4,9,4
Micah Mahjoubian,,,,4,18,15,10,16,13,15,8,7,7,4
Joe Celentano,,,,,4,15,10,16,8,10,7,6,7,4
Amanda Mcillmurray,,,,,,0,19,8,14,15,7,12,9,4
Marylouise Isaacson,,,,,,,1,5,13,12,7,11,10,4
Noam Kugelmass,,,,,,,,2,7,9,4,3,3,4
Mariel J K Martin,,,,,,,,,0,15,6,8,7,4
Andi Perez,,,,,,,,,,0,8,7,9,4
Jon Geeting,,,,,,,,,,,3,3,5,4
Judi Golding Baker,,,,,,,,,,,,0,5,4
Matthew D Myers,,,,,,,,,,,,,0,4
Total,59,49,46,35,34,28,27,27,24,23,17,16,15,4
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,5
,Darrell L Clarke,Rhea Powell,Tom Young,Joe Celentano,Micah Mahjoubian,Andi Perez,Jon Geeting,Noam Kugelmass,Marylouise Isaacson,Amanda Mcillmurray,Judi Golding Baker,Mariel J K Martin,Matthew D Myers,5
Darrell L Clarke,19,5,6,3,4,5,3,2,5,4,3,3,1,5
Rhea Powell,,8,10,7,6,8,5,6,4,4,5,2,2,5
Tom Young,,,1,6,8,8,5,8,5,4,4,3,0,5
Joe Celentano,,,,3,5,3,3,5,2,2,2,2,1,5
Micah Mahjoubian,,,,,3,4,2,5,4,3,1,3,0,5
Andi Perez,,,,,,0,4,4,4,4,5,3,1,5
Jon Geeting,,,,,,,3,4,3,3,2,0,1,5
Noam Kugelmass,,,,,,,,0,2,1,2,1,0,5
Marylouise Isaacson,,,,,,,,,1,5,2,3,1,5
Amanda Mcillmurray,,,,,,,,,,0,2,3,2,5
Judi Golding Baker,,,,,,,,,,,0,2,1,5
Mariel J K Martin,,,,,,,,,,,,0,1,5
Matthew D Myers,,,,,,,,,,,,,0,5
Total,26,22,15,11,11,10,9,8,7,6,5,4,2,5
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,6
,Darrell L Clarke,Micah Mahjoubian,Tom Young,Rhea Powell,Joe Celentano,Noam Kugelmass,Jon Geeting,Mariel J K Martin,Amanda Mcillmurray,Judi Golding Baker,Andi Perez,Marylouise Isaacson,Matthew D Myers,6
Darrell L Clarke,18,3,3,2,2,2,1,2,2,0,1,1,1,6
Micah Mahjoubian,,4,4,3,4,4,1,2,2,0,1,1,1,6
Tom Young,,,4,2,3,4,0,1,2,0,0,1,0,6
Rhea Powell,,,,2,3,2,1,1,1,0,1,1,1,6
Joe Celentano,,,,,0,3,1,1,1,0,1,1,1,6
Noam Kugelmass,,,,,,0,0,1,2,0,0,1,0,6
Jon Geeting,,,,,,,2,1,0,0,1,0,1,6
Mariel J K Martin,,,,,,,,1,1,0,1,0,1,6
Amanda Mcillmurray,,,,,,,,,0,0,0,1,0,6
Judi Golding Baker,,,,,,,,,,2,0,0,0,6
Andi Perez,,,,,,,,,,,0,0,1,6
Marylouise Isaacson,,,,,,,,,,,,0,0,6
Matthew D Myers,,,,,,,,,,,,,0,6
Total,22,9,9,5,4,4,3,3,2,2,1,1,1,6
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,7
,Rhea Powell,Mariel J K Martin,Marylouise Isaacson,Amanda Mcillmurray,Micah Mahjoubian,Andi Perez,Joe Celentano,Tom Young,Judi Golding Baker,Darrell L Clarke,Noam Kugelmass,Jon Geeting,Matthew D Myers,7
Rhea Powell,5,14,16,15,15,14,14,14,13,10,12,8,2,7
Mariel J K Martin,,2,12,12,9,9,8,8,10,8,6,4,3,7
Marylouise Isaacson,,,0,12,10,11,7,8,12,7,7,4,3,7
Amanda Mcillmurray,,,,1,10,10,7,7,12,6,5,5,1,7
Micah Mahjoubian,,,,,0,8,9,9,7,5,9,4,2,7
Andi Perez,,,,,,1,7,8,8,8,5,5,2,7
Joe Celentano,,,,,,,0,13,4,6,7,5,1,7
Tom Young,,,,,,,,0,6,5,9,5,2,7
Judi Golding Baker,,,,,,,,,0,4,4,4,1,7
Darrell L Clarke,,,,,,,,,,1,2,1,1,7
Noam Kugelmass,,,,,,,,,,,1,3,1,7
Jon Geeting,,,,,,,,,,,,1,0,7
Matthew D Myers,,,,,,,,,,,,,0,7
Total,31,20,19,18,18,17,16,16,14,13,13,10,4,7
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,8
,Darrell L Clarke,Rhea Powell,Jon Geeting,Noam Kugelmass,Tom Young,Micah Mahjoubian,Andi Perez,Marylouise Isaacson,Matthew D Myers,Joe Celentano,Judi Golding Baker,Mariel J K Martin,Amanda Mcillmurray,8
Darrell L Clarke,4,4,4,4,3,3,3,2,3,2,2,3,1,8
Rhea Powell,,4,4,6,5,4,3,4,2,3,2,3,2,8
Jon Geeting,,,0,4,4,2,3,3,3,2,2,1,2,8
Noam Kugelmass,,,,0,5,4,3,4,2,3,2,3,2,8
Tom Young,,,,,1,3,2,3,2,3,1,2,2,8
Micah Mahjoubian,,,,,,1,2,3,1,3,1,2,0,8
Andi Perez,,,,,,,0,2,1,1,1,2,1,8
Marylouise Isaacson,,,,,,,,0,1,2,2,1,1,8
Matthew D Myers,,,,,,,,,0,1,2,1,1,8
Joe Celentano,,,,,,,,,,0,0,1,0,8
Judi Golding Baker,,,,,,,,,,,0,1,1,8
Mariel J K Martin,,,,,,,,,,,,0,1,8
Amanda Mcillmurray,,,,,,,,,,,,,0,8
Total,10,10,6,6,6,5,4,4,4,3,3,3,2,8
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,9
,Rhea Powell,Tom Young,Joe Celentano,Micah Mahjoubian,Noam Kugelmass,Darrell L Clarke,Amanda Mcillmurray,Andi Perez,Mariel J K Martin,Jon Geeting,Judi Golding Baker,Marylouise Isaacson,Matthew D Myers,9
Rhea Powell,9,20,18,16,16,7,10,8,10,6,7,7,4,9
Tom Young,,3,18,15,14,8,5,6,7,6,3,5,3,9
Joe Celentano,,,1,14,16,4,4,3,4,4,1,4,1,9
Micah Mahjoubian,,,,3,11,4,3,4,4,3,2,5,1,9
Noam Kugelmass,,,,,0,2,2,3,4,4,1,3,1,9
Darrell L Clarke,,,,,,6,8,6,7,4,6,5,4,9
Amanda Mcillmurray,,,,,,,0,7,9,6,7,6,3,9
Andi Perez,,,,,,,,2,5,7,4,4,3,9
Mariel J K Martin,,,,,,,,,0,4,6,5,3,9
Jon Geeting,,,,,,,,,,1,2,4,4,9
Judi Golding Baker,,,,,,,,,,,0,4,3,9
Marylouise Isaacson,,,,,,,,,,,,0,1,9
Matthew D Myers,,,,,,,,,,,,,0,9
Total,40,28,24,20,19,18,14,13,12,10,8,8,5,9
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,10
