col_1,col_2,col_3,col_4,col_5,order,division
,Representative In Congress 5th District - Republican,,United States Senator - Republican,,1,All
,Pearl Kim,Paul D Addis,Jim Christiana,Lou Barletta,2,All
Pearl Kim,6,0,46,42,3,All
Paul D Addis,,0,0,0,4,All
Jim Christiana,,,7,0,5,All
Lou Barletta,,,,5,6,All
Total,94,0,53,47,7,All
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,1
,Lou Barletta,Jim Christiana,Pearl Kim,Paul D Addis,2,1
Lou Barletta,1,0,5,0,3,1
Jim Christiana,,0,1,0,4,1
Pearl Kim,,,0,0,5,1
Paul D Addis,,,,0,6,1
Total,6,1,6,0,7,1
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,3
,Jim Christiana,Lou Barletta,Pearl Kim,Paul D Addis,2,3
Jim Christiana,1,0,0,0,3,3
Lou Barletta,,0,0,0,4,3
Pearl Kim,,,1,0,5,3
Paul D Addis,,,,0,6,3
Total,1,0,1,0,7,3
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,4
,Lou Barletta,Jim Christiana,Pearl Kim,Paul D Addis,2,4
Lou Barletta,0,0,1,0,3,4
Jim Christiana,,0,0,0,4,4
Pearl Kim,,,0,0,5,4
Paul D Addis,,,,0,6,4
Total,1,0,1,0,7,4
,Representative In Congress 5th District - Republican,,United States Senator - Republican,,1,7
,Pearl Kim,Paul D Addis,Jim Christiana,Lou Barletta,2,7
Pearl Kim,0,0,1,1,3,7
Paul D Addis,,0,0,0,4,7
Jim Christiana,,,0,0,5,7
Lou Barletta,,,,0,6,7
Total,2,0,1,1,7,7
,Representative In Congress 5th District - Republican,,United States Senator - Republican,,1,9
,Pearl Kim,Paul D Addis,Jim Christiana,Lou Barletta,2,9
Pearl Kim,0,0,1,1,3,9
Paul D Addis,,0,0,0,4,9
Jim Christiana,,,0,0,5,9
Lou Barletta,,,,0,6,9
Total,2,0,1,1,7,9
,Representative In Congress 5th District - Republican,,United States Senator - Republican,,1,11
,Pearl Kim,Paul D Addis,Jim Christiana,Lou Barletta,2,11
Pearl Kim,0,0,3,1,3,11
Paul D Addis,,0,0,0,4,11
Jim Christiana,,,0,0,5,11
Lou Barletta,,,,0,6,11
Total,4,0,3,1,7,11
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,12
,Jim Christiana,Lou Barletta,Paul D Addis,Pearl Kim,2,12
Jim Christiana,0,0,0,0,3,12
Lou Barletta,,0,0,0,4,12
Paul D Addis,,,0,0,5,12
Pearl Kim,,,,0,6,12
Total,0,0,0,0,7,12
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,14
,Jim Christiana,Lou Barletta,Pearl Kim,Paul D Addis,2,14
Jim Christiana,1,0,1,0,3,14
Lou Barletta,,0,0,0,4,14
Pearl Kim,,,0,0,5,14
Paul D Addis,,,,0,6,14
Total,2,0,1,0,7,14
,United States Senator - Republican,,Representative In Congress 5th District - Republican,,1,15
,Jim Christiana,Lou Barletta,Pearl Kim,Paul D Addis,2,15
Jim Christiana,0,0,1,0,3,15
Lou Barletta,,0,0,0,4,15
Pearl Kim,,,0,0,5,15
Paul D Addis,,,,0,6,15
Total,1,0,1,0,7,15
