col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Representative In The General Assembly 152nd District - Democrat,Member Of The Democratic State Committee 2nd Senatorial District,,,,,,,,,All
,Daryl Boling,Mona Getzes Cohen,Catherine Bartch,James Harrity,Meagan Ingerson,Richard Lombardo,Erica Vanstone,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,All
Daryl Boling,13,154,121,128,113,104,107,87,88,75,All
Mona Getzes Cohen,,13,75,85,102,75,77,58,56,44,All
Catherine Bartch,,,13,73,60,79,82,74,66,57,All
James Harrity,,,,4,78,88,86,67,77,61,All
Meagan Ingerson,,,,,2,67,77,56,54,43,All
Richard Lombardo,,,,,,3,89,72,80,71,All
Erica Vanstone,,,,,,,0,74,75,67,All
Marnie Aument Loughrey,,,,,,,,0,58,55,All
Frank T Brzozowski,,,,,,,,,2,59,All
Billy Cortes,,,,,,,,,,0,All
Total,243,178,147,140,126,117,116,97,96,80,All
