col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,2,All
Dwight Evans,332,0,"2,342","1,740","1,738","1,420","1,156",995,988,983,607,534,405,331,313,3,All
Kevin Johnson,,114,664,456,466,332,387,327,312,317,216,226,146,155,159,4,All
Kathryn S Huggins,,,43,"1,950","1,917","1,609","1,380","1,136","1,152","1,157",639,675,477,373,397,5,All
Dewayne Drummond,,,,10,"1,788","1,515","1,045","1,025",943,946,470,464,403,299,275,6,All
Ken Washington,,,,,8,"1,531","1,021","1,013",939,903,504,423,391,289,232,7,All
Liam G Boyle,,,,,,2,805,820,744,770,319,340,280,190,131,8,All
Lisa Rhodes,,,,,,,4,420,"1,093",953,392,392,236,262,349,9,All
Kevin Bundy,,,,,,,,3,350,343,433,336,334,216,158,10,All
Linda Norris,,,,,,,,,2,870,339,354,192,202,286,11,All
Monica Maria Djerassi,,,,,,,,,,0,302,452,199,239,268,12,All
John Brady,,,,,,,,,,,2,252,202,194,150,13,All
Rebecca Poyourow,,,,,,,,,,,,1,239,182,221,14,All
Nat Lownes,,,,,,,,,,,,,0,142,126,15,All
Joe Khan,,,,,,,,,,,,,,0,119,16,All
Jacque Whaumbush,,,,,,,,,,,,,,,1,17,All
Total,"3,223",963,"3,134","2,283","2,276","1,812","1,598","1,352","1,340","1,337",838,775,564,494,484,18,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,1,1
,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Kevin Bundy,Rebecca Poyourow,John Brady,Joe Khan,Jacque Whaumbush,Nat Lownes,Dwight Evans,Kevin Johnson,2,1
Kathryn S Huggins,1,27,25,22,19,17,15,11,5,5,2,2,2,24,8,3,1
Dewayne Drummond,,0,25,23,18,17,16,10,6,4,4,2,1,20,7,4,1
Ken Washington,,,0,22,17,16,14,9,4,3,2,2,2,18,7,5,1
Liam G Boyle,,,,0,14,14,14,7,2,1,1,0,1,16,5,6,1
Linda Norris,,,,,0,15,16,4,3,4,1,3,1,13,5,7,1
Monica Maria Djerassi,,,,,,0,13,2,1,0,1,3,1,11,5,8,1
Lisa Rhodes,,,,,,,0,2,2,2,1,1,0,10,5,9,1
Kevin Bundy,,,,,,,,0,4,2,2,2,2,8,4,10,1
Rebecca Poyourow,,,,,,,,,0,3,3,1,1,4,2,11,1
John Brady,,,,,,,,,,0,1,0,0,4,1,12,1
Joe Khan,,,,,,,,,,,0,1,0,2,1,13,1
Jacque Whaumbush,,,,,,,,,,,,0,1,1,2,14,1
Nat Lownes,,,,,,,,,,,,,0,1,1,15,1
Dwight Evans,,,,,,,,,,,,,,7,0,16,1
Kevin Johnson,,,,,,,,,,,,,,,2,17,1
Total,35,30,27,23,20,18,17,12,6,5,4,3,2,33,13,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Monica Maria Djerassi,John Brady,Linda Norris,Jacque Whaumbush,Nat Lownes,Rebecca Poyourow,Joe Khan,2,2
Dwight Evans,4,0,50,36,29,26,20,15,16,9,12,5,5,4,1,3,2
Kevin Johnson,,0,8,2,3,1,3,1,1,4,1,1,0,1,0,4,2
Kathryn S Huggins,,,7,34,26,26,21,16,14,9,11,6,5,5,1,5,2
Ken Washington,,,,0,27,27,15,14,15,4,12,5,3,5,1,6,2
Dewayne Drummond,,,,,1,25,13,13,13,4,10,3,3,3,0,7,2
