col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In Congress 2nd District - Democrat,,All
,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Mariel J K Martin,Tom Young,Amanda Mcillmurray,Judi Golding Baker,Darrell L Clarke,Noam Kugelmass,Joe Celentano,Matthew D Myers,Jon Geeting,Brendan F Boyle,Michele Lawrence,All
Rhea Powell,190,"2,732","2,347","2,324","2,108","1,969","2,544","2,064","1,455","1,905","1,780",948,"1,220","1,101","1,375",All
Marylouise Isaacson,,45,"2,745","2,722","2,670","2,251","2,510","2,545","2,012","1,551","1,390","1,543","1,014","1,069",998,All
Micah Mahjoubian,,,89,"2,415","2,154","2,192","1,805","1,944","1,815","1,599","1,420","1,336",884,"1,003",917,All
Andi Perez,,,,19,"2,389","2,033","1,919","2,070","1,876","1,395","1,231","1,411","1,069","1,002",907,All
Mariel J K Martin,,,,,7,"1,892","2,002","2,121","1,774","1,182","1,039","1,427",781,898,791,All
Tom Young,,,,,,50,"1,461","1,543","1,497","1,370","1,461","1,355",922,985,788,All
Amanda Mcillmurray,,,,,,,21,"1,911","1,246","1,423","1,290",870,966,872,938,All
Judi Golding Baker,,,,,,,,24,"1,655","1,097",889,"1,365",694,709,711,All
Darrell L Clarke,,,,,,,,,85,792,696,"1,364",687,948,679,All
Noam Kugelmass,,,,,,,,,,29,"1,206",560,764,623,709,All
Joe Celentano,,,,,,,,,,,34,558,810,671,650,All
Matthew D Myers,,,,,,,,,,,,8,489,602,359,All
Jon Geeting,,,,,,,,,,,,,46,608,530,All
Brendan F Boyle,,,,,,,,,,,,,,"1,351",0,All
Michele Lawrence,,,,,,,,,,,,,,,"1,066",All
Total,"4,436","4,319","3,861","3,705","3,405","3,355","3,303","3,211","3,066","2,464","2,341","2,063","1,844","3,459","3,077",All
