col_1,col_2,division
,Representative In Congress 2nd District - Republican,1
,David Torres,1
David Torres,21,1
Total,21,1
,Representative In Congress 2nd District - Republican,2
,David Torres,2
David Torres,19,2
Total,19,2
,Representative In Congress 2nd District - Republican,3
,David Torres,3
David Torres,19,3
Total,19,3
,Representative In Congress 2nd District - Republican,4
,David Torres,4
David Torres,25,4
Total,25,4
,Representative In Congress 2nd District - Republican,5
,David Torres,5
David Torres,21,5
Total,21,5
,Representative In Congress 2nd District - Republican,6
,David Torres,6
David Torres,22,6
Total,22,6
,Representative In Congress 2nd District - Republican,7
,David Torres,7
David Torres,33,7
Total,33,7
,Representative In Congress 2nd District - Republican,8
,David Torres,8
David Torres,35,8
Total,35,8
,Representative In Congress 2nd District - Republican,9
,David Torres,9
David Torres,27,9
Total,27,9
,Representative In Congress 2nd District - Republican,10
,David Torres,10
David Torres,20,10
Total,20,10
,Representative In Congress 2nd District - Republican,11
,David Torres,11
David Torres,28,11
Total,28,11
,Representative In Congress 2nd District - Republican,12
,David Torres,12
David Torres,15,12
Total,15,12
,Representative In Congress 2nd District - Republican,13
,David Torres,13
David Torres,15,13
Total,15,13
,Representative In Congress 2nd District - Republican,14
,David Torres,14
David Torres,25,14
Total,25,14
,Representative In Congress 2nd District - Republican,15
,David Torres,15
David Torres,18,15
Total,18,15
,Representative In Congress 2nd District - Republican,16
,David Torres,16
David Torres,23,16
Total,23,16
,Representative In Congress 2nd District - Republican,17
,David Torres,17
David Torres,64,17
Total,64,17
,Representative In Congress 2nd District - Republican,18
,David Torres,18
David Torres,22,18
Total,22,18
,Representative In Congress 2nd District - Republican,19
,David Torres,19
David Torres,22,19
Total,22,19
,Representative In Congress 2nd District - Republican,20
,David Torres,20
David Torres,27,20
Total,27,20
,Representative In Congress 2nd District - Republican,21
,David Torres,21
David Torres,34,21
Total,34,21
,Representative In Congress 2nd District - Republican,22
,David Torres,22
David Torres,26,22
Total,26,22
,Representative In Congress 2nd District - Republican,23
,David Torres,23
David Torres,22,23
Total,22,23
,Representative In Congress 2nd District - Republican,24
,David Torres,24
David Torres,23,24
Total,23,24
,Representative In Congress 2nd District - Republican,25
,David Torres,25
David Torres,26,25
Total,26,25
,Representative In Congress 2nd District - Republican,26
,David Torres,26
David Torres,26,26
Total,26,26
,Representative In Congress 2nd District - Republican,27
,David Torres,27
David Torres,8,27
Total,8,27
,Representative In Congress 2nd District - Republican,28
,David Torres,28
David Torres,30,28
Total,30,28
,Representative In Congress 2nd District - Republican,29
,David Torres,29
David Torres,49,29
Total,49,29
,Representative In Congress 2nd District - Republican,30
,David Torres,30
David Torres,44,30
Total,44,30
,Representative In Congress 2nd District - Republican,31
,David Torres,31
David Torres,17,31
Total,17,31
,Representative In Congress 2nd District - Republican,32
,David Torres,32
David Torres,21,32
Total,21,32
,Representative In Congress 2nd District - Republican,33
,David Torres,33
David Torres,40,33
Total,40,33
,Representative In Congress 2nd District - Republican,34
,David Torres,34
David Torres,40,34
Total,40,34
,Representative In Congress 2nd District - Republican,35
,David Torres,35
David Torres,19,35
Total,19,35
,Representative In Congress 2nd District - Republican,36
,David Torres,36
David Torres,35,36
Total,35,36
,Representative In Congress 2nd District - Republican,37
,David Torres,37
David Torres,12,37
Total,12,37
,Representative In Congress 2nd District - Republican,38
,David Torres,38
David Torres,27,38
Total,27,38
,Representative In Congress 2nd District - Republican,39
,David Torres,39
David Torres,21,39
Total,21,39
,Representative In Congress 2nd District - Republican,40
,David Torres,40
David Torres,15,40
Total,15,40
,Representative In Congress 2nd District - Republican,41
,David Torres,41
David Torres,19,41
Total,19,41
,Representative In Congress 2nd District - Republican,42
,David Torres,42
David Torres,29,42
Total,29,42
,Representative In Congress 2nd District - Republican,43
,David Torres,43
David Torres,44,43
Total,44,43
,Representative In Congress 2nd District - Republican,44
,David Torres,44
David Torres,34,44
Total,34,44
,Representative In Congress 2nd District - Republican,45
,David Torres,45
David Torres,22,45
Total,22,45
,Representative In Congress 2nd District - Republican,46
,David Torres,46
David Torres,32,46
Total,32,46
,Representative In Congress 2nd District - Republican,All
,David Torres,All
David Torres,"1,216",All
Total,"1,216",All
