col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,division
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1
,Brendan F Boyle,Michele Lawrence,Rhea Powell,Amanda Mcillmurray,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Mariel J K Martin,Tom Young,Darrell L Clarke,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Joe Celentano,Matthew D Myers,1
Brendan F Boyle,20,0,52,44,43,41,37,31,36,35,28,30,28,26,17,1
Michele Lawrence,,6,47,34,35,32,31,28,22,22,23,18,18,18,12,1
Rhea Powell,,,0,70,66,61,55,54,47,42,43,39,33,34,26,1
Amanda Mcillmurray,,,,0,60,50,45,44,36,37,42,36,31,27,24,1
Marylouise Isaacson,,,,,0,49,45,43,39,37,37,33,23,25,19,1
Micah Mahjoubian,,,,,,0,43,37,34,32,31,34,23,28,20,1
Andi Perez,,,,,,,0,33,34,26,24,30,25,28,14,1
Mariel J K Martin,,,,,,,,0,31,31,32,26,17,19,17,1
Tom Young,,,,,,,,,1,22,21,25,20,30,13,1
Darrell L Clarke,,,,,,,,,,0,26,24,19,10,20,1
Judi Golding Baker,,,,,,,,,,,0,19,15,15,17,1
Noam Kugelmass,,,,,,,,,,,,0,20,24,8,1
Jon Geeting,,,,,,,,,,,,,0,18,10,1
Joe Celentano,,,,,,,,,,,,,,0,8,1
Matthew D Myers,,,,,,,,,,,,,,,0,1
Total,105,68,101,81,81,74,68,61,61,59,52,49,48,44,30,1
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,2
,Brendan F Boyle,Michele Lawrence,Marylouise Isaacson,Rhea Powell,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Mariel J K Martin,Micah Mahjoubian,Noam Kugelmass,Judi Golding Baker,Tom Young,Jon Geeting,Joe Celentano,Matthew D Myers,2
Brendan F Boyle,15,0,52,48,40,38,40,34,38,32,27,35,26,30,17,2
Michele Lawrence,,14,37,39,33,27,23,27,25,22,24,17,22,18,14,2
Marylouise Isaacson,,,1,63,60,55,49,52,47,41,43,38,31,31,24,2
Rhea Powell,,,,0,57,55,38,50,42,41,43,35,31,33,20,2
Amanda Mcillmurray,,,,,1,48,39,51,32,38,43,27,31,30,16,2
Andi Perez,,,,,,0,31,45,35,32,31,31,24,26,20,2
Darrell L Clarke,,,,,,,0,34,25,23,28,23,22,17,22,2
Mariel J K Martin,,,,,,,,0,31,32,35,28,21,19,23,2
Micah Mahjoubian,,,,,,,,,1,32,25,31,20,25,19,2
Noam Kugelmass,,,,,,,,,,0,27,29,16,28,15,2
Judi Golding Baker,,,,,,,,,,,0,12,22,17,16,2
Tom Young,,,,,,,,,,,,0,17,30,18,2
Jon Geeting,,,,,,,,,,,,,0,18,6,2
Joe Celentano,,,,,,,,,,,,,,0,11,2
Matthew D Myers,,,,,,,,,,,,,,,0,2
Total,100,75,95,89,76,69,66,64,64,55,53,53,51,48,33,2
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In Congress 2nd District - Democrat,,3
,Darrell L Clarke,Andi Perez,Micah Mahjoubian,Tom Young,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Rhea Powell,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Joe Celentano,Brendan F Boyle,Michele Lawrence,3
Darrell L Clarke,1,15,14,15,14,14,14,2,3,2,1,1,0,13,3,3
Andi Perez,,0,14,15,13,14,13,3,2,1,1,2,0,13,4,3
Micah Mahjoubian,,,0,13,14,15,13,2,2,2,2,0,0,13,2,3
Tom Young,,,,0,13,13,13,2,1,0,1,2,0,13,2,3
Mariel J K Martin,,,,,0,14,12,2,2,2,1,0,0,12,2,3
Marylouise Isaacson,,,,,,0,13,2,2,2,1,0,0,13,2,3
Matthew D Myers,,,,,,,0,2,3,2,2,1,0,12,3,3
Rhea Powell,,,,,,,,1,3,2,2,2,0,0,4,3
Amanda Mcillmurray,,,,,,,,,0,3,2,1,0,0,4,3
Judi Golding Baker,,,,,,,,,,0,1,0,0,0,3,3
Noam Kugelmass,,,,,,,,,,,0,1,0,0,2,3
Jon Geeting,,,,,,,,,,,,0,0,0,2,3
Joe Celentano,,,,,,,,,,,,,0,0,0,3
Brendan F Boyle,,,,,,,,,,,,,,1,0,3
Michele Lawrence,,,,,,,,,,,,,,,1,3
Total,18,17,16,16,15,15,15,5,4,3,3,2,0,14,7,3
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,4
,Michele Lawrence,Brendan F Boyle,Rhea Powell,Marylouise Isaacson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Mariel J K Martin,Judi Golding Baker,Jon Geeting,Micah Mahjoubian,Joe Celentano,Noam Kugelmass,Tom Young,Matthew D Myers,4
Michele Lawrence,4,0,49,38,35,38,31,34,34,35,32,29,27,29,14,4
Brendan F Boyle,,11,24,24,24,19,22,21,20,16,13,14,15,12,12,4
Rhea Powell,,,2,43,41,43,32,46,41,30,36,33,33,28,15,4
Marylouise Isaacson,,,,0,44,36,36,37,39,22,29,24,27,23,15,4
Amanda Mcillmurray,,,,,0,34,31,41,39,20,28,23,26,24,16,4
Andi Perez,,,,,,1,33,34,35,29,30,25,25,20,17,4
Darrell L Clarke,,,,,,,0,28,27,23,19,19,17,14,17,4
Mariel J K Martin,,,,,,,,0,36,22,31,25,24,22,15,4
Judi Golding Baker,,,,,,,,,0,21,28,24,27,20,17,4
Jon Geeting,,,,,,,,,,2,18,22,18,19,15,4
Micah Mahjoubian,,,,,,,,,,,0,24,23,18,9,4
Joe Celentano,,,,,,,,,,,,0,23,20,10,4
Noam Kugelmass,,,,,,,,,,,,,1,25,7,4
Tom Young,,,,,,,,,,,,,,1,16,4
Matthew D Myers,,,,,,,,,,,,,,,0,4
Total,75,56,75,65,59,58,56,56,54,53,47,43,43,43,27,4
,Representative In Congress 2nd District - Democrat,,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,5
,Brendan F Boyle,Michele Lawrence,Rhea Powell,Marylouise Isaacson,Micah Mahjoubian,Amanda Mcillmurray,Andi Perez,Jon Geeting,Darrell L Clarke,Noam Kugelmass,Mariel J K Martin,Joe Celentano,Tom Young,Judi Golding Baker,Matthew D Myers,5
Brendan F Boyle,13,0,17,15,19,16,17,20,16,15,14,14,14,10,8,5
Michele Lawrence,,6,21,21,15,16,15,8,10,12,13,11,10,11,5,5
Rhea Powell,,,0,27,28,25,22,16,13,21,19,18,16,16,6,5
Marylouise Isaacson,,,,0,24,21,19,14,14,20,19,15,16,14,9,5
Micah Mahjoubian,,,,,0,21,19,15,15,17,17,18,15,15,9,5
Amanda Mcillmurray,,,,,,0,18,15,16,16,20,13,13,17,8,5
Andi Perez,,,,,,,0,18,16,16,18,16,16,12,8,5
Jon Geeting,,,,,,,,1,13,10,10,11,11,6,9,5
Darrell L Clarke,,,,,,,,,1,11,14,8,9,10,10,5
Noam Kugelmass,,,,,,,,,,0,17,14,14,13,6,5
Mariel J K Martin,,,,,,,,,,,0,11,12,12,9,5
Joe Celentano,,,,,,,,,,,,0,9,8,5,5
Tom Young,,,,,,,,,,,,,0,7,5,5
Judi Golding Baker,,,,,,,,,,,,,,0,3,5
Matthew D Myers,,,,,,,,,,,,,,,0,5
Total,47,38,39,36,35,33,32,29,28,28,27,26,24,21,13,5
,Member Of The Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,Representative In Congress 2nd District - Democrat,,6
,Rhea Powell,Marylouise Isaacson,Andi Perez,Amanda Mcillmurray,Mariel J K Martin,Darrell L Clarke,Micah Mahjoubian,Jon Geeting,Judi Golding Baker,Tom Young,Noam Kugelmass,Joe Celentano,Matthew D Myers,Michele Lawrence,Brendan F Boyle,6
Rhea Powell,0,50,49,48,39,34,37,28,36,24,28,24,15,42,29,6
Marylouise Isaacson,,0,48,48,38,33,36,25,32,23,26,14,17,41,20,6
Andi Perez,,,0,46,38,34,39,27,30,23,25,20,16,38,23,6
Amanda Mcillmurray,,,,0,40,30,32,22,32,16,21,16,16,36,24,6
Mariel J K Martin,,,,,0,30,27,17,28,16,15,14,15,33,16,6
