col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,order,division
Meagan Ingerson,,8,12,11,11,11,10,5,5,4,3
James Harrity,,,5,12,14,10,13,8,7,5,3
Erica Vanstone,,,,0,14,13,14,11,10,6,3
Richard Lombardo,,,,,0,12,15,12,10,7,3
Catherine Bartch,,,,,,0,12,7,10,8,3
Frank T Brzozowski,,,,,,,0,11,10,9,3
Billy Cortes,,,,,,,,0,9,10,3
Marnie Aument Loughrey,,,,,,,,,0,11,3
Total,29,28,22,18,18,17,17,13,12,12,3
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Richard Lombardo,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,Marnie Aument Loughrey,2,4
Mona Getzes Cohen,5,9,10,6,6,7,6,6,7,3,4
James Harrity,,2,8,8,7,7,6,7,6,4,4
Meagan Ingerson,,,2,6,7,5,6,5,5,5,4
Richard Lombardo,,,,1,9,7,8,9,7,6,4
Billy Cortes,,,,,0,7,10,8,7,7,4
Catherine Bartch,,,,,,0,7,7,9,8,4
Erica Vanstone,,,,,,,0,7,7,9,4
Frank T Brzozowski,,,,,,,,0,8,10,4
Marnie Aument Loughrey,,,,,,,,,0,11,4
Total,18,15,14,12,11,10,10,10,10,12,4
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,James Harrity,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Billy Cortes,Mona Getzes Cohen,Meagan Ingerson,2,5
James Harrity,7,43,45,42,40,38,38,20,19,3,5
Erica Vanstone,,0,47,44,44,43,42,18,21,4,5
Richard Lombardo,,,0,44,47,41,41,14,17,5,5
Catherine Bartch,,,,1,41,43,43,14,16,6,5
Frank T Brzozowski,,,,,0,38,40,12,15,7,5
Marnie Aument Loughrey,,,,,,0,38,11,14,8,5
Billy Cortes,,,,,,,0,10,13,9,5
Mona Getzes Cohen,,,,,,,,8,20,10,5
Meagan Ingerson,,,,,,,,,4,11,5
Total,62,56,54,52,49,49,46,34,32,12,5
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,James Harrity,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,2,6
James Harrity,5,22,23,22,21,20,19,14,12,3,6
Erica Vanstone,,0,23,23,23,21,21,14,10,4,6
Richard Lombardo,,,1,22,25,21,20,11,9,5,6
Catherine Bartch,,,,0,22,22,20,12,11,6,6
Frank T Brzozowski,,,,,0,21,18,11,9,7,6
Billy Cortes,,,,,,1,19,8,8,8,6
Marnie Aument Loughrey,,,,,,,0,6,6,9,6
Meagan Ingerson,,,,,,,,2,13,10,6
Mona Getzes Cohen,,,,,,,,,3,11,6
Total,34,30,29,28,26,25,24,23,19,12,6
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Erica Vanstone,James Harrity,Billy Cortes,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,2,7
Erica Vanstone,0,27,35,34,34,30,30,20,15,3,7
James Harrity,,9,26,25,24,21,21,14,15,4,7
Billy Cortes,,,0,32,29,27,28,14,15,5,7
Richard Lombardo,,,,0,29,29,26,14,14,6,7
Catherine Bartch,,,,,0,28,28,16,13,7,7
Frank T Brzozowski,,,,,,0,23,12,9,8,7
Marnie Aument Loughrey,,,,,,,0,12,10,9,7
Meagan Ingerson,,,,,,,,3,18,10,7
Mona Getzes Cohen,,,,,,,,,2,11,7
Total,44,42,38,38,37,33,32,29,26,12,7
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,8
,James Harrity,Erica Vanstone,Catherine Bartch,Marnie Aument Loughrey,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Meagan Ingerson,2,8
James Harrity,7,31,26,28,20,26,24,25,22,3,8
Erica Vanstone,,1,32,30,21,28,29,27,20,4,8
Catherine Bartch,,,0,29,14,24,27,22,15,5,8
Marnie Aument Loughrey,,,,0,12,27,25,24,15,6,8
Mona Getzes Cohen,,,,,6,10,12,10,22,7,8
Richard Lombardo,,,,,,1,24,26,13,8,8
Billy Cortes,,,,,,,0,24,13,9,8
Frank T Brzozowski,,,,,,,,0,12,10,8
Meagan Ingerson,,,,,,,,,2,11,8
Total,46,40,34,33,32,32,31,29,29,12,8
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,9
,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,Frank T Brzozowski,2,9
Meagan Ingerson,8,25,26,19,16,12,13,12,12,3,9
James Harrity,,3,23,22,20,16,17,15,15,4,9
Mona Getzes Cohen,,,6,18,16,12,12,11,10,5,9
Erica Vanstone,,,,0,19,17,17,18,16,6,9
Richard Lombardo,,,,,0,16,15,14,15,7,9
Catherine Bartch,,,,,,0,14,13,12,8,9
Billy Cortes,,,,,,,0,13,11,9,9
Marnie Aument Loughrey,,,,,,,,0,13,10,9
Frank T Brzozowski,,,,,,,,,0,11,9
Total,39,35,34,26,25,21,19,19,18,12,9
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,2,10
James Harrity,3,27,31,31,27,25,25,25,24,3,10
Mona Getzes Cohen,,14,20,20,27,14,14,13,12,4,10
Erica Vanstone,,,1,29,20,24,24,23,23,5,10
Richard Lombardo,,,,0,18,22,23,23,24,6,10
Meagan Ingerson,,,,,3,13,13,12,11,7,10
Catherine Bartch,,,,,,0,21,21,17,8,10
Marnie Aument Loughrey,,,,,,,0,18,19,9,10
Billy Cortes,,,,,,,,0,18,10,10
Frank T Brzozowski,,,,,,,,,0,11,10
Total,44,43,35,33,31,27,27,26,26,12,10
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,James Harrity,Frank T Brzozowski,Catherine Bartch,Erica Vanstone,Richard Lombardo,Billy Cortes,Mona Getzes Cohen,Marnie Aument Loughrey,Meagan Ingerson,2,11
James Harrity,8,28,25,26,26,23,16,19,13,3,11
Frank T Brzozowski,,0,25,27,27,23,12,19,8,4,11
Catherine Bartch,,,1,23,23,21,8,18,5,5,11
Erica Vanstone,,,,0,26,21,12,18,8,6,11
Richard Lombardo,,,,,0,21,11,18,8,7,11
Billy Cortes,,,,,,0,7,16,5,8,11
Mona Getzes Cohen,,,,,,,7,3,13,9,11
Marnie Aument Loughrey,,,,,,,,0,1,10,11
Meagan Ingerson,,,,,,,,,4,11,11
Total,42,29,27,27,27,24,24,19,18,12,11
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,12
,James Harrity,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Catherine Bartch,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,2,12
James Harrity,7,15,16,11,15,14,13,12,7,3,12
Mona Getzes Cohen,,8,12,12,10,9,8,6,2,4,12
Erica Vanstone,,,0,10,16,16,14,12,8,5,12
Meagan Ingerson,,,,2,7,7,5,3,3,6,12
Richard Lombardo,,,,,1,14,14,12,8,7,12
Catherine Bartch,,,,,,0,12,10,8,8,12
Billy Cortes,,,,,,,1,11,7,9,12
Frank T Brzozowski,,,,,,,,0,6,10,12
Marnie Aument Loughrey,,,,,,,,,1,11,12
Total,28,25,20,17,17,16,15,12,10,12,12
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,James Harrity,Richard Lombardo,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,2,13
James Harrity,4,25,18,23,25,23,17,20,18,3,13
Richard Lombardo,,2,9,22,25,23,9,19,17,4,13
Mona Getzes Cohen,,,9,9,9,8,17,6,4,5,13
Billy Cortes,,,,1,22,20,10,20,19,6,13
Frank T Brzozowski,,,,,0,22,9,20,17,7,13
Erica Vanstone,,,,,,0,8,17,17,8,13
Meagan Ingerson,,,,,,,6,6,4,9,13
Catherine Bartch,,,,,,,,0,19,10,13
Marnie Aument Loughrey,,,,,,,,,0,11,13
Total,38,28,27,26,26,24,24,22,20,12,13
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Billy Cortes,Catherine Bartch,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Marnie Aument Loughrey,2,14
Mona Getzes Cohen,9,14,9,8,7,8,6,7,7,3,14
Meagan Ingerson,,1,9,9,9,9,8,8,8,4,14
James Harrity,,,4,5,5,5,4,4,5,5,14
Billy Cortes,,,,1,6,7,6,6,7,6,14
Catherine Bartch,,,,,0,7,5,5,6,7,14
Erica Vanstone,,,,,,0,5,7,6,8,14
Richard Lombardo,,,,,,,1,6,4,9,14
Frank T Brzozowski,,,,,,,,0,5,10,14
Marnie Aument Loughrey,,,,,,,,,0,11,14
Total,23,17,13,10,9,9,9,8,8,12,14
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,15
,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,James Harrity,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,2,15
Mona Getzes Cohen,3,8,5,5,4,4,3,3,1,3,15
Meagan Ingerson,,4,4,5,3,3,2,3,1,4,15
Erica Vanstone,,,1,7,8,7,8,8,6,5,15
James Harrity,,,,1,7,6,6,6,5,6,15
Frank T Brzozowski,,,,,0,7,6,7,6,7,15
Richard Lombardo,,,,,,0,5,6,6,8,15
Catherine Bartch,,,,,,,0,7,5,9,15
Marnie Aument Loughrey,,,,,,,,0,6,10,15
Billy Cortes,,,,,,,,,0,11,15
Total,14,12,11,11,9,9,8,8,6,12,15
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,James Harrity,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,2,16
James Harrity,1,10,7,6,8,8,8,7,7,3,16
Erica Vanstone,,0,6,5,9,9,9,8,8,4,16
Meagan Ingerson,,,3,6,4,4,4,3,3,5,16
Mona Getzes Cohen,,,,3,5,3,4,2,2,6,16
Richard Lombardo,,,,,0,7,8,7,6,7,16
Billy Cortes,,,,,,0,7,7,7,8,16
Catherine Bartch,,,,,,,0,6,7,9,16
Frank T Brzozowski,,,,,,,,0,6,10,16
Marnie Aument Loughrey,,,,,,,,,0,11,16
Total,12,11,10,10,10,9,9,8,8,12,16
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Mona Getzes Cohen,James Harrity,Meagan Ingerson,Erica Vanstone,Billy Cortes,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,2,17
Mona Getzes Cohen,3,14,13,10,8,9,8,6,4,3,17
James Harrity,,0,14,10,9,11,7,9,5,4,17
Meagan Ingerson,,,0,9,8,9,6,6,4,5,17
Erica Vanstone,,,,0,10,10,9,8,6,6,17
Billy Cortes,,,,,1,9,7,8,5,7,17
Richard Lombardo,,,,,,0,7,8,5,8,17
Catherine Bartch,,,,,,,0,6,4,9,17
Frank T Brzozowski,,,,,,,,0,3,10,17
Marnie Aument Loughrey,,,,,,,,,0,11,17
Total,19,18,16,13,12,12,10,10,6,12,17
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,18
,James Harrity,Richard Lombardo,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Marnie Aument Loughrey,2,18
James Harrity,4,22,19,15,18,15,16,17,13,3,18
Richard Lombardo,,1,18,6,18,8,15,17,13,4,18
Erica Vanstone,,,0,8,17,6,15,16,14,5,18
Meagan Ingerson,,,,3,6,15,5,5,2,6,18
Catherine Bartch,,,,,0,6,15,14,14,7,18
Mona Getzes Cohen,,,,,,3,3,4,2,8,18
Billy Cortes,,,,,,,1,15,12,9,18
Frank T Brzozowski,,,,,,,,0,12,10,18
Marnie Aument Loughrey,,,,,,,,,0,11,18
Total,35,24,21,21,20,20,18,18,14,12,18
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,19
,James Harrity,Erica Vanstone,Meagan Ingerson,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Mona Getzes Cohen,Marnie Aument Loughrey,2,19
James Harrity,5,22,14,19,17,18,19,12,16,3,19
Erica Vanstone,,0,11,20,18,18,19,7,17,4,19
Meagan Ingerson,,,5,8,6,8,7,12,5,5,19
Billy Cortes,,,,1,16,17,18,7,15,6,19
Catherine Bartch,,,,,1,14,16,5,17,7,19
Frank T Brzozowski,,,,,,0,18,4,14,8,19
Richard Lombardo,,,,,,,0,6,15,9,19
Mona Getzes Cohen,,,,,,,,6,4,10,19
Marnie Aument Loughrey,,,,,,,,,0,11,19
Total,32,25,23,22,20,20,20,19,18,12,19
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,20
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Richard Lombardo,Frank T Brzozowski,2,20
James Harrity,3,17,18,18,15,16,13,13,14,3,20
Meagan Ingerson,,3,20,16,14,12,10,10,8,4,20
Mona Getzes Cohen,,,3,15,12,11,9,9,8,5,20
Erica Vanstone,,,,0,15,16,14,12,11,6,20
Catherine Bartch,,,,,0,14,12,11,8,7,20
Marnie Aument Loughrey,,,,,,0,11,11,10,8,20
Billy Cortes,,,,,,,0,9,8,9,20
Richard Lombardo,,,,,,,,0,10,10,20
Frank T Brzozowski,,,,,,,,,0,11,20
Total,28,25,24,21,20,18,15,15,14,12,20
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,21
,James Harrity,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,Erica Vanstone,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,2,21
James Harrity,7,18,23,24,21,22,13,16,17,3,21
Mona Getzes Cohen,,7,13,14,12,12,16,8,5,4,21
Richard Lombardo,,,0,24,23,22,9,20,16,5,21
Billy Cortes,,,,0,22,23,9,18,16,6,21
Erica Vanstone,,,,,1,22,8,18,14,7,21
Catherine Bartch,,,,,,0,7,18,13,8,21
Meagan Ingerson,,,,,,,5,5,3,9,21
Marnie Aument Loughrey,,,,,,,,0,12,10,21
Frank T Brzozowski,,,,,,,,,0,11,21
Total,39,28,27,26,26,25,21,20,17,12,21
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,22
,James Harrity,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Mona Getzes Cohen,Meagan Ingerson,Billy Cortes,2,22
James Harrity,6,11,11,7,11,9,6,7,4,3,22
Erica Vanstone,,0,13,11,12,12,7,8,5,4,22
Richard Lombardo,,,0,10,12,11,7,7,5,5,22
Catherine Bartch,,,,0,8,9,4,4,5,6,22
Frank T Brzozowski,,,,,0,10,5,6,5,7,22
Marnie Aument Loughrey,,,,,,0,5,6,5,8,22
Mona Getzes Cohen,,,,,,,3,8,0,9,22
Meagan Ingerson,,,,,,,,2,0,10,22
Billy Cortes,,,,,,,,,0,11,22
Total,18,15,14,12,12,12,12,11,5,12,22
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,23
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Richard Lombardo,Erica Vanstone,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,23
James Harrity,13,17,15,17,16,12,12,12,7,3,23
Mona Getzes Cohen,,6,16,14,14,10,10,9,5,4,23
Meagan Ingerson,,,3,11,13,9,8,7,3,5,23
Richard Lombardo,,,,1,18,14,14,14,10,6,23
Erica Vanstone,,,,,0,15,15,14,9,7,23
Catherine Bartch,,,,,,1,14,10,8,8,23
Marnie Aument Loughrey,,,,,,,0,11,8,9,23
Frank T Brzozowski,,,,,,,,0,9,10,23
Billy Cortes,,,,,,,,,0,11,23
Total,35,26,21,21,20,17,16,15,10,12,23
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,24
,James Harrity,Mona Getzes Cohen,Richard Lombardo,Meagan Ingerson,Erica Vanstone,Billy Cortes,Frank T Brzozowski,Catherine Bartch,Marnie Aument Loughrey,2,24
James Harrity,4,17,18,17,16,14,15,11,11,3,24
Mona Getzes Cohen,,3,16,17,14,13,11,9,9,4,24
Richard Lombardo,,,0,16,17,15,15,13,12,5,24
Meagan Ingerson,,,,0,14,11,10,10,8,6,24
Erica Vanstone,,,,,1,13,12,10,12,7,24
Billy Cortes,,,,,,1,11,10,9,8,24
Frank T Brzozowski,,,,,,,1,8,8,9,24
Catherine Bartch,,,,,,,,0,9,10,24
Marnie Aument Loughrey,,,,,,,,,0,11,24
Total,26,22,21,20,19,17,16,14,13,12,24
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,25
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Erica Vanstone,Catherine Bartch,Richard Lombardo,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,2,25
James Harrity,6,16,16,15,13,12,12,9,9,3,25
Mona Getzes Cohen,,5,17,12,9,7,6,5,4,4,25
Meagan Ingerson,,,2,11,9,7,5,5,4,5,25
Erica Vanstone,,,,1,14,12,10,10,9,6,25
Catherine Bartch,,,,,0,11,9,10,8,7,25
Richard Lombardo,,,,,,1,8,7,8,8,25
Marnie Aument Loughrey,,,,,,,0,7,5,9,25
Billy Cortes,,,,,,,,0,6,10,25
Frank T Brzozowski,,,,,,,,,0,11,25
Total,29,23,20,18,14,14,12,10,9,12,25
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,26
,Mona Getzes Cohen,Meagan Ingerson,James Harrity,Richard Lombardo,Catherine Bartch,Erica Vanstone,Marnie Aument Loughrey,Billy Cortes,Frank T Brzozowski,2,26
Mona Getzes Cohen,4,10,9,6,5,4,4,3,3,3,26
Meagan Ingerson,,2,8,5,4,3,3,2,3,4,26
James Harrity,,,0,7,6,5,5,4,4,5,26
Richard Lombardo,,,,0,7,6,5,4,4,6,26
Catherine Bartch,,,,,0,5,5,3,3,7,26
Erica Vanstone,,,,,,0,3,3,3,8,26
Marnie Aument Loughrey,,,,,,,0,3,2,9,26
Billy Cortes,,,,,,,,0,2,10,26
Frank T Brzozowski,,,,,,,,,0,11,26
Total,15,12,10,8,7,6,5,4,4,12,26
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,27
,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Richard Lombardo,Billy Cortes,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,2,27
Mona Getzes Cohen,5,12,11,10,10,9,9,7,6,3,27
James Harrity,,2,11,8,11,9,9,8,6,4,27
Erica Vanstone,,,0,9,11,9,11,6,7,5,27
Meagan Ingerson,,,,3,7,5,7,4,3,6,27
Richard Lombardo,,,,,0,9,9,6,7,7,27
Billy Cortes,,,,,,0,8,6,6,8,27
Catherine Bartch,,,,,,,0,4,7,9,27
Frank T Brzozowski,,,,,,,,0,3,10,27
Marnie Aument Loughrey,,,,,,,,,0,11,27
Total,20,16,13,13,12,11,11,9,8,12,27
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,28
,Mona Getzes Cohen,James Harrity,Erica Vanstone,Meagan Ingerson,Frank T Brzozowski,Richard Lombardo,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,28
Mona Getzes Cohen,12,8,5,8,4,5,2,2,3,3,28
James Harrity,,7,8,7,9,8,6,6,6,4,28
Erica Vanstone,,,1,6,9,9,7,7,6,5,28
Meagan Ingerson,,,,1,3,4,1,1,1,6,28
Frank T Brzozowski,,,,,0,9,7,7,6,7,28
Richard Lombardo,,,,,,0,7,7,7,8,28
Billy Cortes,,,,,,,1,8,7,9,28
Catherine Bartch,,,,,,,,1,7,10,28
Marnie Aument Loughrey,,,,,,,,,0,11,28
Total,22,21,13,11,10,10,9,9,8,12,28
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,29
,Mona Getzes Cohen,Erica Vanstone,James Harrity,Richard Lombardo,Billy Cortes,Frank T Brzozowski,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,2,29
Mona Getzes Cohen,4,14,13,13,11,10,8,12,5,3,29
Erica Vanstone,,0,15,17,14,14,12,10,10,4,29
James Harrity,,,1,15,12,13,11,10,7,5,29
Richard Lombardo,,,,0,15,14,12,9,9,6,29
Billy Cortes,,,,,0,12,9,7,7,7,29
Frank T Brzozowski,,,,,,0,9,8,7,8,29
Catherine Bartch,,,,,,,0,5,9,9,29
Meagan Ingerson,,,,,,,,1,3,10,29
Marnie Aument Loughrey,,,,,,,,,0,11,29
Total,20,19,18,18,15,15,13,13,10,12,29
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,30
,James Harrity,Mona Getzes Cohen,Meagan Ingerson,Billy Cortes,Erica Vanstone,Richard Lombardo,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,2,30
James Harrity,3,10,8,5,5,6,3,5,3,3,30
Mona Getzes Cohen,,2,9,4,4,5,2,3,1,4,30
Meagan Ingerson,,,2,5,5,4,2,3,0,5,30
Billy Cortes,,,,0,6,5,4,5,2,6,30
Erica Vanstone,,,,,0,6,3,4,2,7,30
Richard Lombardo,,,,,,0,3,4,3,8,30
Catherine Bartch,,,,,,,1,3,2,9,30
Frank T Brzozowski,,,,,,,,0,2,10,30
Marnie Aument Loughrey,,,,,,,,,0,11,30
Total,15,13,12,7,7,7,5,5,3,12,30
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,31
,James Harrity,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Richard Lombardo,Frank T Brzozowski,Billy Cortes,Catherine Bartch,Marnie Aument Loughrey,2,31
James Harrity,4,17,15,16,16,14,13,10,9,3,31
Meagan Ingerson,,2,16,12,11,9,9,6,6,4,31
Mona Getzes Cohen,,,6,8,10,7,9,6,3,5,31
Erica Vanstone,,,,0,16,14,13,11,9,6,31
Richard Lombardo,,,,,0,15,15,12,10,7,31
Frank T Brzozowski,,,,,,0,13,9,9,8,31
Billy Cortes,,,,,,,0,10,8,9,31
Catherine Bartch,,,,,,,,0,8,10,31
Marnie Aument Loughrey,,,,,,,,,1,11,31
Total,28,23,23,19,18,16,15,12,12,12,31
,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,32
,James Harrity,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,Richard Lombardo,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,2,32
James Harrity,2,27,18,22,23,20,18,19,16,3,32
Erica Vanstone,,0,17,24,23,19,20,19,16,4,32
Mona Getzes Cohen,,,5,13,12,18,11,9,7,5,32
Catherine Bartch,,,,0,19,16,16,14,13,6,32
Richard Lombardo,,,,,0,14,15,16,14,7,32
Meagan Ingerson,,,,,,0,12,11,7,8,32
Marnie Aument Loughrey,,,,,,,0,13,10,9,32
Frank T Brzozowski,,,,,,,,1,11,10,32
Billy Cortes,,,,,,,,,0,11,32
Total,31,29,25,24,23,22,21,20,16,12,32
