col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Tom Wolf,Dwight Evans,Kevin Johnson,2,All
Tom Wolf,88,893,327,3,All
Dwight Evans,,51,0,4,All
Kevin Johnson,,,27,5,All
Total,"1,308",944,354,6,All
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Tom Wolf,Dwight Evans,Kevin Johnson,2,1
Tom Wolf,3,53,15,3,1
Dwight Evans,,1,0,4,1
Kevin Johnson,,,1,5,1
Total,71,54,16,6,1
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,2
,Tom Wolf,Dwight Evans,Kevin Johnson,2,2
Tom Wolf,2,43,16,3,2
Dwight Evans,,0,0,4,2
Kevin Johnson,,,3,5,2
Total,61,43,19,6,2
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Tom Wolf,Dwight Evans,Kevin Johnson,2,3
Tom Wolf,2,56,36,3,3
Dwight Evans,,5,0,4,3
Kevin Johnson,,,5,5,3
Total,94,61,41,6,3
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Tom Wolf,Dwight Evans,Kevin Johnson,2,4
Tom Wolf,3,43,28,3,4
Dwight Evans,,3,0,4,4
Kevin Johnson,,,2,5,4
Total,74,46,30,6,4
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Tom Wolf,Dwight Evans,Kevin Johnson,2,5
Tom Wolf,11,86,28,3,5
Dwight Evans,,2,0,4,5
Kevin Johnson,,,0,5,5
Total,125,88,28,6,5
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Tom Wolf,Dwight Evans,Kevin Johnson,2,6
Tom Wolf,18,147,26,3,6
Dwight Evans,,13,0,4,6
Kevin Johnson,,,2,5,6
Total,191,160,28,6,6
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Tom Wolf,Dwight Evans,Kevin Johnson,2,7
Tom Wolf,4,48,10,3,7
Dwight Evans,,1,0,4,7
Kevin Johnson,,,2,5,7
Total,62,49,12,6,7
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Tom Wolf,Dwight Evans,Kevin Johnson,2,8
Tom Wolf,15,52,45,3,8
Dwight Evans,,4,0,4,8
Kevin Johnson,,,4,5,8
Total,112,56,49,6,8
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Tom Wolf,Dwight Evans,Kevin Johnson,2,9
Tom Wolf,3,35,3,3,9
Dwight Evans,,0,0,4,9
Kevin Johnson,,,1,5,9
Total,41,35,4,6,9
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,10
,Tom Wolf,Dwight Evans,Kevin Johnson,2,10
Tom Wolf,2,11,11,3,10
Dwight Evans,,0,0,4,10
Kevin Johnson,,,0,5,10
Total,24,11,11,6,10
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,11
,Tom Wolf,Dwight Evans,Kevin Johnson,2,11
Tom Wolf,4,25,13,3,11
Dwight Evans,,4,0,4,11
Kevin Johnson,,,0,5,11
Total,42,29,13,6,11
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,12
,Tom Wolf,Dwight Evans,Kevin Johnson,2,12
Tom Wolf,6,59,14,3,12
Dwight Evans,,0,0,4,12
Kevin Johnson,,,1,5,12
Total,79,59,15,6,12
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,13
,Tom Wolf,Dwight Evans,Kevin Johnson,2,13
Tom Wolf,3,44,18,3,13
Dwight Evans,,1,0,4,13
Kevin Johnson,,,2,5,13
Total,65,45,20,6,13
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,14
,Tom Wolf,Dwight Evans,Kevin Johnson,2,14
Tom Wolf,3,65,3,3,14
Dwight Evans,,4,0,4,14
Kevin Johnson,,,0,5,14
Total,71,69,3,6,14
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,15
,Tom Wolf,Dwight Evans,Kevin Johnson,2,15
Tom Wolf,4,33,12,3,15
Dwight Evans,,3,0,4,15
Kevin Johnson,,,2,5,15
Total,49,36,14,6,15
,Representative In Congress 3rd District - Democrat,,Governor - Democrat,1,16
,Dwight Evans,Kevin Johnson,Tom Wolf,2,16
Dwight Evans,6,0,28,3,16
Kevin Johnson,,1,6,4,16
Tom Wolf,,,0,5,16
Total,34,7,34,6,16
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,17
,Tom Wolf,Dwight Evans,Kevin Johnson,2,17
Tom Wolf,2,22,10,3,17
Dwight Evans,,3,0,4,17
Kevin Johnson,,,1,5,17
Total,34,25,11,6,17
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,18
,Tom Wolf,Dwight Evans,Kevin Johnson,2,18
Tom Wolf,1,24,19,3,18
Dwight Evans,,0,0,4,18
Kevin Johnson,,,0,5,18
Total,44,24,19,6,18
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,19
,Tom Wolf,Dwight Evans,Kevin Johnson,2,19
Tom Wolf,2,19,14,3,19
Dwight Evans,,1,0,4,19
Kevin Johnson,,,0,5,19
Total,35,20,14,6,19
