col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,order,division
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,All
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,John Brady,Nat Lownes,Jacque Whaumbush,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,All
Kathryn S Huggins,14,417,410,370,263,203,197,164,95,72,80,58,50,283,180,87,22,1,3,All
Ken Washington,,24,411,380,273,194,193,156,79,72,79,62,51,296,140,88,26,1,4,All
Dewayne Drummond,,,5,367,249,188,185,155,76,63,84,46,45,245,118,74,23,0,5,All
Liam G Boyle,,,,2,225,153,147,137,66,43,64,37,35,222,113,58,15,2,6,All
Kevin Bundy,,,,,3,71,64,41,63,59,71,39,43,121,124,43,20,0,7,All
Lisa Rhodes,,,,,,1,199,156,56,54,34,54,31,154,20,63,5,2,8,All
Linda Norris,,,,,,,0,155,49,43,26,47,26,146,20,62,4,1,9,All
Monica Maria Djerassi,,,,,,,,1,48,25,25,36,18,131,13,51,4,2,10,All
Rebecca Poyourow,,,,,,,,,0,34,42,23,19,42,21,35,11,1,11,All
John Brady,,,,,,,,,,0,29,25,28,43,24,24,7,1,12,All
Nat Lownes,,,,,,,,,,,1,17,24,38,21,27,9,3,13,All
Jacque Whaumbush,,,,,,,,,,,,0,22,37,10,32,2,0,14,All
Joe Khan,,,,,,,,,,,,,0,34,10,19,6,2,15,All
Mike Stack,,,,,,,,,,,,,,28,0,0,0,0,16,All
Kathi Cozzone,,,,,,,,,,,,,,,16,0,0,0,17,All
Nina Ahmad,,,,,,,,,,,,,,,,20,0,0,18,All
John Fetterman,,,,,,,,,,,,,,,,,11,0,19,All
Ray Sosa,,,,,,,,,,,,,,,,,,2,20,All
Total,614,605,493,435,330,251,238,209,114,107,103,85,72,427,237,156,49,5,21,All
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,1
,Ken Washington,Kathryn S Huggins,Liam G Boyle,Dewayne Drummond,Kevin Bundy,Rebecca Poyourow,Linda Norris,Jacque Whaumbush,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,John Brady,Joe Khan,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Ken Washington,1,8,9,6,7,3,2,2,1,1,2,1,0,10,3,2,0,0,3,1
Kathryn S Huggins,,1,7,7,5,6,5,3,4,4,2,2,1,7,3,2,1,0,4,1
Liam G Boyle,,,1,6,7,3,2,1,1,1,3,1,0,6,1,1,0,1,5,1
Dewayne Drummond,,,,0,5,3,2,2,1,1,2,1,0,4,2,0,0,0,6,1
Kevin Bundy,,,,,0,2,0,0,0,0,2,0,0,6,1,0,0,0,7,1
Rebecca Poyourow,,,,,,0,4,2,4,4,2,1,1,1,3,1,1,0,8,1
Linda Norris,,,,,,,0,3,4,4,0,2,1,0,2,1,1,0,9,1
Jacque Whaumbush,,,,,,,,0,2,2,0,1,0,1,2,0,0,0,10,1
Lisa Rhodes,,,,,,,,,0,4,0,1,1,0,2,1,1,0,11,1
Monica Maria Djerassi,,,,,,,,,,0,0,1,1,0,2,1,1,0,12,1
Nat Lownes,,,,,,,,,,,0,0,0,1,1,1,0,1,13,1
John Brady,,,,,,,,,,,,0,1,0,0,0,1,0,14,1
Joe Khan,,,,,,,,,,,,,0,0,0,0,1,0,15,1
Kathi Cozzone,,,,,,,,,,,,,,1,0,0,0,0,16,1
Mike Stack,,,,,,,,,,,,,,,1,0,0,0,17,1
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,1
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,1
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,1
Total,17,15,11,7,7,6,5,4,4,4,4,2,1,13,6,4,1,1,21,1
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,2
,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,John Brady,Rebecca Poyourow,Joe Khan,Nina Ahmad,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,2,2
Ken Washington,1,18,18,16,16,9,7,5,5,3,4,1,1,10,13,7,2,0,3,2
Kathryn S Huggins,,2,19,14,15,8,7,5,5,3,3,3,1,5,8,7,2,0,4,2
Dewayne Drummond,,,0,14,18,10,8,7,6,3,4,4,1,7,8,6,1,0,5,2
Kevin Bundy,,,,0,11,4,5,2,4,3,3,2,1,4,8,6,3,0,6,2
Liam G Boyle,,,,,0,7,5,6,3,2,4,3,1,4,9,5,1,0,7,2
Linda Norris,,,,,,0,8,6,5,3,2,2,0,6,5,0,0,0,8,2
Lisa Rhodes,,,,,,,0,5,2,2,1,1,0,4,5,1,0,0,9,2
Monica Maria Djerassi,,,,,,,,0,2,0,0,3,0,2,5,0,0,0,10,2
Nat Lownes,,,,,,,,,0,1,1,2,1,5,1,0,1,0,11,2
Jacque Whaumbush,,,,,,,,,,0,2,1,0,4,1,0,0,0,12,2
John Brady,,,,,,,,,,,0,1,0,3,1,1,0,0,13,2
Rebecca Poyourow,,,,,,,,,,,,0,0,3,1,0,0,0,14,2
Joe Khan,,,,,,,,,,,,,0,0,0,0,1,0,15,2
Nina Ahmad,,,,,,,,,,,,,,1,0,0,0,0,16,2
Mike Stack,,,,,,,,,,,,,,,0,0,0,0,17,2
Kathi Cozzone,,,,,,,,,,,,,,,,0,0,0,18,2
John Fetterman,,,,,,,,,,,,,,,,,2,0,19,2
Ray Sosa,,,,,,,,,,,,,,,,,,1,20,2
Total,33,24,22,21,19,11,10,7,7,5,5,4,1,16,15,8,6,1,21,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,3
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Lisa Rhodes,John Brady,Linda Norris,Joe Khan,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,Rebecca Poyourow,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,3
Kathryn S Huggins,2,29,28,29,25,10,7,7,6,6,7,4,5,19,9,7,2,0,3,3
Ken Washington,,4,25,25,21,6,6,6,7,3,5,4,4,20,7,5,1,0,4,3
Dewayne Drummond,,,1,23,21,7,6,4,5,5,7,1,5,16,7,5,1,0,5,3
Liam G Boyle,,,,0,21,6,4,4,5,5,6,3,3,16,5,6,2,0,6,3
Kevin Bundy,,,,,1,6,6,5,5,4,7,3,4,10,7,6,1,0,7,3
Lisa Rhodes,,,,,,0,4,7,2,5,2,4,2,4,3,3,0,0,8,3
John Brady,,,,,,,0,2,4,1,3,1,0,3,3,1,0,0,9,3
Linda Norris,,,,,,,,0,2,3,0,5,2,2,3,3,0,0,10,3
Joe Khan,,,,,,,,,0,1,2,2,0,3,1,2,0,0,11,3
Monica Maria Djerassi,,,,,,,,,,0,1,1,2,2,1,4,0,0,12,3
Nat Lownes,,,,,,,,,,,0,0,2,3,1,3,0,0,13,3
Jacque Whaumbush,,,,,,,,,,,,0,1,1,1,3,0,0,14,3
Rebecca Poyourow,,,,,,,,,,,,,0,1,1,3,0,0,15,3
Mike Stack,,,,,,,,,,,,,,3,0,0,0,0,16,3
Kathi Cozzone,,,,,,,,,,,,,,,1,0,0,0,17,3
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,3
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,3
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,3
Total,41,38,31,30,26,11,9,8,7,7,7,5,5,28,12,9,2,0,21,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,4
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Rebecca Poyourow,Linda Norris,John Brady,Joe Khan,Monica Maria Djerassi,Nat Lownes,Jacque Whaumbush,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,4
Kathryn S Huggins,0,16,14,15,13,7,9,7,6,3,3,5,2,12,11,4,1,0,3,4
Ken Washington,,2,15,15,14,8,7,6,5,4,1,4,3,10,10,3,1,0,4,4
Dewayne Drummond,,,0,13,14,6,5,7,4,3,2,4,2,9,4,3,2,0,5,4
Kevin Bundy,,,,0,12,6,5,6,6,5,1,5,3,8,6,3,1,0,6,4
Liam G Boyle,,,,,0,7,8,5,2,3,3,4,3,8,4,4,1,1,7,4
Lisa Rhodes,,,,,,0,7,6,6,2,4,3,1,3,4,3,0,1,8,4
Rebecca Poyourow,,,,,,,0,4,3,2,5,4,1,3,3,4,0,1,9,4
Linda Norris,,,,,,,,0,5,2,3,1,1,4,4,1,0,0,10,4
John Brady,,,,,,,,,0,3,2,3,0,3,4,0,0,1,11,4
Joe Khan,,,,,,,,,,0,1,2,2,1,3,1,0,1,12,4
Monica Maria Djerassi,,,,,,,,,,,1,1,0,1,1,2,0,1,13,4
Nat Lownes,,,,,,,,,,,,0,0,2,1,2,0,1,14,4
Jacque Whaumbush,,,,,,,,,,,,,0,1,1,1,0,0,15,4
Kathi Cozzone,,,,,,,,,,,,,,1,0,0,0,0,16,4
Mike Stack,,,,,,,,,,,,,,,1,0,0,0,17,4
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,4
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,4
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,4
Total,28,26,18,18,18,11,11,9,8,6,6,6,3,16,16,6,3,1,21,4
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,5
,Ken Washington,Kathryn S Huggins,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Jacque Whaumbush,Lisa Rhodes,John Brady,Rebecca Poyourow,Monica Maria Djerassi,Nat Lownes,Joe Khan,Linda Norris,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,5
Ken Washington,3,25,22,22,22,8,9,5,6,4,6,4,6,14,11,7,4,0,3,5
Kathryn S Huggins,,0,22,20,19,8,9,5,7,4,6,5,4,16,7,5,2,0,4,5
Dewayne Drummond,,,1,18,19,8,9,4,6,4,6,4,5,11,5,4,2,0,5,5
Kevin Bundy,,,,0,18,6,6,5,3,1,5,4,3,12,6,2,3,0,6,5
Liam G Boyle,,,,,0,6,6,2,3,2,4,3,5,11,6,3,1,0,7,5
Jacque Whaumbush,,,,,,0,7,2,4,3,4,2,2,6,0,4,0,0,8,5
Lisa Rhodes,,,,,,,0,3,4,4,1,1,5,6,0,4,1,0,9,5
John Brady,,,,,,,,0,2,2,2,1,1,3,2,2,1,0,10,5
Rebecca Poyourow,,,,,,,,,0,4,3,1,1,2,1,2,2,0,11,5
Monica Maria Djerassi,,,,,,,,,,0,0,1,3,4,1,2,0,0,12,5
Nat Lownes,,,,,,,,,,,0,1,0,3,1,1,1,0,13,5
Joe Khan,,,,,,,,,,,,0,0,4,0,2,0,0,14,5
Linda Norris,,,,,,,,,,,,,0,3,1,2,0,0,15,5
Mike Stack,,,,,,,,,,,,,,4,0,0,0,0,16,5
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,5
Nina Ahmad,,,,,,,,,,,,,,,,0,0,0,18,5
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,5
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,5
Total,41,32,25,24,23,11,11,8,8,7,7,6,6,24,12,10,5,0,21,5
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,6
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Lisa Rhodes,Kevin Bundy,Linda Norris,Monica Maria Djerassi,John Brady,Jacque Whaumbush,Rebecca Poyourow,Nat Lownes,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,6
Kathryn S Huggins,1,25,25,25,14,11,14,8,3,2,3,2,0,17,10,4,1,0,3,6
Ken Washington,,1,25,24,15,15,13,10,5,4,3,3,2,18,7,4,1,0,4,6
Dewayne Drummond,,,0,25,15,11,14,10,3,2,4,2,1,18,5,5,1,0,5,6
Liam G Boyle,,,,0,17,12,15,9,4,3,4,1,0,17,6,4,1,0,6,6
Lisa Rhodes,,,,,1,6,15,10,4,5,4,1,1,13,4,3,0,0,7,6
Kevin Bundy,,,,,,0,3,5,2,4,2,3,2,6,7,1,1,0,8,6
Linda Norris,,,,,,,0,10,2,2,3,0,0,9,3,5,0,0,9,6
Monica Maria Djerassi,,,,,,,,0,1,3,2,2,1,7,3,5,0,0,10,6
John Brady,,,,,,,,,0,1,2,2,0,3,2,0,0,0,11,6
Jacque Whaumbush,,,,,,,,,,0,0,1,1,2,2,1,0,0,12,6
Rebecca Poyourow,,,,,,,,,,,0,1,0,2,2,1,0,0,13,6
Nat Lownes,,,,,,,,,,,,0,0,1,2,0,0,0,14,6
Joe Khan,,,,,,,,,,,,,0,2,0,0,0,0,15,6
Mike Stack,,,,,,,,,,,,,,3,0,0,0,0,16,6
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,6
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,6
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,6
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,6
Total,34,34,30,29,21,17,17,15,6,5,5,3,2,26,12,8,2,0,21,6
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,7
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Kevin Bundy,Monica Maria Djerassi,Linda Norris,Lisa Rhodes,John Brady,Jacque Whaumbush,Joe Khan,Nat Lownes,Rebecca Poyourow,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,7
Kathryn S Huggins,2,16,14,11,9,8,6,6,3,2,1,0,0,14,7,3,0,0,3,7
Ken Washington,,0,15,11,9,6,6,5,3,1,0,1,0,13,7,2,0,0,4,7
Dewayne Drummond,,,0,12,8,7,5,6,1,1,1,1,0,11,5,2,0,0,5,7
Liam G Boyle,,,,0,5,4,3,3,0,0,0,0,0,8,5,1,0,0,6,7
Kevin Bundy,,,,,0,3,2,2,2,2,1,1,0,4,5,2,0,0,7,7
Monica Maria Djerassi,,,,,,0,6,6,1,2,1,0,0,6,0,2,0,0,8,7
Linda Norris,,,,,,,0,5,1,1,0,0,0,6,0,1,0,0,9,7
Lisa Rhodes,,,,,,,,0,0,1,1,0,0,5,0,1,0,0,10,7
John Brady,,,,,,,,,0,1,0,1,0,2,0,2,0,0,11,7
Jacque Whaumbush,,,,,,,,,,0,1,0,0,0,0,2,0,0,12,7
Joe Khan,,,,,,,,,,,0,0,0,0,0,1,0,0,13,7
Nat Lownes,,,,,,,,,,,,0,0,1,0,0,0,0,14,7
Rebecca Poyourow,,,,,,,,,,,,,0,0,0,0,0,0,15,7
Mike Stack,,,,,,,,,,,,,,1,0,0,0,0,16,7
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,7
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,7
John Fetterman,,,,,,,,,,,,,,,,,0,0,19,7
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,7
Total,26,23,19,14,11,8,7,6,4,2,1,1,0,22,9,7,0,0,21,7
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,8
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,Nat Lownes,John Brady,Jacque Whaumbush,Joe Khan,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,8
Kathryn S Huggins,1,51,52,38,35,35,32,25,18,15,9,9,5,28,17,20,3,0,3,8
Ken Washington,,2,51,39,35,32,29,27,15,16,9,10,4,26,19,14,5,0,4,8
Dewayne Drummond,,,0,39,32,30,28,24,14,16,10,6,4,23,16,16,5,0,5,8
Liam G Boyle,,,,0,22,23,21,17,10,14,6,3,3,21,9,11,2,0,6,8
Linda Norris,,,,,0,33,29,9,10,6,6,10,3,18,18,5,0,0,7,8
Lisa Rhodes,,,,,,0,29,10,11,5,7,8,5,19,18,4,0,0,8,8
Monica Maria Djerassi,,,,,,,0,7,10,9,6,8,4,19,13,4,1,0,9,8
Kevin Bundy,,,,,,,,0,12,9,9,3,3,7,5,14,3,0,10,8
Rebecca Poyourow,,,,,,,,,0,7,5,3,3,6,6,4,3,0,11,8
Nat Lownes,,,,,,,,,,0,4,4,3,5,4,5,3,0,12,8
John Brady,,,,,,,,,,,0,2,4,4,5,5,0,0,13,8
Jacque Whaumbush,,,,,,,,,,,,0,1,3,7,2,0,0,14,8
Joe Khan,,,,,,,,,,,,,0,3,2,1,1,0,15,8
Mike Stack,,,,,,,,,,,,,,2,0,0,0,0,16,8
Nina Ahmad,,,,,,,,,,,,,,,3,0,0,0,17,8
Kathi Cozzone,,,,,,,,,,,,,,,,1,0,0,18,8
John Fetterman,,,,,,,,,,,,,,,,,2,0,19,8
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,8
Total,71,69,62,45,41,41,37,32,20,18,14,12,7,37,28,26,9,0,21,8
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,9
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,John Brady,Nat Lownes,Rebecca Poyourow,Jacque Whaumbush,Joe Khan,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Kathryn S Huggins,0,33,35,27,30,11,12,11,6,7,8,4,3,19,19,10,3,0,3,9
Ken Washington,,3,34,27,29,10,10,9,4,5,7,7,3,22,14,8,4,0,4,9
Dewayne Drummond,,,2,28,28,11,12,9,8,7,7,7,2,17,13,9,4,0,5,9
Kevin Bundy,,,,0,24,4,4,4,5,8,3,4,1,14,14,5,1,0,6,9
Liam G Boyle,,,,,0,3,8,5,1,4,5,3,1,13,13,5,1,0,7,9
Lisa Rhodes,,,,,,0,8,9,5,4,4,4,2,5,1,7,1,0,8,9
Monica Maria Djerassi,,,,,,,0,8,2,4,4,5,0,6,0,7,1,0,9,9
Linda Norris,,,,,,,,0,2,2,3,3,2,5,0,7,0,0,10,9
John Brady,,,,,,,,,0,3,3,2,1,3,2,2,2,0,11,9
Nat Lownes,,,,,,,,,,0,2,2,1,3,2,5,0,0,12,9
Rebecca Poyourow,,,,,,,,,,,0,1,2,3,1,3,1,0,13,9
Jacque Whaumbush,,,,,,,,,,,,0,0,5,0,2,0,0,14,9
Joe Khan,,,,,,,,,,,,,0,1,0,2,0,0,15,9
Mike Stack,,,,,,,,,,,,,,5,0,0,0,0,16,9
Kathi Cozzone,,,,,,,,,,,,,,,0,0,0,0,17,9
Nina Ahmad,,,,,,,,,,,,,,,,1,0,0,18,9
John Fetterman,,,,,,,,,,,,,,,,,1,0,19,9
Ray Sosa,,,,,,,,,,,,,,,,,,0,20,9
Total,55,53,48,36,33,16,16,13,10,10,9,7,3,41,23,16,7,0,21,9
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Lieutenant Governor - Democrat,,,,,1,10
,Kathryn S Huggins,Ken Washington,Dewayne Drummond,Kevin Bundy,Liam G Boyle,Linda Norris,Lisa Rhodes,John Brady,Nat Lownes,Joe Khan,Rebecca Poyourow,Jacque Whaumbush,Monica Maria Djerassi,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,10
Kathryn S Huggins,1,19,17,13,13,5,5,4,4,2,3,1,1,15,10,1,2,0,3,10
Ken Washington,,0,18,11,13,6,6,4,4,2,3,1,2,18,3,2,1,0,4,10
Dewayne Drummond,,,1,9,13,5,6,3,4,2,2,2,1,13,4,1,0,0,5,10
Kevin Bundy,,,,1,8,3,2,2,2,1,2,1,1,5,4,1,1,0,6,10
Liam G Boyle,,,,,0,2,2,1,1,0,1,0,0,8,3,1,0,0,7,10
Linda Norris,,,,,,0,6,4,1,3,1,1,2,6,0,0,1,0,8,10
