col_1,col_2,col_3,col_4,order,division
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,All
,Tom Wolf,Dwight Evans,Kevin Johnson,2,All
Tom Wolf,209,"2,682",603,3,All
Dwight Evans,,116,0,4,All
Kevin Johnson,,,52,5,All
Total,"3,494","2,798",655,6,All
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,1
,Tom Wolf,Dwight Evans,Kevin Johnson,2,1
Tom Wolf,5,71,3,3,1
Dwight Evans,,3,0,4,1
Kevin Johnson,,,1,5,1
Total,79,74,4,6,1
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,2
,Tom Wolf,Dwight Evans,Kevin Johnson,2,2
Tom Wolf,14,136,26,3,2
Dwight Evans,,7,0,4,2
Kevin Johnson,,,2,5,2
Total,176,143,28,6,2
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,3
,Tom Wolf,Dwight Evans,Kevin Johnson,2,3
Tom Wolf,2,12,4,3,3
Dwight Evans,,0,0,4,3
Kevin Johnson,,,0,5,3
Total,18,12,4,6,3
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,4
,Tom Wolf,Dwight Evans,Kevin Johnson,2,4
Tom Wolf,3,73,13,3,4
Dwight Evans,,2,0,4,4
Kevin Johnson,,,1,5,4
Total,89,75,14,6,4
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,5
,Tom Wolf,Dwight Evans,Kevin Johnson,2,5
Tom Wolf,7,95,31,3,5
Dwight Evans,,4,0,4,5
Kevin Johnson,,,4,5,5
Total,133,99,35,6,5
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,6
,Tom Wolf,Dwight Evans,Kevin Johnson,2,6
Tom Wolf,5,104,30,3,6
Dwight Evans,,3,0,4,6
Kevin Johnson,,,3,5,6
Total,139,107,33,6,6
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,7
,Tom Wolf,Dwight Evans,Kevin Johnson,2,7
Tom Wolf,15,108,21,3,7
Dwight Evans,,8,0,4,7
Kevin Johnson,,,2,5,7
Total,144,116,23,6,7
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,8
,Tom Wolf,Dwight Evans,Kevin Johnson,2,8
Tom Wolf,10,92,19,3,8
Dwight Evans,,6,0,4,8
Kevin Johnson,,,2,5,8
Total,121,98,21,6,8
,Governor - Democrat,Representative In Congress 3rd District - Democrat,,1,9
,Tom Wolf,Dwight Evans,Kevin Johnson,2,9
Tom Wolf,7,100,10,3,9
Dwight Evans,,5,0,4,9
Kevin Johnson,,,0,5,9
Total,117,105,10,6,9
