col_1,col_2,col_3,col_4,col_5,col_6,order,division
,United States Senator - Republican,,Governor - Republican,,,1,All
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,All
Lou Barletta,11,0,136,115,50,3,All
Jim Christiana,,6,69,82,42,4,All
Paul Mango,,,24,0,0,5,All
Scott R Wagner,,,,19,0,6,All
Laura Ellsworth,,,,,11,7,All
Total,312,199,229,216,103,8,All
,United States Senator - Republican,,Governor - Republican,,,1,1
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,1
Lou Barletta,1,0,13,8,5,3,1
Jim Christiana,,0,8,6,7,4,1
Paul Mango,,,0,0,0,5,1
Scott R Wagner,,,,0,0,6,1
Laura Ellsworth,,,,,0,7,1
Total,27,21,21,14,12,8,1
,United States Senator - Republican,,Governor - Republican,,,1,2
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,2
Lou Barletta,0,0,11,7,3,3,2
Jim Christiana,,0,7,7,5,4,2
Scott R Wagner,,,2,0,0,5,2
Paul Mango,,,,2,0,6,2
Laura Ellsworth,,,,,1,7,2
Total,21,19,20,16,9,8,2
,Governor - Republican,,,United States Senator - Republican,,1,3
,Scott R Wagner,Paul Mango,Laura Ellsworth,Jim Christiana,Lou Barletta,2,3
Scott R Wagner,0,0,0,2,4,3,3
Paul Mango,,0,0,3,1,4,3
Laura Ellsworth,,,1,0,0,5,3
Jim Christiana,,,,0,0,6,3
Lou Barletta,,,,,0,7,3
Total,6,4,1,5,5,8,3
,United States Senator - Republican,,Governor - Republican,,,1,4
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,4
Lou Barletta,0,0,9,6,4,3,4
Jim Christiana,,0,7,6,4,4,4
Scott R Wagner,,,0,0,0,5,4
Paul Mango,,,,1,0,6,4
Laura Ellsworth,,,,,1,7,4
Total,19,17,16,13,9,8,4
,Governor - Republican,,,United States Senator - Republican,,1,5
,Paul Mango,Laura Ellsworth,Scott R Wagner,Jim Christiana,Lou Barletta,2,5
Paul Mango,1,0,0,4,5,3,5
Laura Ellsworth,,0,0,1,1,4,5
Scott R Wagner,,,0,2,0,5,5
Jim Christiana,,,,0,0,6,5
Lou Barletta,,,,,1,7,5
Total,10,2,2,7,7,8,5
,Governor - Republican,,,United States Senator - Republican,,1,6
,Scott R Wagner,Paul Mango,Laura Ellsworth,Lou Barletta,Jim Christiana,2,6
Scott R Wagner,0,0,0,2,2,3,6
Paul Mango,,0,0,1,0,4,6
Laura Ellsworth,,,0,0,0,5,6
Lou Barletta,,,,0,0,6,6
Jim Christiana,,,,,0,7,6
Total,4,1,0,3,2,8,6
,United States Senator - Republican,,Governor - Republican,,,1,7
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,7
Lou Barletta,1,0,17,14,6,3,7
Jim Christiana,,0,8,8,2,4,7
Scott R Wagner,,,6,0,0,5,7
Paul Mango,,,,3,0,6,7
Laura Ellsworth,,,,,2,7,7
Total,38,18,31,25,10,8,7
,United States Senator - Republican,,Governor - Republican,,,1,8
,Lou Barletta,Jim Christiana,Laura Ellsworth,Paul Mango,Scott R Wagner,2,8
Lou Barletta,1,0,1,1,1,3,8
Jim Christiana,,0,1,0,1,4,8
Laura Ellsworth,,,0,0,0,5,8
Paul Mango,,,,1,0,6,8
Scott R Wagner,,,,,0,7,8
Total,4,2,2,2,2,8,8
,United States Senator - Republican,,Governor - Republican,,,1,9
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,9
Lou Barletta,1,0,9,4,2,3,9
Jim Christiana,,0,5,7,2,4,9
Paul Mango,,,0,0,0,5,9
Scott R Wagner,,,,0,0,6,9
Laura Ellsworth,,,,,1,7,9
Total,16,14,14,11,5,8,9
,United States Senator - Republican,,Governor - Republican,,,1,10
,Lou Barletta,Jim Christiana,Paul Mango,Scott R Wagner,Laura Ellsworth,2,10
Lou Barletta,1,0,9,7,7,3,10
Jim Christiana,,3,3,5,3,4,10
Paul Mango,,,1,0,0,5,10
Scott R Wagner,,,,1,0,6,10
Laura Ellsworth,,,,,1,7,10
Total,24,14,13,13,11,8,10
,Governor - Republican,,,United States Senator - Republican,,1,11
,Paul Mango,Scott R Wagner,Laura Ellsworth,Lou Barletta,Jim Christiana,2,11
Paul Mango,1,0,0,7,3,3,11
Scott R Wagner,,0,0,3,0,4,11
Laura Ellsworth,,,0,0,0,5,11
Lou Barletta,,,,0,0,6,11
Jim Christiana,,,,,0,7,11
Total,11,3,0,10,3,8,11
,United States Senator - Republican,,Governor - Republican,,,1,12
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,12
Lou Barletta,0,0,1,3,1,3,12
Jim Christiana,,0,3,0,0,4,12
Scott R Wagner,,,0,0,0,5,12
Paul Mango,,,,0,0,6,12
Laura Ellsworth,,,,,0,7,12
Total,5,3,4,3,1,8,12
,United States Senator - Republican,,Governor - Republican,,,1,13
,Jim Christiana,Lou Barletta,Scott R Wagner,Laura Ellsworth,Paul Mango,2,13
Jim Christiana,0,0,2,0,1,3,13
Lou Barletta,,0,0,1,0,4,13
Scott R Wagner,,,1,0,0,5,13
Laura Ellsworth,,,,0,0,6,13
Paul Mango,,,,,0,7,13
Total,3,1,3,1,1,8,13
,United States Senator - Republican,,Governor - Republican,,,1,14
,Jim Christiana,Lou Barletta,Laura Ellsworth,Scott R Wagner,Paul Mango,2,14
Jim Christiana,0,0,2,1,0,3,14
Lou Barletta,,0,0,0,0,4,14
Laura Ellsworth,,,0,0,0,5,14
Scott R Wagner,,,,0,0,6,14
Paul Mango,,,,,0,7,14
Total,3,0,2,1,0,8,14
,United States Senator - Republican,,Governor - Republican,,,1,15
,Jim Christiana,Lou Barletta,Scott R Wagner,Paul Mango,Laura Ellsworth,2,15
Jim Christiana,1,0,1,1,0,3,15
Lou Barletta,,0,2,0,0,4,15
Scott R Wagner,,,0,0,0,5,15
Paul Mango,,,,0,0,6,15
Laura Ellsworth,,,,,0,7,15
Total,3,2,3,1,0,8,15
,United States Senator - Republican,,Governor - Republican,,,1,16
,Lou Barletta,Jim Christiana,Scott R Wagner,Paul Mango,Laura Ellsworth,2,16
Lou Barletta,1,0,4,3,0,3,16
Jim Christiana,,0,3,2,1,4,16
