col_1,col_2,order,division
,Governor - Democrat,1,All
,Tom Wolf,2,All
Tom Wolf,"2,125",3,All
Total,"2,125",4,All
,Governor - Democrat,1,1
,Tom Wolf,2,1
Tom Wolf,32,3,1
Total,32,4,1
,Governor - Democrat,1,2
,Tom Wolf,2,2
Tom Wolf,76,3,2
Total,76,4,2
,Governor - Democrat,1,3
,Tom Wolf,2,3
Tom Wolf,64,3,3
Total,64,4,3
,Governor - Democrat,1,4
,Tom Wolf,2,4
Tom Wolf,79,3,4
Total,79,4,4
,Governor - Democrat,1,5
,Tom Wolf,2,5
Tom Wolf,91,3,5
Total,91,4,5
,Governor - Democrat,1,6
,Tom Wolf,2,6
Tom Wolf,166,3,6
Total,166,4,6
,Governor - Democrat,1,7
,Tom Wolf,2,7
Tom Wolf,64,3,7
Total,64,4,7
,Governor - Democrat,1,8
,Tom Wolf,2,8
Tom Wolf,68,3,8
Total,68,4,8
,Governor - Democrat,1,9
,Tom Wolf,2,9
Tom Wolf,71,3,9
Total,71,4,9
,Governor - Democrat,1,10
,Tom Wolf,2,10
Tom Wolf,50,3,10
Total,50,4,10
,Governor - Democrat,1,11
,Tom Wolf,2,11
Tom Wolf,67,3,11
Total,67,4,11
,Governor - Democrat,1,12
,Tom Wolf,2,12
Tom Wolf,87,3,12
Total,87,4,12
,Governor - Democrat,1,13
,Tom Wolf,2,13
Tom Wolf,72,3,13
Total,72,4,13
,Governor - Democrat,1,14
,Tom Wolf,2,14
Tom Wolf,127,3,14
Total,127,4,14
,Governor - Democrat,1,15
,Tom Wolf,2,15
Tom Wolf,99,3,15
Total,99,4,15
,Governor - Democrat,1,16
,Tom Wolf,2,16
Tom Wolf,73,3,16
Total,73,4,16
,Governor - Democrat,1,17
,Tom Wolf,2,17
Tom Wolf,74,3,17
Total,74,4,17
,Governor - Democrat,1,18
,Tom Wolf,2,18
Tom Wolf,75,3,18
Total,75,4,18
,Governor - Democrat,1,19
,Tom Wolf,2,19
Tom Wolf,55,3,19
Total,55,4,19
,Governor - Democrat,1,20
,Tom Wolf,2,20
Tom Wolf,70,3,20
Total,70,4,20
,Governor - Democrat,1,21
,Tom Wolf,2,21
Tom Wolf,57,3,21
Total,57,4,21
,Governor - Democrat,1,22
,Tom Wolf,2,22
Tom Wolf,70,3,22
Total,70,4,22
,Governor - Democrat,1,23
,Tom Wolf,2,23
Tom Wolf,67,3,23
Total,67,4,23
,Governor - Democrat,1,24
,Tom Wolf,2,24
Tom Wolf,75,3,24
Total,75,4,24
,Governor - Democrat,1,25
,Tom Wolf,2,25
Tom Wolf,89,3,25
Total,89,4,25
,Governor - Democrat,1,26
,Tom Wolf,2,26
Tom Wolf,71,3,26
Total,71,4,26
,Governor - Democrat,1,27
,Tom Wolf,2,27
Tom Wolf,56,3,27
Total,56,4,27
,Governor - Democrat,1,28
,Tom Wolf,2,28
Tom Wolf,80,3,28
Total,80,4,28
