col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Total,45,12,30,27,27,24,23,22,22,21,17,16,16,13,12,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Rhea Powell,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Darrell L Clarke,Joe Celentano,Tom Young,Amanda Mcillmurray,Mariel J K Martin,Judi Golding Baker,Noam Kugelmass,Jon Geeting,Matthew D Myers,2,2
Dwight Evans,13,0,31,15,12,12,15,13,12,9,10,10,9,7,3,3,2
Kevin Johnson,,3,13,10,11,9,6,8,9,10,9,7,6,5,5,4,2
Rhea Powell,,,3,21,20,14,17,14,14,15,17,18,12,9,7,5,2
Andi Perez,,,,0,19,14,11,11,11,15,16,12,11,10,5,6,2
Marylouise Isaacson,,,,,0,12,10,9,7,18,13,13,8,9,7,7,2
Micah Mahjoubian,,,,,,0,10,11,8,9,10,9,13,9,5,8,2
Darrell L Clarke,,,,,,,0,8,8,7,11,12,5,7,4,9,2
Joe Celentano,,,,,,,,0,10,7,8,9,9,5,4,10,2
Tom Young,,,,,,,,,0,3,6,5,8,6,2,11,2
Amanda Mcillmurray,,,,,,,,,,0,12,11,5,5,6,12,2
Mariel J K Martin,,,,,,,,,,,0,11,6,6,6,13,2
Judi Golding Baker,,,,,,,,,,,,0,5,4,4,14,2
Noam Kugelmass,,,,,,,,,,,,,0,5,2,15,2
Jon Geeting,,,,,,,,,,,,,,0,4,16,2
Matthew D Myers,,,,,,,,,,,,,,,0,17,2
Total,54,27,48,27,24,23,22,21,21,20,20,18,17,12,8,18,2
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,3
Dwight Evans,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
Kevin Johnson,,27,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,3
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,3
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,3
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,3
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,3
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,3
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,3
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,3
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,3
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,3
Rhea Powell,,,,,,,,,,,,,,0,0,16,3
Tom Young,,,,,,,,,,,,,,,0,17,3
Total,60,27,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,4
Dwight Evans,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
Kevin Johnson,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,4
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,4
