col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
Dwight Evans,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,17
Kevin Johnson,,14,0,0,0,0,0,0,0,0,0,0,0,0,0,4,17
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,17
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,17
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,17
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,17
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,17
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,17
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,17
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,17
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,17
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,17
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,17
Rhea Powell,,,,,,,,,,,,,,0,0,16,17
Tom Young,,,,,,,,,,,,,,,0,17,17
Total,43,14,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,18
,Dwight Evans,Kevin Johnson,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Micah Mahjoubian,Mariel J K Martin,Noam Kugelmass,Judi Golding Baker,Darrell L Clarke,Tom Young,Jon Geeting,Joe Celentano,Matthew D Myers,2,18
Dwight Evans,10,0,29,16,15,14,15,14,14,12,14,9,7,5,4,3,18
Kevin Johnson,,5,15,12,14,14,12,8,9,9,6,8,3,5,3,4,18
Rhea Powell,,,0,29,27,27,25,22,21,21,18,14,9,10,6,5,18
Amanda Mcillmurray,,,,0,20,22,18,20,15,18,12,10,8,4,5,6,18
Andi Perez,,,,,0,23,18,14,17,15,15,10,6,6,5,7,18
Marylouise Isaacson,,,,,,0,17,15,14,15,10,11,7,7,4,8,18
Micah Mahjoubian,,,,,,,0,15,18,12,14,12,5,8,4,9,18
Mariel J K Martin,,,,,,,,0,12,16,11,6,8,4,4,10,18
Noam Kugelmass,,,,,,,,,0,11,14,10,4,7,5,11,18
Judi Golding Baker,,,,,,,,,,0,10,7,8,3,3,12,18
Darrell L Clarke,,,,,,,,,,,0,6,6,3,4,13,18
Tom Young,,,,,,,,,,,,0,5,7,1,14,18
Jon Geeting,,,,,,,,,,,,,2,1,1,15,18
Joe Celentano,,,,,,,,,,,,,,0,0,16,18
Matthew D Myers,,,,,,,,,,,,,,,0,17,18
Total,47,23,46,30,29,29,28,23,23,22,20,17,12,10,7,18,18
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,19
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,19
Dwight Evans,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,19
Kevin Johnson,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,19
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,19
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,19
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,19
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,19
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,19
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,19
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,19
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,19
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,19
Rhea Powell,,,,,,,,,,,,,,0,0,16,19
Tom Young,,,,,,,,,,,,,,,0,17,19
Total,19,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,19
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,20
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Rhea Powell,Marylouise Isaacson,Andi Perez,Mariel J K Martin,Noam Kugelmass,Judi Golding Baker,Micah Mahjoubian,Tom Young,Joe Celentano,Jon Geeting,Matthew D Myers,Darrell L Clarke,2,20
Dwight Evans,10,0,32,34,29,25,21,20,18,19,15,14,17,14,15,3,20
Kevin Johnson,,5,23,16,13,17,12,13,8,8,11,7,8,6,3,4,20
Amanda Mcillmurray,,,1,36,37,35,29,27,23,21,24,18,22,16,11,5,20
Rhea Powell,,,,0,32,26,25,25,22,21,19,14,17,15,12,6,20
Marylouise Isaacson,,,,,0,26,24,23,22,18,17,12,17,18,11,7,20
Andi Perez,,,,,,0,22,24,16,21,17,13,17,12,10,8,20
Mariel J K Martin,,,,,,,0,20,17,15,14,9,12,13,10,9,20
Noam Kugelmass,,,,,,,,0,14,18,20,13,14,15,9,10,20
Judi Golding Baker,,,,,,,,,0,9,12,4,10,12,8,11,20
Micah Mahjoubian,,,,,,,,,,0,15,12,12,7,7,12,20
Tom Young,,,,,,,,,,,0,14,13,8,3,13,20
Joe Celentano,,,,,,,,,,,,3,13,6,3,14,20
Jon Geeting,,,,,,,,,,,,,0,10,7,15,20
Matthew D Myers,,,,,,,,,,,,,,0,8,16,20
Darrell L Clarke,,,,,,,,,,,,,,,0,17,20
Total,61,35,59,52,44,42,34,34,27,27,27,26,26,22,18,18,20
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,21
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,21
Dwight Evans,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,21
Kevin Johnson,,21,0,0,0,0,0,0,0,0,0,0,0,0,0,4,21
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,21
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,21
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,21
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,21
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,21
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,21
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,21
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,21
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,21
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,21
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,21
Rhea Powell,,,,,,,,,,,,,,0,0,16,21
Tom Young,,,,,,,,,,,,,,,0,17,21
Total,108,21,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,22
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,22
Dwight Evans,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,22
Kevin Johnson,,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,22
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,22
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,22
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,22
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,22
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,22
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,22
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,22
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,22
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,22
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,22
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,22
Rhea Powell,,,,,,,,,,,,,,0,0,16,22
Tom Young,,,,,,,,,,,,,,,0,17,22
Total,13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,22
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,23
,Dwight Evans,Kevin Johnson,Amanda Mcillmurray,Andi Perez,Darrell L Clarke,Joe Celentano,Jon Geeting,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Matthew D Myers,Micah Mahjoubian,Noam Kugelmass,Rhea Powell,Tom Young,2,23
Dwight Evans,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,23
Kevin Johnson,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,23
Amanda Mcillmurray,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,23
Andi Perez,,,,0,0,0,0,0,0,0,0,0,0,0,0,6,23
Darrell L Clarke,,,,,0,0,0,0,0,0,0,0,0,0,0,7,23
Joe Celentano,,,,,,0,0,0,0,0,0,0,0,0,0,8,23
Jon Geeting,,,,,,,0,0,0,0,0,0,0,0,0,9,23
Judi Golding Baker,,,,,,,,0,0,0,0,0,0,0,0,10,23
Mariel J K Martin,,,,,,,,,0,0,0,0,0,0,0,11,23
Marylouise Isaacson,,,,,,,,,,0,0,0,0,0,0,12,23
Matthew D Myers,,,,,,,,,,,0,0,0,0,0,13,23
Micah Mahjoubian,,,,,,,,,,,,0,0,0,0,14,23
Noam Kugelmass,,,,,,,,,,,,,0,0,0,15,23
Rhea Powell,,,,,,,,,,,,,,0,0,16,23
Tom Young,,,,,,,,,,,,,,,0,17,23
Total,37,13,0,0,0,0,0,0,0,0,0,0,0,0,0,18,23
