col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,order,division
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Marylouise Isaacson,Rhea Powell,Micah Mahjoubian,Joe Celentano,Tom Young,Matthew D Myers,Andi Perez,Mariel J K Martin,Darrell L Clarke,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,All
Marylouise Isaacson,13,345,393,244,351,271,390,381,291,325,252,189,135,3,All
Rhea Powell,,71,303,300,266,139,256,246,170,311,256,244,152,4,All
Micah Mahjoubian,,,19,245,382,244,351,314,284,212,168,214,113,5,All
Joe Celentano,,,,134,267,167,204,184,143,220,150,198,150,6,All
Tom Young,,,,,37,264,321,289,258,196,133,196,126,7,All
Matthew D Myers,,,,,,81,239,259,281,136,131,77,76,8,All
Andi Perez,,,,,,,6,330,264,219,168,151,114,9,All
Mariel J K Martin,,,,,,,,6,275,250,193,138,88,10,All
Darrell L Clarke,,,,,,,,,31,149,136,96,77,11,All
Amanda Mcillmurray,,,,,,,,,,12,243,169,114,12,All
Judi Golding Baker,,,,,,,,,,,2,127,86,13,All
Noam Kugelmass,,,,,,,,,,,,8,98,14,All
Jon Geeting,,,,,,,,,,,,,13,15,All
Total,612,587,585,577,569,509,502,494,466,434,333,316,222,16,All
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Micah Mahjoubian,Tom Young,Matthew D Myers,Andi Perez,Mariel J K Martin,Marylouise Isaacson,Darrell L Clarke,Joe Celentano,Rhea Powell,Jon Geeting,Noam Kugelmass,Amanda Mcillmurray,Judi Golding Baker,2,1
Micah Mahjoubian,1,24,18,20,19,20,18,5,6,5,6,2,2,3,1
Tom Young,,2,17,19,17,19,16,4,4,3,4,1,1,4,1
Matthew D Myers,,,4,16,18,15,16,2,0,0,0,0,1,5,1
Andi Perez,,,,0,18,20,17,5,5,5,6,2,3,6,1
Mariel J K Martin,,,,,0,17,16,3,3,2,3,3,2,7,1
Marylouise Isaacson,,,,,,0,17,6,6,4,6,2,3,8,1
Darrell L Clarke,,,,,,,0,2,2,2,2,1,2,9,1
Joe Celentano,,,,,,,,9,5,5,6,3,1,10,1
Rhea Powell,,,,,,,,,3,5,6,2,2,11,1
Jon Geeting,,,,,,,,,,0,5,1,1,12,1
Noam Kugelmass,,,,,,,,,,,0,3,2,13,1
Amanda Mcillmurray,,,,,,,,,,,,0,1,14,1
Judi Golding Baker,,,,,,,,,,,,,0,15,1
Total,30,27,25,22,22,22,20,19,12,7,7,3,3,16,1
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Joe Celentano,Marylouise Isaacson,Rhea Powell,Matthew D Myers,Micah Mahjoubian,Darrell L Clarke,Mariel J K Martin,Tom Young,Andi Perez,Amanda Mcillmurray,Judi Golding Baker,Noam Kugelmass,Jon Geeting,2,2
Joe Celentano,5,15,21,10,14,12,15,14,12,14,11,13,8,3,2
Marylouise Isaacson,,1,18,15,19,15,20,19,17,14,12,8,6,4,2
Rhea Powell,,,4,10,15,11,14,13,12,17,13,12,7,5,2
Matthew D Myers,,,,4,11,17,14,12,11,9,8,4,7,6,2
Micah Mahjoubian,,,,,2,13,16,17,16,9,8,11,2,7,2
Darrell L Clarke,,,,,,2,17,13,11,6,6,4,4,8,2
Mariel J K Martin,,,,,,,0,15,14,10,9,5,3,9,2
Tom Young,,,,,,,,0,17,10,5,7,7,10,2
Andi Perez,,,,,,,,,0,9,9,7,5,11,2
Amanda Mcillmurray,,,,,,,,,,2,11,7,5,12,2
Judi Golding Baker,,,,,,,,,,,0,5,4,13,2
Noam Kugelmass,,,,,,,,,,,,0,4,14,2
Jon Geeting,,,,,,,,,,,,,0,15,2
Total,32,30,29,27,27,26,25,24,23,20,16,15,10,16,2
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
,Joe Celentano,Matthew D Myers,Darrell L Clarke,Tom Young,Micah Mahjoubian,Rhea Powell,Judi Golding Baker,Mariel J K Martin,Marylouise Isaacson,Andi Perez,Noam Kugelmass,Jon Geeting,Amanda Mcillmurray,2,3
Joe Celentano,11,11,8,6,9,10,10,8,8,9,7,5,6,3,3
Matthew D Myers,,5,8,5,8,6,8,5,5,8,6,3,4,4,3
Darrell L Clarke,,,2,6,5,5,5,2,3,5,5,1,3,5,3
Tom Young,,,,2,6,6,4,1,3,4,5,2,2,6,3
Micah Mahjoubian,,,,,0,5,6,5,4,7,4,3,2,7,3
Rhea Powell,,,,,,0,8,4,5,4,5,4,5,8,3
Judi Golding Baker,,,,,,,0,4,3,5,4,3,5,9,3
Mariel J K Martin,,,,,,,,2,5,6,3,5,3,10,3
Marylouise Isaacson,,,,,,,,,2,5,5,3,3,11,3
Andi Perez,,,,,,,,,,0,3,4,2,12,3
Noam Kugelmass,,,,,,,,,,,0,3,5,13,3
Jon Geeting,,,,,,,,,,,,2,3,14,3
Amanda Mcillmurray,,,,,,,,,,,,,0,15,3
Total,27,17,12,12,11,11,10,10,10,9,9,8,7,16,3
,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,4
