col_1,col_2,col_3,col_4,col_5,col_6,division
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,All
,James Williams,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,All
James Williams,3,9,7,3,0,All
Kathy Coder,,0,0,0,0,All
Diana Irey Vaughan,,,0,0,0,All
Jeff Bartos,,,,0,0,All
Peg Luksik,,,,,0,All
Total,22,9,7,3,0,All
,Lieutenant Governor - Republican,,,,Senator In The General Assembly 4th District - Republican,1
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,James Williams,1
Diana Irey Vaughan,0,0,0,0,1,1
Jeff Bartos,,0,0,0,0,1
Kathy Coder,,,0,0,0,1
Peg Luksik,,,,0,0,1
James Williams,,,,,0,1
Total,1,0,0,0,1,1
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,2
,James Williams,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,2
James Williams,0,1,0,0,0,2
Kathy Coder,,0,0,0,0,2
Diana Irey Vaughan,,,0,0,0,2
Jeff Bartos,,,,0,0,2
Peg Luksik,,,,,0,2
Total,1,1,0,0,0,2
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,3
,James Williams,Kathy Coder,Diana Irey Vaughan,Jeff Bartos,Peg Luksik,3
James Williams,0,1,0,0,0,3
Kathy Coder,,0,0,0,0,3
Diana Irey Vaughan,,,0,0,0,3
Jeff Bartos,,,,0,0,3
Peg Luksik,,,,,0,3
Total,1,1,0,0,0,3
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,5
,James Williams,Jeff Bartos,Diana Irey Vaughan,Kathy Coder,Peg Luksik,5
James Williams,1,1,0,0,0,5
Jeff Bartos,,0,0,0,0,5
Diana Irey Vaughan,,,0,0,0,5
Kathy Coder,,,,0,0,5
Peg Luksik,,,,,0,5
Total,2,1,0,0,0,5
,Lieutenant Governor - Republican,,,,Senator In The General Assembly 4th District - Republican,8
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,James Williams,8
Diana Irey Vaughan,0,0,0,0,1,8
Jeff Bartos,,0,0,0,0,8
Kathy Coder,,,0,0,0,8
Peg Luksik,,,,0,0,8
James Williams,,,,,0,8
Total,1,0,0,0,1,8
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,11
,James Williams,Jeff Bartos,Kathy Coder,Diana Irey Vaughan,Peg Luksik,11
James Williams,0,1,1,0,0,11
Jeff Bartos,,0,0,0,0,11
Kathy Coder,,,0,0,0,11
Diana Irey Vaughan,,,,0,0,11
Peg Luksik,,,,,0,11
Total,2,1,1,0,0,11
,Lieutenant Governor - Republican,,,,Senator In The General Assembly 4th District - Republican,12
,Diana Irey Vaughan,Jeff Bartos,Kathy Coder,Peg Luksik,James Williams,12
Diana Irey Vaughan,0,0,0,0,1,12
Jeff Bartos,,0,0,0,0,12
Kathy Coder,,,0,0,0,12
Peg Luksik,,,,0,0,12
James Williams,,,,,0,12
Total,1,0,0,0,1,12
,Senator In The General Assembly 4th District - Republican,Lieutenant Governor - Republican,,,,14
