col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,All
Tom Wolf,196,869,410,334,149,12,3,All
Mike Stack,,28,0,0,0,0,4,All
Nina Ahmad,,,30,0,0,0,5,All
Kathi Cozzone,,,,14,0,0,6,All
John Fetterman,,,,,10,0,7,All
Ray Sosa,,,,,,4,8,All
Total,"1,970",897,440,348,159,16,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,1
Tom Wolf,9,38,23,15,7,1,3,1
Mike Stack,,1,0,0,0,0,4,1
Nina Ahmad,,,2,0,0,0,5,1
Kathi Cozzone,,,,0,0,0,6,1
John Fetterman,,,,,2,0,7,1
Ray Sosa,,,,,,0,8,1
Total,93,39,25,15,9,1,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,2
Tom Wolf,8,44,21,14,6,0,3,2
Mike Stack,,0,0,0,0,0,4,2
Nina Ahmad,,,0,0,0,0,5,2
Kathi Cozzone,,,,0,0,0,6,2
John Fetterman,,,,,3,0,7,2
Ray Sosa,,,,,,0,8,2
Total,93,44,21,14,9,0,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,2,3
Tom Wolf,5,31,25,10,8,0,3,3
Mike Stack,,0,0,0,0,0,4,3
Nina Ahmad,,,3,0,0,0,5,3
Kathi Cozzone,,,,0,0,0,6,3
John Fetterman,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,79,31,28,10,8,0,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,4
Tom Wolf,11,70,31,23,7,1,3,4
Nina Ahmad,,5,0,0,0,0,4,4
Mike Stack,,,4,0,0,0,5,4
John Fetterman,,,,1,0,0,6,4
Kathi Cozzone,,,,,0,0,7,4
Ray Sosa,,,,,,1,8,4
Total,143,75,35,24,7,2,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,Nina Ahmad,Mike Stack,John Fetterman,Kathi Cozzone,Ray Sosa,2,5
Tom Wolf,6,50,25,19,10,1,3,5
Nina Ahmad,,2,0,0,0,0,4,5
Mike Stack,,,0,0,0,0,5,5
John Fetterman,,,,0,0,0,6,5
Kathi Cozzone,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,111,52,25,19,10,1,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
