col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Bob Casey Jr,Rhea Powell,Amanda Mcillmurray,Andi Perez,Marylouise Isaacson,Judi Golding Baker,Joe Celentano,Micah Mahjoubian,Mariel J K Martin,Tom Young,Noam Kugelmass,Darrell L Clarke,Jon Geeting,Matthew D Myers,2,All
Bob Casey Jr,703,"2,625","1,945","1,753","1,723","1,542","1,517","1,480","1,389","1,270","1,230","1,021",951,685,3,All
Rhea Powell,,15,"1,588","1,386","1,409","1,314","1,278","1,197","1,125","1,013","1,036",752,770,477,4,All
Amanda Mcillmurray,,,3,"1,251","1,267","1,206",874,926,"1,035",757,782,614,546,434,5,All
Andi Perez,,,,2,"1,051",978,808,883,920,729,732,602,533,430,6,All
Marylouise Isaacson,,,,,3,"1,028",760,"1,005","1,024",724,744,627,462,461,7,All
Judi Golding Baker,,,,,,2,653,701,807,530,600,545,429,403,8,All
Joe Celentano,,,,,,,13,788,585,816,732,392,613,309,9,All
Micah Mahjoubian,,,,,,,,3,793,734,775,528,386,352,10,All
Mariel J K Martin,,,,,,,,,2,588,567,562,362,434,11,All
Tom Young,,,,,,,,,,6,691,426,460,349,12,All
Noam Kugelmass,,,,,,,,,,,3,351,426,271,13,All
Darrell L Clarke,,,,,,,,,,,,6,249,374,14,All
Jon Geeting,,,,,,,,,,,,,3,215,15,All
Matthew D Myers,,,,,,,,,,,,,,8,16,All
Total,"4,222","2,696","1,996","1,793","1,761","1,584","1,570","1,509","1,419","1,308","1,262","1,052",976,712,17,All
