col_1,col_2,col_3,col_4,division
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 3rd District - Democrat,,All
,Joanna E Mcclinton,Dwight Evans,Kevin Johnson,All
Joanna E Mcclinton,8,175,23,All
Dwight Evans,,19,0,All
Kevin Johnson,,,6,All
Total,206,194,29,All
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 3rd District - Democrat,,7
,Joanna E Mcclinton,Dwight Evans,Kevin Johnson,7
Joanna E Mcclinton,3,66,6,7
Dwight Evans,,4,0,7
Kevin Johnson,,,0,7
Total,75,70,6,7
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 3rd District - Democrat,,19
,Joanna E Mcclinton,Dwight Evans,Kevin Johnson,19
Joanna E Mcclinton,4,61,5,19
Dwight Evans,,6,0,19
Kevin Johnson,,,5,19
Total,70,67,10,19
,Representative In The General Assembly 191st District - Democrat,Representative In Congress 3rd District - Democrat,,22
,Joanna E Mcclinton,Dwight Evans,Kevin Johnson,22
Joanna E Mcclinton,1,48,12,22
Dwight Evans,,9,0,22
Kevin Johnson,,,1,22
Total,61,57,13,22
