To Remove,United States Senator Democrat,To Remove 2,Lieutenant Governor Democrat,To Remove 3,To Remove 4,To Remove 5,To Remove 6,To Remove 7,division
,United States Senator Democrat,,Lieutenant Governor Democrat,,,,,0,All
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,All
Bob Casey Jr,80,0,617,594,407,196,16,0,All
Write In,,2,0,0,0,0,0,0,All
John Fetterman,,,30,0,0,0,0,0,All
Nina Ahmad,,,,26,0,0,0,0,All
Mike Stack,,,,,40,0,0,0,All
Kathi Cozzone,,,,,,11,0,0,All
Ray Sosa,,,,,,,4,0,All
Total,"1,915",3,648,622,448,208,21,0,All
,Bob Casey Jr,Write In,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,0,1
Bob Casey Jr,3,0,54,49,37,22,1,0,1
Write In,,1,0,0,0,0,0,0,1
Nina Ahmad,,,2,0,0,0,0,0,1
John Fetterman,,,,5,0,0,0,0,1
Mike Stack,,,,,5,0,0,0,1
Kathi Cozzone,,,,,,2,0,0,1
Ray Sosa,,,,,,,1,0,1
Total,171,1,57,55,43,25,3,0,1
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,2
Bob Casey Jr,4,0,61,61,40,8,0,0,2
Write In,,1,0,0,0,0,0,0,2
John Fetterman,,,4,0,0,0,0,0,2
Nina Ahmad,,,,1,0,0,0,0,2
Mike Stack,,,,,4,0,0,0,2
Kathi Cozzone,,,,,,3,0,0,2
Ray Sosa,,,,,,,1,0,2
Total,178,1,66,63,45,12,1,0,2
,Bob Casey Jr,Write In,Mike Stack,Nina Ahmad,Ray Sosa,John Fetterman,Kathi Cozzone,0,3
Bob Casey Jr,2,0,13,2,1,0,0,0,3
Write In,,1,0,0,0,0,0,0,3
Mike Stack,,,2,0,0,0,0,0,3
Nina Ahmad,,,,2,0,0,0,0,3
Ray Sosa,,,,,1,0,0,0,3
John Fetterman,,,,,,1,0,0,3
Kathi Cozzone,,,,,,,1,0,3
Total,22,2,16,6,3,2,1,0,3
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,4
Bob Casey Jr,3,0,56,39,19,14,0,0,4
Write In,,1,0,0,0,0,0,0,4
John Fetterman,,,1,0,0,0,0,0,4
Nina Ahmad,,,,2,0,0,0,0,4
Mike Stack,,,,,5,0,0,0,4
Kathi Cozzone,,,,,,1,0,0,4
Ray Sosa,,,,,,,1,0,4
Total,136,1,58,42,25,16,2,0,4
,Bob Casey Jr,Write In,Nina Ahmad,John Fetterman,Mike Stack,Kathi Cozzone,Ray Sosa,0,5
Bob Casey Jr,3,0,30,27,15,11,0,0,5
Write In,,1,0,0,0,0,0,0,5
Nina Ahmad,,,4,0,0,0,0,0,5
John Fetterman,,,,3,0,0,0,0,5
Mike Stack,,,,,1,0,0,0,5
Kathi Cozzone,,,,,,1,0,0,5
Ray Sosa,,,,,,,1,0,5
Total,90,1,35,31,17,13,1,0,5
,Bob Casey Jr,Write In,John Fetterman,Nina Ahmad,Mike Stack,Kathi Cozzone,Ray Sosa,0,6
