col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,order,division
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,All
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Lisa Rhodes,Monica Maria Djerassi,Linda Norris,Kevin Bundy,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,John Brady,Nat Lownes,2,All
Dwight Evans,148,0,567,502,381,323,273,264,260,243,196,120,98,92,82,3,All
Kevin Johnson,,57,213,172,141,100,117,120,103,91,116,50,44,39,45,4,All
Kathryn S Huggins,,,9,492,442,370,342,350,317,277,271,124,114,102,107,5,All
Dewayne Drummond,,,,12,413,359,263,275,244,259,180,103,79,84,91,6,All
Ken Washington,,,,,3,330,218,226,212,226,138,78,57,64,77,7,All
Liam G Boyle,,,,,,2,173,186,172,199,104,53,29,53,56,8,All
Lisa Rhodes,,,,,,,0,285,314,96,191,89,111,64,60,9,All
Monica Maria Djerassi,,,,,,,,0,268,94,213,97,95,52,68,10,All
Linda Norris,,,,,,,,,1,86,181,75,95,57,50,11,All
Kevin Bundy,,,,,,,,,,1,89,57,29,69,57,12,All
Rebecca Poyourow,,,,,,,,,,,4,107,95,49,70,13,All
Joe Khan,,,,,,,,,,,,0,46,44,46,14,All
Jacque Whaumbush,,,,,,,,,,,,,0,23,32,15,All
John Brady,,,,,,,,,,,,,,0,36,16,All
Nat Lownes,,,,,,,,,,,,,,,0,17,All
Total,944,354,815,704,542,438,404,402,379,345,332,179,147,139,134,18,All
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,1
,Dwight Evans,Kevin Johnson,Rebecca Poyourow,Kathryn S Huggins,Lisa Rhodes,Linda Norris,Dewayne Drummond,Joe Khan,Monica Maria Djerassi,Ken Washington,Jacque Whaumbush,Liam G Boyle,Nat Lownes,Kevin Bundy,John Brady,2,1
Dwight Evans,8,0,29,30,24,23,23,20,18,16,10,7,7,4,3,3,1
Kevin Johnson,,2,12,10,8,7,6,5,7,4,5,3,3,2,0,4,1
Rebecca Poyourow,,,0,28,24,25,17,23,20,12,13,5,5,4,3,5,1
Kathryn S Huggins,,,,1,26,25,20,14,20,17,11,8,8,4,2,6,1
Lisa Rhodes,,,,,0,26,15,13,21,11,14,6,6,4,3,7,1
Linda Norris,,,,,,0,15,12,20,12,12,6,7,3,2,8,1
Dewayne Drummond,,,,,,,0,12,13,16,6,8,7,4,2,9,1
Joe Khan,,,,,,,,0,10,8,7,3,5,0,1,10,1
Monica Maria Djerassi,,,,,,,,,0,10,14,7,3,2,0,11,1
Ken Washington,,,,,,,,,,0,4,7,7,4,1,12,1
Jacque Whaumbush,,,,,,,,,,,0,2,3,1,0,13,1
Liam G Boyle,,,,,,,,,,,,0,3,3,0,14,1
Nat Lownes,,,,,,,,,,,,,0,2,0,15,1
Kevin Bundy,,,,,,,,,,,,,,0,2,16,1
John Brady,,,,,,,,,,,,,,,0,17,1
Total,54,16,43,41,32,31,29,26,25,20,15,10,10,6,3,18,1
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,2
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Kevin Bundy,Liam G Boyle,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,Jacque Whaumbush,Nat Lownes,John Brady,Joe Khan,2,2
Dwight Evans,7,0,29,25,15,12,11,12,11,9,7,7,2,3,1,3,2
Kevin Johnson,,1,12,13,10,8,8,7,5,6,4,3,3,0,1,4,2
Kathryn S Huggins,,,0,28,22,17,16,15,13,14,10,8,4,3,1,5,2
Dewayne Drummond,,,,2,23,17,18,14,13,13,8,10,5,3,2,6,2
Ken Washington,,,,,0,15,15,10,10,9,2,4,2,1,0,7,2
Kevin Bundy,,,,,,0,11,6,6,4,6,5,2,2,1,8,2
Liam G Boyle,,,,,,,0,7,8,9,5,1,2,1,1,9,2
Lisa Rhodes,,,,,,,,0,14,11,6,7,3,1,0,10,2
Linda Norris,,,,,,,,,0,10,4,5,1,2,1,11,2
Monica Maria Djerassi,,,,,,,,,,0,6,4,3,1,1,12,2
Rebecca Poyourow,,,,,,,,,,,0,5,3,1,1,13,2
Jacque Whaumbush,,,,,,,,,,,,0,4,2,2,14,2
Nat Lownes,,,,,,,,,,,,,0,0,1,15,2
John Brady,,,,,,,,,,,,,,0,1,16,2
Joe Khan,,,,,,,,,,,,,,,0,17,2
Total,43,19,41,40,25,20,19,19,16,15,11,10,5,3,2,18,2
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,1,3
,Dewayne Drummond,Kathryn S Huggins,Ken Washington,Liam G Boyle,Linda Norris,Lisa Rhodes,Monica Maria Djerassi,Kevin Bundy,Rebecca Poyourow,Joe Khan,Jacque Whaumbush,Nat Lownes,John Brady,Dwight Evans,Kevin Johnson,2,3
Dewayne Drummond,0,51,46,42,31,31,33,24,19,9,7,8,3,41,25,3,3
Kathryn S Huggins,,0,50,42,32,32,34,25,21,10,5,7,5,39,26,4,3
Ken Washington,,,0,42,28,28,30,22,16,7,1,6,4,37,19,5,3
Liam G Boyle,,,,0,24,24,28,17,12,2,1,6,3,31,16,6,3
Linda Norris,,,,,0,35,32,10,14,8,7,4,5,24,15,7,3
Lisa Rhodes,,,,,,0,30,11,12,8,5,4,6,27,12,8,3
Monica Maria Djerassi,,,,,,,0,8,14,5,5,2,0,24,14,9,3
Kevin Bundy,,,,,,,,0,11,5,3,4,5,19,13,10,3
Rebecca Poyourow,,,,,,,,,1,8,7,7,4,15,11,11,3
Joe Khan,,,,,,,,,,0,3,2,4,7,5,12,3
Jacque Whaumbush,,,,,,,,,,,0,3,0,5,4,13,3
Nat Lownes,,,,,,,,,,,,0,1,6,3,14,3
John Brady,,,,,,,,,,,,,0,6,2,15,3
Dwight Evans,,,,,,,,,,,,,,8,0,16,3
Kevin Johnson,,,,,,,,,,,,,,,9,17,3
Total,66,65,56,47,39,39,38,32,27,12,9,9,8,61,41,18,3
,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,Representative In Congress 3rd District - Democrat,,1,4
,Dewayne Drummond,Kathryn S Huggins,Ken Washington,Linda Norris,Monica Maria Djerassi,Lisa Rhodes,Liam G Boyle,Rebecca Poyourow,John Brady,Kevin Bundy,Nat Lownes,Jacque Whaumbush,Joe Khan,Dwight Evans,Kevin Johnson,2,4
Dewayne Drummond,1,28,27,25,21,22,22,11,6,9,8,5,6,34,19,3,4
Kathryn S Huggins,,0,26,18,18,14,16,13,5,8,7,3,3,18,17,4,4
Ken Washington,,,0,19,18,16,20,10,6,8,7,4,4,17,16,5,4
Linda Norris,,,,1,18,21,15,10,5,5,4,5,5,17,10,6,4
Monica Maria Djerassi,,,,,0,19,14,11,3,5,5,5,3,13,13,7,4
Lisa Rhodes,,,,,,0,14,7,5,3,4,6,5,16,9,8,4
Liam G Boyle,,,,,,,0,4,2,5,3,3,3,17,7,9,4
Rebecca Poyourow,,,,,,,,0,4,5,4,4,5,6,10,10,4
John Brady,,,,,,,,,0,4,5,3,5,6,4,11,4
Kevin Bundy,,,,,,,,,,0,4,0,3,6,4,12,4
Nat Lownes,,,,,,,,,,,0,2,2,5,5,13,4
Jacque Whaumbush,,,,,,,,,,,,0,3,4,4,14,4
Joe Khan,,,,,,,,,,,,,0,4,4,15,4
Dwight Evans,,,,,,,,,,,,,,7,0,16,4
Kevin Johnson,,,,,,,,,,,,,,,2,17,4
Total,54,36,34,28,26,25,24,16,11,10,10,8,8,46,30,18,4
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,5
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Rebecca Poyourow,Dewayne Drummond,Monica Maria Djerassi,Lisa Rhodes,Linda Norris,Liam G Boyle,Joe Khan,Ken Washington,Jacque Whaumbush,Kevin Bundy,Nat Lownes,John Brady,2,5
Dwight Evans,19,0,50,37,42,37,37,34,26,24,19,17,16,6,6,3,5
Kevin Johnson,,7,16,17,13,15,14,10,4,6,8,5,1,5,2,4,5
Kathryn S Huggins,,,1,46,44,50,47,43,29,22,25,20,15,10,8,5,5
Rebecca Poyourow,,,,1,28,39,38,32,14,23,14,17,7,11,4,6,5
Dewayne Drummond,,,,,0,34,33,28,21,16,22,12,10,8,5,7,5
Monica Maria Djerassi,,,,,,0,41,37,17,17,18,18,6,7,3,8,5
Lisa Rhodes,,,,,,,0,39,15,15,16,18,7,8,5,9,5
Linda Norris,,,,,,,,0,17,10,16,13,9,4,5,10,5
Liam G Boyle,,,,,,,,,1,12,17,2,13,4,6,11,5
Joe Khan,,,,,,,,,,0,6,10,7,7,3,12,5
Ken Washington,,,,,,,,,,,0,4,6,3,1,13,5
Jacque Whaumbush,,,,,,,,,,,,0,2,2,2,14,5
Kevin Bundy,,,,,,,,,,,,,0,3,3,15,5
Nat Lownes,,,,,,,,,,,,,,0,1,16,5
John Brady,,,,,,,,,,,,,,,0,17,5
Total,88,28,70,58,57,54,52,46,33,32,28,22,17,12,10,18,5
,Representative In Congress 3rd District - Democrat,,Member Of The - Democratic State Committee 7th Senatorial District,,,,,,,,,,,,,1,6
,Dwight Evans,Kevin Johnson,Kathryn S Huggins,Dewayne Drummond,Ken Washington,Liam G Boyle,Kevin Bundy,Lisa Rhodes,Linda Norris,Monica Maria Djerassi,Rebecca Poyourow,Nat Lownes,Joe Khan,Jacque Whaumbush,John Brady,2,6
Dwight Evans,31,0,90,62,57,41,31,26,25,26,16,13,12,10,6,3,6
Kevin Johnson,,6,13,8,7,8,8,7,5,4,4,4,3,3,2,4,6
Kathryn S Huggins,,,2,51,49,41,30,33,30,30,20,14,13,9,5,5,6
Dewayne Drummond,,,,1,45,39,30,23,19,23,11,11,11,6,4,6,6
Ken Washington,,,,,0,38,28,18,19,18,11,10,11,7,2,7,6
Liam G Boyle,,,,,,1,26,17,16,15,8,9,6,5,3,8,6
Kevin Bundy,,,,,,,0,8,7,7,5,7,8,2,2,9,6
Lisa Rhodes,,,,,,,,0,27,22,13,11,8,10,3,10,6
Linda Norris,,,,,,,,,0,17,14,10,7,11,3,11,6
Monica Maria Djerassi,,,,,,,,,,0,15,11,10,6,2,12,6
Rebecca Poyourow,,,,,,,,,,,0,9,6,7,2,13,6
Nat Lownes,,,,,,,,,,,,0,5,5,4,14,6
Joe Khan,,,,,,,,,,,,,0,2,2,15,6
Jacque Whaumbush,,,,,,,,,,,,,,0,2,16,6
John Brady,,,,,,,,,,,,,,,0,17,6
