col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,All
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,All
Bob Casey Jr,398,"1,007",993,835,809,751,702,653,577,541,3,All
Meagan Ingerson,,11,800,749,575,578,532,463,399,363,4,All
Erica Vanstone,,,3,697,658,705,655,589,534,495,5,All
Mona Getzes Cohen,,,,8,533,518,487,402,376,340,6,All
James Harrity,,,,,5,503,475,493,467,411,7,All
Catherine Bartch,,,,,,0,594,418,408,422,8,All
Marnie Aument Loughrey,,,,,,,0,426,399,400,9,All
Frank T Brzozowski,,,,,,,,5,431,361,10,All
Richard Lombardo,,,,,,,,,2,361,11,All
Billy Cortes,,,,,,,,,,1,12,All
Total,"1,803","1,048","1,029",870,832,774,721,673,594,552,13,All
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,1
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,1
Bob Casey Jr,12,86,77,75,59,52,47,33,33,32,3,1
Meagan Ingerson,,0,73,67,51,49,47,31,30,27,4,1
Erica Vanstone,,,1,65,53,51,47,31,31,30,5,1
Mona Getzes Cohen,,,,0,49,42,44,27,28,26,6,1
James Harrity,,,,,0,32,29,27,25,23,7,1
Catherine Bartch,,,,,,0,41,21,18,25,8,1
Marnie Aument Loughrey,,,,,,,0,19,22,21,9,1
Frank T Brzozowski,,,,,,,,0,20,13,10,1
Richard Lombardo,,,,,,,,,0,17,11,1
Billy Cortes,,,,,,,,,,0,12,1
Total,115,89,81,77,62,54,50,35,34,33,13,1
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,2
,Bob Casey Jr,James Harrity,Erica Vanstone,Marnie Aument Loughrey,Catherine Bartch,Frank T Brzozowski,Billy Cortes,Richard Lombardo,Meagan Ingerson,Mona Getzes Cohen,2,2
Bob Casey Jr,3,15,13,13,12,12,11,11,6,6,3,2
James Harrity,,0,11,10,10,10,9,9,5,5,4,2
Erica Vanstone,,,0,12,12,12,11,11,3,3,5,2
Marnie Aument Loughrey,,,,0,11,11,10,11,3,3,6,2
Catherine Bartch,,,,,0,11,11,10,3,2,7,2
Frank T Brzozowski,,,,,,0,10,11,2,2,8,2
Billy Cortes,,,,,,,0,9,2,2,9,2
Richard Lombardo,,,,,,,,0,1,1,10,2
Meagan Ingerson,,,,,,,,,0,5,11,2
Mona Getzes Cohen,,,,,,,,,,0,12,2
Total,21,15,13,13,12,12,11,11,6,6,13,2
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,3
,Bob Casey Jr,Erica Vanstone,Meagan Ingerson,Mona Getzes Cohen,Marnie Aument Loughrey,James Harrity,Frank T Brzozowski,Catherine Bartch,Billy Cortes,Richard Lombardo,2,3
Bob Casey Jr,17,62,53,44,37,35,34,30,29,29,3,3
Erica Vanstone,,0,44,36,34,29,33,26,25,27,4,3
Meagan Ingerson,,,0,39,29,25,27,22,19,20,5,3
Mona Getzes Cohen,,,,0,27,24,22,18,20,19,6,3
Marnie Aument Loughrey,,,,,0,22,23,26,20,18,7,3
James Harrity,,,,,,1,24,16,20,22,8,3
Frank T Brzozowski,,,,,,,0,13,22,24,9,3
Catherine Bartch,,,,,,,,0,16,12,10,3
Billy Cortes,,,,,,,,,0,20,11,3
Richard Lombardo,,,,,,,,,,0,12,3
Total,95,62,53,44,37,36,34,30,29,29,13,3
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,4
,Bob Casey Jr,Erica Vanstone,Meagan Ingerson,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,2,4
Bob Casey Jr,13,77,72,62,59,58,59,55,38,37,3,4
Erica Vanstone,,0,66,51,52,55,46,52,35,33,4,4
Meagan Ingerson,,,0,45,53,47,40,45,28,26,5,4
James Harrity,,,,2,42,44,43,42,32,31,6,4
Mona Getzes Cohen,,,,,1,40,33,40,23,21,7,4
Catherine Bartch,,,,,,0,38,50,32,31,8,4
Frank T Brzozowski,,,,,,,1,39,27,26,9,4
Marnie Aument Loughrey,,,,,,,,0,31,29,10,4
Richard Lombardo,,,,,,,,,0,24,11,4
Billy Cortes,,,,,,,,,,0,12,4
Total,113,81,76,65,63,61,61,58,39,38,13,4
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,5
,Bob Casey Jr,Erica Vanstone,Meagan Ingerson,Catherine Bartch,Marnie Aument Loughrey,James Harrity,Mona Getzes Cohen,Billy Cortes,Frank T Brzozowski,Richard Lombardo,2,5
Bob Casey Jr,19,66,55,55,52,50,49,35,33,30,3,5
Erica Vanstone,,0,47,54,50,40,43,35,32,29,4,5
Meagan Ingerson,,,2,37,34,25,41,20,17,13,5,5
Catherine Bartch,,,,0,45,34,35,32,29,26,6,5
Marnie Aument Loughrey,,,,,0,35,35,31,29,26,7,5
James Harrity,,,,,,0,26,26,22,24,8,5
Mona Getzes Cohen,,,,,,,0,21,19,17,9,5
Billy Cortes,,,,,,,,0,22,19,10,5
Frank T Brzozowski,,,,,,,,,1,21,11,5
Richard Lombardo,,,,,,,,,,1,12,5
Total,106,67,58,55,52,50,49,35,34,31,13,5
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,6
,Bob Casey Jr,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Marnie Aument Loughrey,James Harrity,Catherine Bartch,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,6
Bob Casey Jr,10,55,48,46,37,37,32,30,28,24,3,6
Meagan Ingerson,,0,41,42,35,34,31,27,25,23,4,6
Mona Getzes Cohen,,,1,34,30,30,27,22,25,21,5,6
Erica Vanstone,,,,0,32,31,29,24,21,18,6,6
Marnie Aument Loughrey,,,,,0,23,26,16,15,17,7,6
James Harrity,,,,,,0,20,26,22,19,8,6
Catherine Bartch,,,,,,,0,10,18,14,9,6
Frank T Brzozowski,,,,,,,,0,18,14,10,6
Richard Lombardo,,,,,,,,,0,14,11,6
Billy Cortes,,,,,,,,,,0,12,6
Total,80,57,50,48,39,38,35,30,29,25,13,6
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,7
,Bob Casey Jr,Billy Cortes,Catherine Bartch,Erica Vanstone,Frank T Brzozowski,James Harrity,Marnie Aument Loughrey,Meagan Ingerson,Mona Getzes Cohen,Richard Lombardo,2,7
Bob Casey Jr,129,0,0,0,0,0,0,0,0,0,3,7
Billy Cortes,,0,0,0,0,0,0,0,0,0,4,7
Catherine Bartch,,,0,0,0,0,0,0,0,0,5,7
Erica Vanstone,,,,0,0,0,0,0,0,0,6,7
Frank T Brzozowski,,,,,0,0,0,0,0,0,7,7
James Harrity,,,,,,0,0,0,0,0,8,7
Marnie Aument Loughrey,,,,,,,0,0,0,0,9,7
Meagan Ingerson,,,,,,,,0,0,0,10,7
Mona Getzes Cohen,,,,,,,,,0,0,11,7
Richard Lombardo,,,,,,,,,,0,12,7
Total,129,0,0,0,0,0,0,0,0,0,13,7
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,8
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,Frank T Brzozowski,2,8
Bob Casey Jr,20,60,57,52,51,49,44,38,36,36,3,8
Meagan Ingerson,,0,54,51,46,39,38,31,31,32,4,8
Erica Vanstone,,,0,47,49,40,41,35,36,34,5,8
Mona Getzes Cohen,,,,0,39,33,32,27,26,26,6,8
Catherine Bartch,,,,,0,35,40,29,31,27,7,8
James Harrity,,,,,,0,29,28,27,27,8,8
Marnie Aument Loughrey,,,,,,,0,24,27,22,9,8
Richard Lombardo,,,,,,,,0,25,25,10,8
Billy Cortes,,,,,,,,,0,20,11,8
Frank T Brzozowski,,,,,,,,,,0,12,8
Total,95,63,60,55,53,50,46,39,38,37,13,8
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,9
,Bob Casey Jr,Mona Getzes Cohen,Erica Vanstone,Meagan Ingerson,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,Richard Lombardo,2,9
Bob Casey Jr,15,48,49,49,41,34,28,27,26,25,3,9
Mona Getzes Cohen,,2,43,45,37,30,24,23,22,21,4,9
Erica Vanstone,,,0,43,39,32,26,24,24,22,5,9
Meagan Ingerson,,,,0,37,31,25,23,20,23,6,9
James Harrity,,,,,1,27,23,23,22,23,7,9
Catherine Bartch,,,,,,0,25,17,17,17,8,9
Marnie Aument Loughrey,,,,,,,0,17,14,14,9,9
Frank T Brzozowski,,,,,,,,0,12,18,10,9
Billy Cortes,,,,,,,,,0,13,11,9
Richard Lombardo,,,,,,,,,,0,12,9
Total,78,52,51,51,43,35,29,28,27,26,13,9
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,10
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,Richard Lombardo,Frank T Brzozowski,2,10
Bob Casey Jr,4,49,38,39,30,27,28,23,22,21,3,10
Meagan Ingerson,,1,38,37,29,28,28,21,21,19,4,10
Erica Vanstone,,,0,31,24,23,25,18,19,19,5,10
Mona Getzes Cohen,,,,0,25,22,22,18,17,15,6,10
James Harrity,,,,,0,21,22,18,19,14,7,10
Catherine Bartch,,,,,,0,23,18,16,11,8,10
Marnie Aument Loughrey,,,,,,,0,17,16,12,9,10
Billy Cortes,,,,,,,,0,11,12,10,10
Richard Lombardo,,,,,,,,,0,14,11,10
Frank T Brzozowski,,,,,,,,,,0,12,10
Total,63,54,42,42,32,30,30,24,23,21,13,10
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,11
,Bob Casey Jr,Meagan Ingerson,Mona Getzes Cohen,Erica Vanstone,Catherine Bartch,James Harrity,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,11
Bob Casey Jr,13,72,63,63,52,48,47,40,37,31,3,11
Meagan Ingerson,,1,56,52,42,37,38,30,27,22,4,11
Mona Getzes Cohen,,,1,49,41,35,35,28,27,21,5,11
Erica Vanstone,,,,0,48,38,40,35,33,27,6,11
Catherine Bartch,,,,,0,34,39,29,27,24,7,11
James Harrity,,,,,,0,33,32,29,24,8,11
Marnie Aument Loughrey,,,,,,,0,29,27,23,9,11
Frank T Brzozowski,,,,,,,,0,23,19,10,11
Richard Lombardo,,,,,,,,,0,24,11,11
Billy Cortes,,,,,,,,,,0,12,11
Total,102,73,64,63,52,48,47,40,37,31,13,11
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,12
,Bob Casey Jr,Erica Vanstone,Meagan Ingerson,Marnie Aument Loughrey,Catherine Bartch,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,12
Bob Casey Jr,13,30,30,27,24,22,23,19,19,18,3,12
Erica Vanstone,,0,23,26,24,18,18,18,18,17,4,12
Meagan Ingerson,,,0,19,17,18,15,11,11,11,5,12
Marnie Aument Loughrey,,,,0,22,16,17,18,18,18,6,12
Catherine Bartch,,,,,0,13,14,14,15,14,7,12
Mona Getzes Cohen,,,,,,1,11,10,10,9,8,12
James Harrity,,,,,,,0,13,13,11,9,12
Frank T Brzozowski,,,,,,,,0,13,14,10,12
Richard Lombardo,,,,,,,,,0,13,11,12
Billy Cortes,,,,,,,,,,0,12,12
Total,57,31,31,27,25,24,23,19,19,18,13,12
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,13
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Catherine Bartch,Marnie Aument Loughrey,Frank T Brzozowski,Richard Lombardo,Billy Cortes,2,13
Bob Casey Jr,13,63,62,50,45,45,41,37,37,35,3,13
Meagan Ingerson,,0,51,42,28,34,30,23,23,22,4,13
Erica Vanstone,,,0,41,36,44,40,35,35,33,5,13
Mona Getzes Cohen,,,,1,25,31,28,20,22,22,6,13
James Harrity,,,,,0,27,27,26,27,26,7,13
Catherine Bartch,,,,,,0,36,21,25,29,8,13
Marnie Aument Loughrey,,,,,,,0,23,25,28,9,13
Frank T Brzozowski,,,,,,,,2,28,23,10,13
Richard Lombardo,,,,,,,,,0,26,11,13
Billy Cortes,,,,,,,,,,0,12,13
Total,104,64,63,53,47,46,42,41,39,36,13,13
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,14
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,James Harrity,Mona Getzes Cohen,Catherine Bartch,Frank T Brzozowski,Marnie Aument Loughrey,Richard Lombardo,Billy Cortes,2,14
Bob Casey Jr,20,67,54,53,48,44,45,37,33,24,3,14
Meagan Ingerson,,1,44,40,43,31,34,27,23,13,4,14
Erica Vanstone,,,1,43,40,41,40,35,32,23,5,14
James Harrity,,,,0,39,33,37,29,30,22,6,14
Mona Getzes Cohen,,,,,0,30,28,26,23,13,7,14
Catherine Bartch,,,,,,0,26,32,20,19,8,14
Frank T Brzozowski,,,,,,,0,26,27,18,9,14
Marnie Aument Loughrey,,,,,,,,0,19,18,10,14
Richard Lombardo,,,,,,,,,1,17,11,14
Billy Cortes,,,,,,,,,,0,12,14
Total,109,69,57,54,50,46,45,38,34,24,13,14
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,15
,Bob Casey Jr,Meagan Ingerson,Erica Vanstone,Mona Getzes Cohen,James Harrity,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Marnie Aument Loughrey,Billy Cortes,2,15
Bob Casey Jr,20,61,54,53,46,36,33,33,32,22,3,15
Meagan Ingerson,,2,48,46,36,30,30,28,27,19,4,15
Erica Vanstone,,,0,44,37,32,32,31,29,18,5,15
Mona Getzes Cohen,,,,0,38,28,31,29,29,18,6,15
James Harrity,,,,,0,28,30,23,21,16,7,15
Frank T Brzozowski,,,,,,0,25,15,16,16,8,15
Richard Lombardo,,,,,,,0,19,21,15,9,15
Catherine Bartch,,,,,,,,0,24,12,10,15
Marnie Aument Loughrey,,,,,,,,,0,12,11,15
Billy Cortes,,,,,,,,,,0,12,15
Total,99,65,56,54,47,37,35,33,32,22,13,15
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,16
,Bob Casey Jr,Erica Vanstone,James Harrity,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Mona Getzes Cohen,Richard Lombardo,Billy Cortes,2,16
Bob Casey Jr,25,81,68,67,63,62,60,54,51,49,3,16
Erica Vanstone,,0,56,61,53,57,55,46,48,48,4,16
James Harrity,,,0,43,40,38,45,36,40,35,5,16
Catherine Bartch,,,,0,40,53,43,37,36,40,6,16
Meagan Ingerson,,,,,2,35,33,51,23,25,7,16
Marnie Aument Loughrey,,,,,,0,41,33,35,40,8,16
Frank T Brzozowski,,,,,,,0,28,40,38,9,16
Mona Getzes Cohen,,,,,,,,0,21,24,10,16
Richard Lombardo,,,,,,,,,0,32,11,16
Billy Cortes,,,,,,,,,,0,12,16
Total,131,82,69,68,66,62,61,55,52,49,13,16
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,17
,Bob Casey Jr,Erica Vanstone,Catherine Bartch,Meagan Ingerson,Marnie Aument Loughrey,Frank T Brzozowski,Billy Cortes,James Harrity,Mona Getzes Cohen,Richard Lombardo,2,17
Bob Casey Jr,18,54,47,47,44,41,38,37,34,33,3,17
Erica Vanstone,,0,44,39,42,38,35,30,32,32,4,17
Catherine Bartch,,,0,35,40,30,33,26,26,26,5,17
Meagan Ingerson,,,,0,32,25,24,19,34,21,6,17
Marnie Aument Loughrey,,,,,0,30,29,24,25,26,7,17
Frank T Brzozowski,,,,,,1,25,20,18,26,8,17
Billy Cortes,,,,,,,1,24,19,27,9,17
James Harrity,,,,,,,,1,15,23,10,17
Mona Getzes Cohen,,,,,,,,,0,16,11,17
Richard Lombardo,,,,,,,,,,0,12,17
Total,90,57,48,48,45,44,39,38,35,33,13,17
,United States Senator - Democrat,Member Of The - Democratic State Committee 2nd Senatorial District,,,,,,,,,1,18
,Bob Casey Jr,Meagan Ingerson,James Harrity,Erica Vanstone,Mona Getzes Cohen,Frank T Brzozowski,Richard Lombardo,Catherine Bartch,Billy Cortes,Marnie Aument Loughrey,2,18
Bob Casey Jr,16,55,48,46,45,36,36,35,29,24,3,18
Meagan Ingerson,,1,39,40,40,29,29,27,21,17,4,18
James Harrity,,,0,36,35,34,33,27,25,19,5,18
Erica Vanstone,,,,0,35,32,31,30,25,23,6,18
Mona Getzes Cohen,,,,,1,27,25,25,19,14,7,18
Frank T Brzozowski,,,,,,0,31,23,20,18,8,18
Richard Lombardo,,,,,,,0,24,21,16,9,18
Catherine Bartch,,,,,,,,0,21,17,10,18
Billy Cortes,,,,,,,,,0,13,11,18
Marnie Aument Loughrey,,,,,,,,,,0,12,18
Total,92,58,50,48,48,38,37,36,30,25,13,18
