col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,order,division
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,All
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Tom Young,Marylouise Isaacson,Joe Celentano,Mariel J K Martin,Micah Mahjoubian,Andi Perez,Judi Golding Baker,Noam Kugelmass,Darrell L Clarke,Matthew D Myers,Jon Geeting,2,All
Tom Wolf,137,430,330,309,315,285,281,272,258,242,223,206,191,177,3,All
Rhea Powell,,4,235,204,237,207,206,201,191,186,172,127,111,117,4,All
Amanda Mcillmurray,,,4,159,217,159,197,146,160,175,128,115,109,112,5,All
Tom Young,,,,7,177,188,165,161,150,117,146,101,123,113,6,All
Marylouise Isaacson,,,,,1,159,208,164,178,177,123,122,113,101,7,All
Joe Celentano,,,,,,7,141,146,131,111,130,75,93,104,8,All
Mariel J K Martin,,,,,,,2,136,169,161,117,124,119,103,9,All
Micah Mahjoubian,,,,,,,,2,149,113,136,98,80,80,10,All
Andi Perez,,,,,,,,,1,135,112,113,92,103,11,All
Judi Golding Baker,,,,,,,,,,2,89,99,101,85,12,All
Noam Kugelmass,,,,,,,,,,,3,66,61,82,13,All
Darrell L Clarke,,,,,,,,,,,,1,94,62,14,All
Matthew D Myers,,,,,,,,,,,,,2,79,15,All
Jon Geeting,,,,,,,,,,,,,,2,16,All
Total,831,447,350,333,331,305,299,280,273,251,235,211,200,186,17,All
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,1
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Mariel J K Martin,Tom Young,Marylouise Isaacson,Darrell L Clarke,Andi Perez,Noam Kugelmass,Jon Geeting,Judi Golding Baker,Matthew D Myers,Micah Mahjoubian,Joe Celentano,2,1
Tom Wolf,9,18,16,15,13,14,13,11,11,10,10,8,9,8,3,1
Rhea Powell,,0,12,12,10,8,7,8,10,7,7,4,5,4,4,1
Amanda Mcillmurray,,,2,12,10,10,7,6,8,6,9,4,6,3,5,1
Mariel J K Martin,,,,0,11,10,8,8,8,5,8,6,6,3,6,1
Tom Young,,,,,1,11,6,6,7,5,8,7,8,3,7,1
Marylouise Isaacson,,,,,,0,6,5,5,3,8,6,8,2,8,1
Darrell L Clarke,,,,,,,0,8,4,6,6,5,5,2,9,1
Andi Perez,,,,,,,,0,7,7,4,3,5,3,10,1
Noam Kugelmass,,,,,,,,,0,6,4,3,5,4,11,1
Jon Geeting,,,,,,,,,,0,2,1,3,3,12,1
Judi Golding Baker,,,,,,,,,,,0,5,6,1,13,1
Matthew D Myers,,,,,,,,,,,,0,4,0,14,1
Micah Mahjoubian,,,,,,,,,,,,,0,1,15,1
Joe Celentano,,,,,,,,,,,,,,0,16,1
Total,42,19,18,16,15,14,13,12,12,10,10,9,9,8,17,1
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,2
,Tom Wolf,Rhea Powell,Amanda Mcillmurray,Mariel J K Martin,Tom Young,Marylouise Isaacson,Micah Mahjoubian,Andi Perez,Joe Celentano,Darrell L Clarke,Jon Geeting,Judi Golding Baker,Matthew D Myers,Noam Kugelmass,2,2
Tom Wolf,4,16,14,15,11,12,10,9,9,8,8,7,8,8,3,2
Rhea Powell,,0,12,12,7,9,8,6,6,6,6,6,7,5,4,2
Amanda Mcillmurray,,,0,11,6,10,6,5,5,5,7,6,5,6,5,2
Mariel J K Martin,,,,0,8,11,8,9,6,8,6,6,7,7,6,2
Tom Young,,,,,2,4,5,5,7,4,5,3,5,3,7,2
Marylouise Isaacson,,,,,,0,7,6,4,6,4,4,4,5,8,2
Micah Mahjoubian,,,,,,,0,5,5,5,3,4,6,3,9,2
Andi Perez,,,,,,,,0,3,5,3,6,4,5,10,2
Joe Celentano,,,,,,,,,0,2,4,2,4,1,11,2
Darrell L Clarke,,,,,,,,,,0,1,3,4,5,12,2
Jon Geeting,,,,,,,,,,,0,3,4,3,13,2
Judi Golding Baker,,,,,,,,,,,,0,3,4,14,2
Matthew D Myers,,,,,,,,,,,,,0,2,15,2
Noam Kugelmass,,,,,,,,,,,,,,0,16,2
Total,28,16,15,15,13,12,10,9,9,8,8,8,8,8,17,2
,Governor - Democrat,Member Of The - Democratic State Committee 1st Senatorial District,,,,,,,,,,,,,1,3
