col_1,col_2,col_3,col_4,col_5,col_6,col_7,order,division
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,All
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,All
Tom Wolf,44,188,115,49,50,11,3,All
Mike Stack,,18,0,0,0,0,4,All
Kathi Cozzone,,,10,0,0,0,5,All
John Fetterman,,,,8,0,0,6,All
Nina Ahmad,,,,,5,0,7,All
Ray Sosa,,,,,,3,8,All
Total,457,206,125,57,55,14,9,All
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,1
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,1
Tom Wolf,1,5,4,4,2,1,3,1
Kathi Cozzone,,1,0,0,0,0,4,1
Mike Stack,,,2,0,0,0,5,1
Nina Ahmad,,,,1,0,0,6,1
John Fetterman,,,,,0,0,7,1
Ray Sosa,,,,,,0,8,1
Total,17,6,6,5,2,1,9,1
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,2
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,2
Tom Wolf,2,8,2,1,1,0,3,2
Mike Stack,,1,0,0,0,0,4,2
Kathi Cozzone,,,0,0,0,0,5,2
Nina Ahmad,,,,0,0,0,6,2
Ray Sosa,,,,,0,0,7,2
John Fetterman,,,,,,0,8,2
Total,14,9,2,1,1,0,9,2
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,3
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,3
Tom Wolf,2,6,3,2,1,1,3,3
Mike Stack,,3,0,0,0,0,4,3
Kathi Cozzone,,,0,0,0,0,5,3
John Fetterman,,,,0,0,0,6,3
Nina Ahmad,,,,,0,0,7,3
Ray Sosa,,,,,,0,8,3
Total,15,9,3,2,1,1,9,3
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,4
,Tom Wolf,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,4
Tom Wolf,1,7,8,3,2,0,3,4
Kathi Cozzone,,2,0,0,0,0,4,4
Mike Stack,,,1,0,0,0,5,4
John Fetterman,,,,0,0,0,6,4
Nina Ahmad,,,,,0,0,7,4
Ray Sosa,,,,,,0,8,4
Total,21,9,9,3,2,0,9,4
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,5
,Tom Wolf,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,5
Tom Wolf,6,12,7,4,4,1,3,5
Kathi Cozzone,,0,0,0,0,0,4,5
Mike Stack,,,1,0,0,0,5,5
John Fetterman,,,,0,0,0,6,5
Nina Ahmad,,,,,0,0,7,5
Ray Sosa,,,,,,0,8,5
Total,34,12,8,4,4,1,9,5
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,6
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,6
Tom Wolf,1,5,5,2,3,0,3,6
Mike Stack,,1,0,0,0,0,4,6
Kathi Cozzone,,,0,0,0,0,5,6
John Fetterman,,,,1,0,0,6,6
Nina Ahmad,,,,,0,0,7,6
Ray Sosa,,,,,,0,8,6
Total,16,6,5,3,3,0,9,6
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,7
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,7
Tom Wolf,2,8,4,2,2,0,3,7
Mike Stack,,1,0,0,0,0,4,7
Kathi Cozzone,,,0,0,0,0,5,7
John Fetterman,,,,1,0,0,6,7
Nina Ahmad,,,,,1,0,7,7
Ray Sosa,,,,,,0,8,7
Total,18,9,4,3,3,0,9,7
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,8
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,8
Tom Wolf,2,13,7,6,1,0,3,8
Mike Stack,,2,0,0,0,0,4,8
Kathi Cozzone,,,1,0,0,0,5,8
John Fetterman,,,,1,0,0,6,8
Nina Ahmad,,,,,0,0,7,8
Ray Sosa,,,,,,1,8,8
Total,29,15,8,7,1,1,9,8
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,9
,Tom Wolf,Kathi Cozzone,Mike Stack,Nina Ahmad,John Fetterman,Ray Sosa,2,9
Tom Wolf,1,9,11,7,3,0,3,9
Kathi Cozzone,,2,0,0,0,0,4,9
Mike Stack,,,0,0,0,0,5,9
Nina Ahmad,,,,0,0,0,6,9
John Fetterman,,,,,0,0,7,9
Ray Sosa,,,,,,0,8,9
Total,31,11,11,7,3,0,9,9
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,10
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,10
Tom Wolf,2,10,6,5,1,0,3,10
Mike Stack,,1,0,0,0,0,4,10
Kathi Cozzone,,,0,0,0,0,5,10
Nina Ahmad,,,,0,0,0,6,10
John Fetterman,,,,,2,0,7,10
Ray Sosa,,,,,,0,8,10
Total,24,11,6,5,3,0,9,10
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,11
,Tom Wolf,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,2,11
Tom Wolf,2,10,6,5,1,0,3,11
Mike Stack,,0,0,0,0,0,4,11
John Fetterman,,,0,0,0,0,5,11
Nina Ahmad,,,,0,0,0,6,11
Kathi Cozzone,,,,,0,0,7,11
Ray Sosa,,,,,,0,8,11
Total,24,10,6,5,1,0,9,11
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,12
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Ray Sosa,Nina Ahmad,2,12
Tom Wolf,2,12,5,4,2,2,3,12
Mike Stack,,2,0,0,0,0,4,12
Kathi Cozzone,,,1,0,0,0,5,12
John Fetterman,,,,0,0,0,6,12
Ray Sosa,,,,,1,0,7,12
Nina Ahmad,,,,,,0,8,12
Total,27,14,6,4,3,2,9,12
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,13
,Tom Wolf,John Fetterman,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,13
Tom Wolf,3,7,7,5,2,0,3,13
John Fetterman,,0,0,0,0,0,4,13
Mike Stack,,,0,0,0,0,5,13
Kathi Cozzone,,,,0,0,0,6,13
Nina Ahmad,,,,,0,0,7,13
Ray Sosa,,,,,,1,8,13
Total,24,7,7,5,2,1,9,13
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,14
,Tom Wolf,Kathi Cozzone,Mike Stack,John Fetterman,Nina Ahmad,Ray Sosa,2,14
Tom Wolf,3,13,14,2,0,0,3,14
Kathi Cozzone,,1,0,0,0,0,4,14
Mike Stack,,,0,0,0,0,5,14
John Fetterman,,,,2,0,0,6,14
Nina Ahmad,,,,,2,0,7,14
Ray Sosa,,,,,,0,8,14
Total,32,14,14,4,2,0,9,14
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,15
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,15
Tom Wolf,5,6,4,4,1,0,3,15
Mike Stack,,0,0,0,0,0,4,15
Kathi Cozzone,,,1,0,0,0,5,15
Nina Ahmad,,,,1,0,0,6,15
Ray Sosa,,,,,0,0,7,15
John Fetterman,,,,,,0,8,15
Total,20,6,5,5,1,0,9,15
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,16
,Tom Wolf,Kathi Cozzone,John Fetterman,Mike Stack,Ray Sosa,Nina Ahmad,2,16
Tom Wolf,0,6,1,1,1,0,3,16
Kathi Cozzone,,0,0,0,0,0,4,16
John Fetterman,,,0,0,0,0,5,16
Mike Stack,,,,0,0,0,6,16
Ray Sosa,,,,,0,0,7,16
Nina Ahmad,,,,,,0,8,16
Total,9,6,1,1,1,0,9,16
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,17
,Tom Wolf,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,17
Tom Wolf,0,5,1,1,1,0,3,17
Mike Stack,,0,0,0,0,0,4,17
John Fetterman,,,0,0,0,0,5,17
Kathi Cozzone,,,,0,0,0,6,17
Nina Ahmad,,,,,0,0,7,17
Ray Sosa,,,,,,0,8,17
Total,8,5,1,1,1,0,9,17
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,18
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,John Fetterman,Ray Sosa,2,18
Tom Wolf,1,7,4,2,0,0,3,18
Mike Stack,,0,0,0,0,0,4,18
Kathi Cozzone,,,0,0,0,0,5,18
Nina Ahmad,,,,0,0,0,6,18
John Fetterman,,,,,0,0,7,18
Ray Sosa,,,,,,0,8,18
Total,14,7,4,2,0,0,9,18
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,19
,Tom Wolf,Mike Stack,Kathi Cozzone,Ray Sosa,John Fetterman,Nina Ahmad,2,19
Tom Wolf,3,13,2,1,0,0,3,19
Mike Stack,,2,0,0,0,0,4,19
Kathi Cozzone,,,1,0,0,0,5,19
Ray Sosa,,,,0,0,0,6,19
John Fetterman,,,,,0,0,7,19
Nina Ahmad,,,,,,0,8,19
Total,19,15,3,1,0,0,9,19
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,20
,Tom Wolf,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2,20
Tom Wolf,0,4,1,1,1,0,3,20
Mike Stack,,0,0,0,0,0,4,20
John Fetterman,,,0,0,0,0,5,20
Kathi Cozzone,,,,0,0,0,6,20
Nina Ahmad,,,,,0,0,7,20
Ray Sosa,,,,,,0,8,20
Total,7,4,1,1,1,0,9,20
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,21
,Tom Wolf,Mike Stack,Kathi Cozzone,Nina Ahmad,Ray Sosa,John Fetterman,2,21
Tom Wolf,2,7,1,1,1,0,3,21
Mike Stack,,0,0,0,0,0,4,21
Kathi Cozzone,,,0,0,0,0,5,21
Nina Ahmad,,,,0,0,0,6,21
Ray Sosa,,,,,0,0,7,21
John Fetterman,,,,,,0,8,21
Total,12,7,1,1,1,0,9,21
,Governor - Democrat,Lieutenant Governor - Democrat,,,,,1,22
,Tom Wolf,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,2,22
Tom Wolf,2,8,6,1,1,0,3,22
Mike Stack,,0,0,0,0,0,4,22
Kathi Cozzone,,,0,0,0,0,5,22
John Fetterman,,,,0,0,0,6,22
