col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,division
,Member Of The Democratic State Committee 5th Senatorial District,,,,,Lieutenant Governor - Democrat,,,,,1
,James G Donnelly Sr,Mary Ann Quartullo,Patrick Parkinson,John Dellricci,Kathy Enggasser,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,1
James G Donnelly Sr,0,20,21,21,19,15,4,5,5,0,1
Mary Ann Quartullo,,0,20,20,20,11,3,5,4,0,1
Patrick Parkinson,,,0,20,19,10,3,6,4,0,1
John Dellricci,,,,0,19,11,3,5,3,0,1
Kathy Enggasser,,,,,0,9,4,5,4,0,1
Mike Stack,,,,,,5,0,0,0,0,1
John Fetterman,,,,,,,2,0,0,0,1
Kathi Cozzone,,,,,,,,1,0,0,1
Nina Ahmad,,,,,,,,,1,0,1
Ray Sosa,,,,,,,,,,1,1
Total,29,23,23,22,22,25,7,7,7,1,1
,Member Of The Democratic State Committee 5th Senatorial District,,,,,Lieutenant Governor - Democrat,,,,,2
,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,2
James G Donnelly Sr,0,8,8,8,7,10,2,1,2,0,2
John Dellricci,,0,7,7,7,3,2,1,2,0,2
Kathy Enggasser,,,0,8,7,3,2,1,2,0,2
Mary Ann Quartullo,,,,0,7,3,2,1,2,0,2
Patrick Parkinson,,,,,0,2,2,1,2,0,2
Mike Stack,,,,,,5,0,0,0,0,2
John Fetterman,,,,,,,1,0,0,0,2
Kathi Cozzone,,,,,,,,1,0,0,2
Nina Ahmad,,,,,,,,,0,0,2
Ray Sosa,,,,,,,,,,0,2
Total,15,8,8,8,7,15,3,2,2,0,2
,Member Of The Democratic State Committee 5th Senatorial District,,,,,Lieutenant Governor - Democrat,,,,,3
,James G Donnelly Sr,Mary Ann Quartullo,Kathy Enggasser,John Dellricci,Patrick Parkinson,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,3
James G Donnelly Sr,1,32,33,34,33,23,12,3,5,1,3
Mary Ann Quartullo,,2,37,35,31,17,12,5,3,1,3
Kathy Enggasser,,,1,35,32,16,11,5,5,1,3
John Dellricci,,,,0,32,17,10,6,4,1,3
Patrick Parkinson,,,,,0,15,10,2,4,1,3
Mike Stack,,,,,,5,0,0,0,0,3
Nina Ahmad,,,,,,,0,0,0,0,3
Kathi Cozzone,,,,,,,,1,0,0,3
John Fetterman,,,,,,,,,0,0,3
Ray Sosa,,,,,,,,,,0,3
Total,46,41,40,39,33,31,15,7,6,1,3
,Lieutenant Governor - Democrat,,,,,Member Of The Democratic State Committee 5th Senatorial District,,,,,4
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,4
Mike Stack,12,0,0,0,0,31,25,20,18,17,4
John Fetterman,,12,0,0,0,4,5,4,4,3,4
Nina Ahmad,,,1,0,0,7,6,5,5,6,4
Kathi Cozzone,,,,0,0,3,3,3,3,3,4
Ray Sosa,,,,,1,1,1,1,1,1,4
James G Donnelly Sr,,,,,,0,31,29,29,28,4
