col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,order,division
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,All
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,Mary Ann Quartullo,John Dellricci,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,2,All
Mike Stack,435,0,0,0,0,32,34,30,28,29,3,All
John Fetterman,,171,0,0,0,13,13,12,12,6,4,All
Nina Ahmad,,,133,0,0,9,7,8,7,8,5,All
Kathi Cozzone,,,,95,0,14,11,13,11,10,6,All
Ray Sosa,,,,,9,0,0,0,0,1,7,All
Mary Ann Quartullo,,,,,,0,56,55,54,46,8,All
John Dellricci,,,,,,,1,51,50,44,9,All
Kathy Enggasser,,,,,,,,0,49,44,10,All
Patrick Parkinson,,,,,,,,,0,41,11,All
James G Donnelly Sr,,,,,,,,,,0,12,All
Total,487,186,143,111,10,69,67,64,59,55,13,All
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,1
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,1
Mike Stack,26,0,0,0,0,0,0,0,0,0,3,1
John Fetterman,,13,0,0,0,0,0,0,0,0,4,1
Kathi Cozzone,,,10,0,0,0,0,0,0,0,5,1
Nina Ahmad,,,,10,0,0,0,0,0,0,6,1
Ray Sosa,,,,,1,0,0,0,0,0,7,1
James G Donnelly Sr,,,,,,0,0,0,0,0,8,1
John Dellricci,,,,,,,0,0,0,0,9,1
Kathy Enggasser,,,,,,,,0,0,0,10,1
Mary Ann Quartullo,,,,,,,,,0,0,11,1
Patrick Parkinson,,,,,,,,,,0,12,1
Total,26,13,10,10,1,0,0,0,0,0,13,1
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,2
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,2
Mike Stack,62,0,0,0,0,0,0,0,0,0,3,2
John Fetterman,,16,0,0,0,0,0,0,0,0,4,2
Nina Ahmad,,,16,0,0,0,0,0,0,0,5,2
Kathi Cozzone,,,,9,0,0,0,0,0,0,6,2
Ray Sosa,,,,,1,0,0,0,0,0,7,2
James G Donnelly Sr,,,,,,0,0,0,0,0,8,2
John Dellricci,,,,,,,0,0,0,0,9,2
Kathy Enggasser,,,,,,,,0,0,0,10,2
Mary Ann Quartullo,,,,,,,,,0,0,11,2
Patrick Parkinson,,,,,,,,,,0,12,2
Total,62,16,16,9,1,0,0,0,0,0,13,2
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,3
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,3
Mike Stack,18,0,0,0,0,0,0,0,0,0,3,3
Kathi Cozzone,,11,0,0,0,0,0,0,0,0,4,3
John Fetterman,,,4,0,0,0,0,0,0,0,5,3
Nina Ahmad,,,,4,0,0,0,0,0,0,6,3
Ray Sosa,,,,,0,0,0,0,0,0,7,3
James G Donnelly Sr,,,,,,0,0,0,0,0,8,3
John Dellricci,,,,,,,0,0,0,0,9,3
Kathy Enggasser,,,,,,,,0,0,0,10,3
Mary Ann Quartullo,,,,,,,,,0,0,11,3
Patrick Parkinson,,,,,,,,,,0,12,3
Total,18,11,4,4,0,0,0,0,0,0,13,3
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,4
,Mike Stack,John Fetterman,Kathi Cozzone,Nina Ahmad,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,4
Mike Stack,21,0,0,0,0,0,0,0,0,0,3,4
John Fetterman,,16,0,0,0,0,0,0,0,0,4,4
Kathi Cozzone,,,6,0,0,0,0,0,0,0,5,4
Nina Ahmad,,,,5,0,0,0,0,0,0,6,4
Ray Sosa,,,,,1,0,0,0,0,0,7,4
James G Donnelly Sr,,,,,,0,0,0,0,0,8,4
John Dellricci,,,,,,,0,0,0,0,9,4
Kathy Enggasser,,,,,,,,0,0,0,10,4
Mary Ann Quartullo,,,,,,,,,0,0,11,4
Patrick Parkinson,,,,,,,,,,0,12,4
Total,21,16,6,5,1,0,0,0,0,0,13,4
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,5
,Mike Stack,Nina Ahmad,Kathi Cozzone,John Fetterman,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,5
Mike Stack,29,0,0,0,0,0,0,0,0,0,3,5
Nina Ahmad,,11,0,0,0,0,0,0,0,0,4,5
Kathi Cozzone,,,6,0,0,0,0,0,0,0,5,5
John Fetterman,,,,3,0,0,0,0,0,0,6,5
Ray Sosa,,,,,2,0,0,0,0,0,7,5
James G Donnelly Sr,,,,,,0,0,0,0,0,8,5
John Dellricci,,,,,,,0,0,0,0,9,5
Kathy Enggasser,,,,,,,,0,0,0,10,5
Mary Ann Quartullo,,,,,,,,,0,0,11,5
Patrick Parkinson,,,,,,,,,,0,12,5
Total,29,11,6,3,2,0,0,0,0,0,13,5
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,6
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,6
Mike Stack,42,0,0,0,0,0,0,0,0,0,3,6
John Fetterman,,13,0,0,0,0,0,0,0,0,4,6
Nina Ahmad,,,10,0,0,0,0,0,0,0,5,6
Kathi Cozzone,,,,3,0,0,0,0,0,0,6,6
Ray Sosa,,,,,0,0,0,0,0,0,7,6
James G Donnelly Sr,,,,,,0,0,0,0,0,8,6
John Dellricci,,,,,,,0,0,0,0,9,6
Kathy Enggasser,,,,,,,,0,0,0,10,6
Mary Ann Quartullo,,,,,,,,,0,0,11,6
Patrick Parkinson,,,,,,,,,,0,12,6
Total,42,13,10,3,0,0,0,0,0,0,13,6
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,7
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,John Dellricci,Mary Ann Quartullo,Kathy Enggasser,Patrick Parkinson,James G Donnelly Sr,2,7
Mike Stack,6,0,0,0,0,15,11,11,9,11,3,7
John Fetterman,,3,0,0,0,8,8,7,7,2,4,7
Nina Ahmad,,,4,0,0,2,3,3,1,2,5,7
Kathi Cozzone,,,,1,0,0,1,0,0,0,6,7
Ray Sosa,,,,,1,0,0,0,0,1,7,7
John Dellricci,,,,,,0,19,18,16,10,8,7
Mary Ann Quartullo,,,,,,,0,17,16,9,9,7
Kathy Enggasser,,,,,,,,0,13,11,10,7
Patrick Parkinson,,,,,,,,,0,6,11,7
James G Donnelly Sr,,,,,,,,,,0,12,7
Total,27,12,8,2,2,25,23,21,17,16,13,7
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,8
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,8
Mike Stack,17,0,0,0,0,0,0,0,0,0,3,8
John Fetterman,,13,0,0,0,0,0,0,0,0,4,8
Nina Ahmad,,,5,0,0,0,0,0,0,0,5,8
Kathi Cozzone,,,,4,0,0,0,0,0,0,6,8
Ray Sosa,,,,,1,0,0,0,0,0,7,8
James G Donnelly Sr,,,,,,0,0,0,0,0,8,8
John Dellricci,,,,,,,0,0,0,0,9,8
Kathy Enggasser,,,,,,,,0,0,0,10,8
Mary Ann Quartullo,,,,,,,,,0,0,11,8
Patrick Parkinson,,,,,,,,,,0,12,8
Total,17,13,5,4,1,0,0,0,0,0,13,8
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,9
,Mike Stack,John Fetterman,Nina Ahmad,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,9
Mike Stack,11,0,0,0,0,0,0,0,0,0,3,9
John Fetterman,,6,0,0,0,0,0,0,0,0,4,9
Nina Ahmad,,,5,0,0,0,0,0,0,0,5,9
Kathi Cozzone,,,,1,0,0,0,0,0,0,6,9
Ray Sosa,,,,,0,0,0,0,0,0,7,9
James G Donnelly Sr,,,,,,0,0,0,0,0,8,9
John Dellricci,,,,,,,0,0,0,0,9,9
Kathy Enggasser,,,,,,,,0,0,0,10,9
Mary Ann Quartullo,,,,,,,,,0,0,11,9
Patrick Parkinson,,,,,,,,,,0,12,9
Total,11,6,5,1,0,0,0,0,0,0,13,9
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,10
,Mike Stack,Nina Ahmad,John Fetterman,Kathi Cozzone,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,10
Mike Stack,20,0,0,0,0,0,0,0,0,0,3,10
Nina Ahmad,,12,0,0,0,0,0,0,0,0,4,10
John Fetterman,,,9,0,0,0,0,0,0,0,5,10
Kathi Cozzone,,,,1,0,0,0,0,0,0,6,10
Ray Sosa,,,,,0,0,0,0,0,0,7,10
James G Donnelly Sr,,,,,,0,0,0,0,0,8,10
John Dellricci,,,,,,,0,0,0,0,9,10
Kathy Enggasser,,,,,,,,0,0,0,10,10
Mary Ann Quartullo,,,,,,,,,0,0,11,10
Patrick Parkinson,,,,,,,,,,0,12,10
Total,20,12,9,1,0,0,0,0,0,0,13,10
,Lieutenant Governor - Democrat,,,,,Member Of The - Democratic State Committee 5th Senatorial District,,,,,1,11
,Mike Stack,Kathi Cozzone,John Fetterman,Nina Ahmad,Ray Sosa,James G Donnelly Sr,John Dellricci,Kathy Enggasser,Mary Ann Quartullo,Patrick Parkinson,2,11
Mike Stack,22,0,0,0,0,0,0,0,0,0,3,11
Kathi Cozzone,,9,0,0,0,0,0,0,0,0,4,11
