col_1,col_2,col_3,col_4,col_5,order,division
,Member Of The - Republican State Committee 1st Congressional District,,,,1,All
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,All
Christopher M Vogler,75,233,222,220,3,All
Maria Digiorgio Mccolgan,,46,227,231,4,All
Michael A Cibik,,,21,226,5,All
Theresa A Dintino,,,,15,6,All
Total,327,305,264,264,7,All
,Member Of The - Republican State Committee 1st Congressional District,,,,1,1
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,1
Maria Digiorgio Mccolgan,4,8,9,8,3,1
Christopher M Vogler,,4,7,7,4,1
Michael A Cibik,,,1,8,5,1
Theresa A Dintino,,,,2,6,1
Total,14,12,10,10,7,1
,Member Of The - Republican State Committee 1st Congressional District,,,,1,2
,Theresa A Dintino,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,2,2
Theresa A Dintino,1,7,10,10,3,2
Christopher M Vogler,,3,7,8,4,2
Maria Digiorgio Mccolgan,,,1,9,5,2
Michael A Cibik,,,,0,6,2
Total,12,11,11,11,7,2
,Member Of The - Republican State Committee 1st Congressional District,,,,1,3
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,3
Maria Digiorgio Mccolgan,3,4,5,4,3,3
Christopher M Vogler,,1,4,4,4,3
Michael A Cibik,,,1,4,5,3
Theresa A Dintino,,,,0,6,3
Total,8,6,6,5,7,3
,Member Of The - Republican State Committee 1st Congressional District,,,,1,4
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,4
Christopher M Vogler,1,10,10,7,3,4
Michael A Cibik,,2,9,7,4,4
Maria Digiorgio Mccolgan,,,0,7,5,4
Theresa A Dintino,,,,1,6,4
Total,12,12,10,8,7,4
,Member Of The - Republican State Committee 1st Congressional District,,,,1,5
,Michael A Cibik,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,2,5
Michael A Cibik,1,4,4,4,3,5
Christopher M Vogler,,0,4,4,4,5
Maria Digiorgio Mccolgan,,,0,4,5,5
Theresa A Dintino,,,,0,6,5
Total,5,4,4,4,7,5
,Member Of The - Republican State Committee 1st Congressional District,,,,1,6
,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,Maria Digiorgio Mccolgan,2,6
Christopher M Vogler,8,10,10,10,3,6
Michael A Cibik,,1,11,9,4,6
Theresa A Dintino,,,1,9,5,6
Maria Digiorgio Mccolgan,,,,0,6,6
Total,19,12,12,10,7,6
,Member Of The - Republican State Committee 1st Congressional District,,,,1,7
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,7
Maria Digiorgio Mccolgan,2,10,12,11,3,7
Christopher M Vogler,,2,10,10,4,7
Michael A Cibik,,,0,11,5,7
Theresa A Dintino,,,,1,6,7
Total,14,12,12,12,7,7
,Member Of The - Republican State Committee 1st Congressional District,,,,1,8
,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,2,8
Christopher M Vogler,5,11,12,12,3,8
Maria Digiorgio Mccolgan,,4,12,11,4,8
Theresa A Dintino,,,1,12,5,8
Michael A Cibik,,,,0,6,8
Total,17,16,14,12,7,8
,Member Of The - Republican State Committee 1st Congressional District,,,,1,9
,Maria Digiorgio Mccolgan,Michael A Cibik,Christopher M Vogler,Theresa A Dintino,2,9
Maria Digiorgio Mccolgan,1,8,8,8,3,9
Michael A Cibik,,1,8,8,4,9
Christopher M Vogler,,,0,8,5,9
Theresa A Dintino,,,,0,6,9
Total,9,9,8,8,7,9
,Member Of The - Republican State Committee 1st Congressional District,,,,1,10
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,10
Christopher M Vogler,2,3,3,3,3,10
Maria Digiorgio Mccolgan,,1,3,3,4,10
Michael A Cibik,,,0,4,5,10
Theresa A Dintino,,,,0,6,10
Total,5,4,4,4,7,10
,Member Of The - Republican State Committee 1st Congressional District,,,,1,11
,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,2,11
Christopher M Vogler,4,12,12,12,3,11
Maria Digiorgio Mccolgan,,1,13,12,4,11
Theresa A Dintino,,,1,12,5,11
Michael A Cibik,,,,0,6,11
Total,16,14,14,12,7,11
,Member Of The - Republican State Committee 1st Congressional District,,,,1,12
,Christopher M Vogler,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,2,12
Christopher M Vogler,2,9,8,6,3,12
Theresa A Dintino,,0,8,6,4,12
Maria Digiorgio Mccolgan,,,0,8,5,12
Michael A Cibik,,,,0,6,12
Total,13,11,10,8,7,12
,Member Of The - Republican State Committee 1st Congressional District,,,,1,13
,Maria Digiorgio Mccolgan,Christopher M Vogler,Theresa A Dintino,Michael A Cibik,2,13
Maria Digiorgio Mccolgan,0,10,10,9,3,13
Christopher M Vogler,,1,8,8,4,13
Theresa A Dintino,,,1,9,5,13
Michael A Cibik,,,,1,6,13
Total,12,11,11,10,7,13
,Member Of The - Republican State Committee 1st Congressional District,,,,1,14
,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,2,14
Christopher M Vogler,4,9,7,7,3,14
Maria Digiorgio Mccolgan,,2,9,7,4,14
Theresa A Dintino,,,0,7,5,14
Michael A Cibik,,,,0,6,14
Total,13,13,9,7,7,14
,Member Of The - Republican State Committee 1st Congressional District,,,,1,15
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,15
Christopher M Vogler,0,13,12,11,3,15
Maria Digiorgio Mccolgan,,1,11,11,4,15
Michael A Cibik,,,0,11,5,15
Theresa A Dintino,,,,0,6,15
Total,14,14,12,11,7,15
,Member Of The - Republican State Committee 1st Congressional District,,,,1,16
,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,Christopher M Vogler,2,16
Maria Digiorgio Mccolgan,4,8,8,8,3,16
Michael A Cibik,,2,9,8,4,16
Theresa A Dintino,,,1,7,5,16
Christopher M Vogler,,,,0,6,16
Total,13,12,10,9,7,16
,Member Of The - Republican State Committee 1st Congressional District,,,,1,17
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,17
Christopher M Vogler,2,14,13,12,3,17
Maria Digiorgio Mccolgan,,2,14,12,4,17
Michael A Cibik,,,1,12,5,17
Theresa A Dintino,,,,0,6,17
Total,17,17,15,13,7,17
,Member Of The - Republican State Committee 1st Congressional District,,,,1,18
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,18
Christopher M Vogler,3,11,11,11,3,18
Maria Digiorgio Mccolgan,,2,12,12,4,18
Michael A Cibik,,,2,12,5,18
Theresa A Dintino,,,,0,6,18
Total,14,14,14,12,7,18
,Member Of The - Republican State Committee 1st Congressional District,,,,1,19
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,19
Christopher M Vogler,1,15,14,14,3,19
Michael A Cibik,,0,13,14,4,19
Maria Digiorgio Mccolgan,,,0,13,5,19
Theresa A Dintino,,,,0,6,19
Total,17,15,14,14,7,19
,Member Of The - Republican State Committee 1st Congressional District,,,,1,20
,Christopher M Vogler,Maria Digiorgio Mccolgan,Theresa A Dintino,Michael A Cibik,2,20
Christopher M Vogler,6,6,6,6,3,20
Maria Digiorgio Mccolgan,,1,6,6,4,20
Theresa A Dintino,,,1,6,5,20
Michael A Cibik,,,,0,6,20
Total,12,7,7,6,7,20
,Member Of The - Republican State Committee 1st Congressional District,,,,1,21
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,21
Christopher M Vogler,4,10,9,6,3,21
Maria Digiorgio Mccolgan,,2,10,8,4,21
Michael A Cibik,,,1,8,5,21
Theresa A Dintino,,,,2,6,21
Total,15,14,12,10,7,21
,Member Of The - Republican State Committee 1st Congressional District,,,,1,22
,Maria Digiorgio Mccolgan,Christopher M Vogler,Michael A Cibik,Theresa A Dintino,2,22
Maria Digiorgio Mccolgan,6,7,6,7,3,22
Christopher M Vogler,,6,6,6,4,22
Michael A Cibik,,,2,6,5,22
Theresa A Dintino,,,,1,6,22
Total,14,13,8,8,7,22
,Member Of The - Republican State Committee 1st Congressional District,,,,1,23
,Christopher M Vogler,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,2,23
Christopher M Vogler,3,4,3,4,3,23
Theresa A Dintino,,0,4,4,4,23
Maria Digiorgio Mccolgan,,,0,3,5,23
Michael A Cibik,,,,0,6,23
Total,7,5,4,4,7,23
,Member Of The - Republican State Committee 1st Congressional District,,,,1,25
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,25
Christopher M Vogler,1,5,6,6,3,25
Michael A Cibik,,2,5,5,4,25
Maria Digiorgio Mccolgan,,,0,6,5,25
Theresa A Dintino,,,,0,6,25
Total,7,7,6,6,7,25
,Member Of The - Republican State Committee 1st Congressional District,,,,1,26
,Christopher M Vogler,Maria Digiorgio Mccolgan,Michael A Cibik,Theresa A Dintino,2,26
Christopher M Vogler,3,6,4,4,3,26
Maria Digiorgio Mccolgan,,2,4,4,4,26
Michael A Cibik,,,0,4,5,26
Theresa A Dintino,,,,0,6,26
Total,9,8,4,4,7,26
,Member Of The - Republican State Committee 1st Congressional District,,,,1,27
,Maria Digiorgio Mccolgan,Christopher M Vogler,Theresa A Dintino,Michael A Cibik,2,27
Maria Digiorgio Mccolgan,4,2,2,2,3,27
Christopher M Vogler,,0,4,2,4,27
Theresa A Dintino,,,0,2,5,27
Michael A Cibik,,,,0,6,27
Total,6,4,4,2,7,27
,Member Of The - Republican State Committee 1st Congressional District,,,,1,28
,Christopher M Vogler,Theresa A Dintino,Maria Digiorgio Mccolgan,Michael A Cibik,2,28
Christopher M Vogler,6,14,12,12,3,28
Theresa A Dintino,,1,14,12,4,28
Maria Digiorgio Mccolgan,,,2,11,5,28
Michael A Cibik,,,,1,6,28
Total,20,17,16,13,7,28
,Member Of The - Republican State Committee 1st Congressional District,,,,1,29
,Christopher M Vogler,Michael A Cibik,Maria Digiorgio Mccolgan,Theresa A Dintino,2,29
Christopher M Vogler,3,6,7,7,3,29
Michael A Cibik,,2,7,8,4,29
Maria Digiorgio Mccolgan,,,1,8,5,29
Theresa A Dintino,,,,0,6,29
Total,10,10,9,9,7,29
