col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Municipal Court,,All
,Vincent Furlong,Mark B Cohen,Stella Tsai,Deborah Canty,Vikki Kristiansson,Lucretia C Clemons,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Marissa Brumbach,Matt Wolf,All
Vincent Furlong,251,"1,060","1,073","1,099","1,079","1,067","1,077","1,072","1,042","1,092","1,094",All
Mark B Cohen,,38,"1,058","1,069","1,054","1,048","1,062","1,063","1,038","1,094","1,099",All
Stella Tsai,,,4,"1,114","1,114","1,105","1,100","1,087","1,069","1,138","1,091",All
Deborah Canty,,,,3,"1,116","1,112","1,110","1,096","1,085","1,125","1,101",All
Vikki Kristiansson,,,,,0,"1,104","1,105","1,085","1,069","1,109","1,086",All
Lucretia C Clemons,,,,,,2,"1,101","1,071","1,078","1,105","1,079",All
Zac Shaffer,,,,,,,2,"1,079","1,065","1,103","1,090",All
Deborah Cianfrani,,,,,,,,2,"1,063","1,093","1,078",All
Shanese Johnson,,,,,,,,,2,"1,083","1,057",All
Marissa Brumbach,,,,,,,,,,11,"1,122",All
Matt Wolf,,,,,,,,,,,7,All
Total,"1,428","1,225","1,185","1,182","1,160","1,154","1,152","1,149","1,125","1,277","1,233",All
,Judge Of The Municipal Court,,Judge Of The Court Of Common Pleas,,,,,,,,,1
,Marissa Brumbach,Matt Wolf,Deborah Canty,Stella Tsai,Lucretia C Clemons,Mark B Cohen,Shanese Johnson,Zac Shaffer,Deborah Cianfrani,Vikki Kristiansson,Vincent Furlong,1
Marissa Brumbach,0,47,50,50,48,44,49,48,47,46,41,1
Matt Wolf,,0,47,45,45,46,46,46,45,44,40,1
Deborah Canty,,,0,47,47,44,48,47,46,45,40,1
Stella Tsai,,,,0,46,43,48,47,46,45,39,1
Lucretia C Clemons,,,,,0,42,47,46,44,44,39,1
Mark B Cohen,,,,,,0,43,44,44,43,36,1
