col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,All
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Mary Murray,Craig Stedman,Jules Mermelstein,Emil Giordano,Wade A Kagarise,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,All
Carolyn H Nichols,91,"4,736","4,683","4,635",50,33,78,17,15,"4,747","4,791",47,16,All
Maria Mclaughlin,,30,"4,622","4,576",50,25,42,27,16,"4,743","4,646",45,16,All
Debbie Kunselman,,,12,"4,553",37,24,66,16,6,"4,590","4,584",39,13,All
Geoff Moulton,,,,9,10,21,24,20,13,"4,514","4,512",30,14,All
Mary Murray,,,,,1,65,7,54,49,41,49,67,56,All
Craig Stedman,,,,,,0,6,54,50,33,29,60,54,All
Jules Mermelstein,,,,,,,4,2,1,73,67,8,3,All
Emil Giordano,,,,,,,,3,51,27,21,60,53,All
Wade A Kagarise,,,,,,,,,1,16,14,48,51,All
Ellen Ceisler,,,,,,,,,,25,"4,576",42,10,All
Irene M Clark,,,,,,,,,,,20,20,16,All
Christine Fizzano Cannon,,,,,,,,,,,,1,44,All
Paul Lalley,,,,,,,,,,,,,0,All
Total,"5,212","5,060","4,807","4,724",121,96,94,91,71,"5,014","5,000",113,80,All
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,1
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Craig Stedman,Emil Giordano,Wade A Kagarise,Mary Murray,Jules Mermelstein,Irene M Clark,Ellen Ceisler,Paul Lalley,Christine Fizzano Cannon,1
Carolyn H Nichols,2,126,125,122,0,0,0,0,0,125,124,0,0,1
Maria Mclaughlin,,1,124,121,1,1,0,1,0,123,125,1,1,1
Geoff Moulton,,,0,121,1,1,1,0,0,123,123,1,1,1
Debbie Kunselman,,,,0,0,1,0,0,0,120,121,1,0,1
Craig Stedman,,,,,0,2,2,2,0,0,0,3,3,1
Emil Giordano,,,,,,0,1,1,0,1,0,3,2,1
Wade A Kagarise,,,,,,,1,1,0,0,0,2,2,1
Mary Murray,,,,,,,,0,0,0,0,2,2,1
Jules Mermelstein,,,,,,,,,0,0,0,0,0,1
Irene M Clark,,,,,,,,,,0,120,1,0,1
Ellen Ceisler,,,,,,,,,,,1,0,0,1
Paul Lalley,,,,,,,,,,,,0,3,1
Christine Fizzano Cannon,,,,,,,,,,,,,0,1
Total,131,131,128,124,3,3,3,2,0,129,128,4,3,1
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,2
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,2
Carolyn H Nichols,5,183,178,172,5,2,2,0,0,183,181,2,0,2
Maria Mclaughlin,,1,175,169,2,1,1,1,0,185,169,2,0,2
Debbie Kunselman,,,0,169,4,1,1,1,0,174,168,2,0,2
Geoff Moulton,,,,0,2,1,0,0,0,168,164,1,0,2
Jules Mermelstein,,,,,0,1,0,0,0,5,4,0,0,2
Mary Murray,,,,,,0,2,2,1,2,2,3,0,2
Craig Stedman,,,,,,,0,1,1,1,2,2,0,2
Emil Giordano,,,,,,,,0,1,1,0,2,0,2
Wade A Kagarise,,,,,,,,,0,0,0,1,0,2
Ellen Ceisler,,,,,,,,,,2,171,2,0,2
Irene M Clark,,,,,,,,,,,0,1,0,2
Christine Fizzano Cannon,,,,,,,,,,,,0,0,2
Paul Lalley,,,,,,,,,,,,,0,2
Total,203,192,179,172,5,4,3,2,1,193,181,4,0,2
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,3
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Emil Giordano,Wade A Kagarise,Jules Mermelstein,Mary Murray,Craig Stedman,Irene M Clark,Ellen Ceisler,Christine Fizzano Cannon,Paul Lalley,3
Carolyn H Nichols,1,173,169,168,1,1,4,1,0,172,166,1,1,3
Maria Mclaughlin,,0,168,167,2,2,3,0,0,169,174,1,1,3
Debbie Kunselman,,,0,164,0,1,5,0,0,169,167,1,0,3
Geoff Moulton,,,,1,2,1,1,0,0,161,161,1,1,3
Emil Giordano,,,,,0,5,0,4,4,2,1,4,5,3
Wade A Kagarise,,,,,,0,0,4,4,2,2,4,4,3
Jules Mermelstein,,,,,,,0,0,0,5,4,0,0,3
Mary Murray,,,,,,,,0,4,1,0,4,4,3
Craig Stedman,,,,,,,,,0,0,0,4,4,3
Irene M Clark,,,,,,,,,,1,167,0,1,3
Ellen Ceisler,,,,,,,,,,,2,1,0,3
Christine Fizzano Cannon,,,,,,,,,,,,0,4,3
Paul Lalley,,,,,,,,,,,,,0,3
Total,183,183,175,171,6,6,5,5,4,181,179,5,5,3
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,4
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Jules Mermelstein,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,4
Carolyn H Nichols,7,160,151,151,5,0,0,1,0,161,162,3,0,4
Maria Mclaughlin,,0,151,146,3,2,1,1,0,158,155,2,1,4
Geoff Moulton,,,1,144,0,0,0,0,0,149,147,1,0,4
Debbie Kunselman,,,,0,6,2,1,1,0,149,147,4,0,4
Jules Mermelstein,,,,,1,1,0,1,0,5,5,2,0,4
Mary Murray,,,,,,0,3,2,1,3,2,1,1,4
Craig Stedman,,,,,,,0,2,1,2,1,1,1,4
Emil Giordano,,,,,,,,0,1,1,2,1,1,4
Wade A Kagarise,,,,,,,,,0,1,1,0,0,4
Ellen Ceisler,,,,,,,,,,0,153,3,0,4
Irene M Clark,,,,,,,,,,,0,1,0,4
Christine Fizzano Cannon,,,,,,,,,,,,0,0,4
Paul Lalley,,,,,,,,,,,,,0,4
Total,181,169,154,153,7,4,3,3,1,168,166,4,1,4
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,5
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Mary Murray,Jules Mermelstein,Craig Stedman,Emil Giordano,Wade A Kagarise,Irene M Clark,Ellen Ceisler,Paul Lalley,Christine Fizzano Cannon,5
Carolyn H Nichols,3,172,168,163,2,5,1,1,0,174,165,1,1,5
Maria Mclaughlin,,0,168,161,4,3,1,1,1,171,169,2,1,5
Debbie Kunselman,,,0,161,3,4,2,1,1,164,166,1,1,5
Geoff Moulton,,,,0,1,0,1,0,0,160,159,0,1,5
Mary Murray,,,,,1,0,3,2,3,4,2,3,2,5
Jules Mermelstein,,,,,,1,0,0,0,2,5,0,0,5
Craig Stedman,,,,,,,0,2,2,2,1,2,2,5
Emil Giordano,,,,,,,,0,2,1,1,2,2,5
Wade A Kagarise,,,,,,,,,0,1,0,3,2,5
Irene M Clark,,,,,,,,,,0,164,2,0,5
Ellen Ceisler,,,,,,,,,,,1,1,1,5
Paul Lalley,,,,,,,,,,,,0,2,5
Christine Fizzano Cannon,,,,,,,,,,,,,0,5
Total,188,184,173,166,7,6,4,3,3,186,177,5,3,5
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,6
,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Debbie Kunselman,Craig Stedman,Jules Mermelstein,Emil Giordano,Mary Murray,Wade A Kagarise,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,6
