col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,All
,Maria Mclaughlin,Debbie Kunselman,Carolyn H Nichols,Geoff Moulton,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,All
Maria Mclaughlin,68,"5,630","5,625","5,390",180,108,153,59,193,"5,655",445,All
Debbie Kunselman,,8,"5,575","5,585",283,235,128,28,237,"5,561",467,All
Carolyn H Nichols,,,7,"5,351",78,82,121,37,221,"5,542",324,All
Geoff Moulton,,,,9,263,220,35,37,127,"5,375",397,All
Emil Giordano,,,,,3,812,646,647,47,129,892,All
Craig Stedman,,,,,,1,618,626,19,100,831,All
Mary Murray,,,,,,,0,619,35,90,728,All
Wade A Kagarise,,,,,,,,0,27,39,657,All
Jules Mermelstein,,,,,,,,,9,263,68,All
Dwayne Woodruff,,,,,,,,,,131,0,All
Sallie Mundy,,,,,,,,,,,54,All
Total,"6,223","6,088","5,916","5,827","1,039",946,829,704,348,"6,204","1,392",All
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,1
,Debbie Kunselman,Maria Mclaughlin,Carolyn H Nichols,Geoff Moulton,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,1
Debbie Kunselman,0,208,206,202,10,3,6,0,6,202,15,1
Maria Mclaughlin,,0,205,197,5,5,0,1,7,206,10,1
Carolyn H Nichols,,,0,191,3,6,1,2,7,200,10,1
Geoff Moulton,,,,0,8,1,5,0,2,196,11,1
Emil Giordano,,,,,0,14,18,10,0,2,22,1
Mary Murray,,,,,,0,14,12,2,2,18,1
Craig Stedman,,,,,,,0,10,0,1,18,1
Wade A Kagarise,,,,,,,,0,1,1,11,1
Jules Mermelstein,,,,,,,,,0,8,1,1
Dwayne Woodruff,,,,,,,,,,6,0,1
Sallie Mundy,,,,,,,,,,,1,1
Total,220,217,212,208,24,20,19,12,9,218,31,1
,Justice Of The Supreme Court,,Judge Of The Superior Court,,,,,,,,,2
,Dwayne Woodruff,Sallie Mundy,Geoff Moulton,Debbie Kunselman,Carolyn H Nichols,Maria Mclaughlin,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,2
Dwayne Woodruff,3,0,188,187,184,179,9,5,4,3,12,2
Sallie Mundy,,3,13,12,11,12,25,19,16,17,3,2
Geoff Moulton,,,0,188,186,181,12,7,1,3,8,2
Debbie Kunselman,,,,0,186,184,10,5,4,1,8,2
Carolyn H Nichols,,,,,0,183,6,3,2,2,10,2
Maria Mclaughlin,,,,,,0,6,2,3,0,7,2
Emil Giordano,,,,,,,0,24,17,18,2,2
Craig Stedman,,,,,,,,0,14,16,0,2
Mary Murray,,,,,,,,,0,17,1,2
Wade A Kagarise,,,,,,,,,,0,2,2
Jules Mermelstein,,,,,,,,,,,0,2
Total,203,39,203,200,197,193,34,24,20,20,15,2
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,3
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,3
Maria Mclaughlin,1,226,220,214,7,7,3,2,11,220,19,3
Carolyn H Nichols,,0,215,205,4,4,2,3,10,217,12,3
Debbie Kunselman,,,0,214,8,5,1,1,10,215,12,3
Geoff Moulton,,,,2,8,8,2,0,1,207,14,3
Craig Stedman,,,,,0,28,23,24,1,7,28,3
Emil Giordano,,,,,,0,22,23,1,4,29,3
Mary Murray,,,,,,,0,24,0,3,24,3
Wade A Kagarise,,,,,,,,0,1,0,26,3
Jules Mermelstein,,,,,,,,,0,9,3,3
Dwayne Woodruff,,,,,,,,,,7,0,3
Sallie Mundy,,,,,,,,,,,1,3
Total,243,231,229,227,35,33,27,26,12,240,45,3
,Justice Of The Supreme Court,,Judge Of The Superior Court,,,,,,,,,4
,Dwayne Woodruff,Sallie Mundy,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Carolyn H Nichols,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,4
Dwayne Woodruff,6,0,208,203,194,200,4,7,2,1,19,4
Sallie Mundy,,2,13,17,19,10,36,27,31,27,4,4
Maria Mclaughlin,,,0,205,193,200,5,8,3,0,11,4
Debbie Kunselman,,,,0,205,203,11,6,4,1,15,4
Geoff Moulton,,,,,0,192,10,5,6,3,8,4
Carolyn H Nichols,,,,,,2,2,5,3,2,14,4
Emil Giordano,,,,,,,0,26,29,26,4,4
Mary Murray,,,,,,,,0,24,24,3,4
Craig Stedman,,,,,,,,,0,25,1,4
Wade A Kagarise,,,,,,,,,,0,2,4
Jules Mermelstein,,,,,,,,,,,0,4
Total,229,53,223,221,215,212,40,34,33,28,23,4
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,5
,Debbie Kunselman,Carolyn H Nichols,Maria Mclaughlin,Geoff Moulton,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,5
Debbie Kunselman,0,192,185,190,7,6,7,4,20,191,14,5
Carolyn H Nichols,,0,183,182,6,1,4,2,15,190,10,5
Maria Mclaughlin,,,1,178,1,3,3,2,10,184,12,5
Geoff Moulton,,,,0,7,7,3,2,13,182,12,5
Craig Stedman,,,,,0,32,29,28,2,4,34,5
Emil Giordano,,,,,,0,28,28,1,1,36,5
Mary Murray,,,,,,,0,27,2,5,31,5
Wade A Kagarise,,,,,,,,0,0,1,30,5
Jules Mermelstein,,,,,,,,,0,19,4,5
Dwayne Woodruff,,,,,,,,,,4,0,5
Sallie Mundy,,,,,,,,,,,1,5
Total,206,200,198,195,38,38,36,31,23,205,52,5
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,6
,Debbie Kunselman,Geoff Moulton,Maria Mclaughlin,Carolyn H Nichols,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,6
Debbie Kunselman,0,165,159,161,14,10,5,0,7,155,21,6
Geoff Moulton,,2,153,156,10,10,1,0,5,155,17,6
Maria Mclaughlin,,,0,162,5,3,6,1,3,156,17,6
Carolyn H Nichols,,,,0,4,0,6,0,4,156,13,6
Craig Stedman,,,,,0,24,14,13,2,2,28,6
Emil Giordano,,,,,,0,13,12,0,0,25,6
Mary Murray,,,,,,,0,11,0,3,17,6
Wade A Kagarise,,,,,,,,0,1,0,13,6
Jules Mermelstein,,,,,,,,,0,8,1,6
Dwayne Woodruff,,,,,,,,,,2,0,6
Sallie Mundy,,,,,,,,,,,2,6
Total,178,176,176,172,30,25,20,13,9,174,44,6
,Justice Of The Supreme Court,,Judge Of The Superior Court,,,,,,,,,7
,Dwayne Woodruff,Sallie Mundy,Maria Mclaughlin,Debbie Kunselman,Carolyn H Nichols,Geoff Moulton,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,7
Dwayne Woodruff,3,0,202,201,198,192,7,3,3,3,6,7
Sallie Mundy,,1,11,11,10,8,30,27,26,22,1,7
Maria Mclaughlin,,,2,205,197,192,8,6,4,3,4,7
Debbie Kunselman,,,,0,198,198,9,5,5,1,5,7
Carolyn H Nichols,,,,,2,189,6,4,3,1,6,7
Geoff Moulton,,,,,,1,10,0,6,2,5,7
Emil Giordano,,,,,,,0,25,27,23,2,7
Mary Murray,,,,,,,,0,21,22,1,7
Craig Stedman,,,,,,,,,0,21,0,7
Wade A Kagarise,,,,,,,,,,0,2,7
Jules Mermelstein,,,,,,,,,,,1,7
Total,220,42,220,217,214,206,38,30,29,25,10,7
,Judge Of The Superior Court,,,,,,,,,Justice Of The Supreme Court,,8
,Maria Mclaughlin,Debbie Kunselman,Carolyn H Nichols,Geoff Moulton,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,Jules Mermelstein,Dwayne Woodruff,Sallie Mundy,8
Maria Mclaughlin,0,221,222,207,7,5,4,0,3,222,17,8
Debbie Kunselman,,0,219,216,13,11,5,1,9,215,22,8
Carolyn H Nichols,,,0,203,3,1,4,0,8,218,10,8
Geoff Moulton,,,,2,13,10,0,1,6,205,19,8
Craig Stedman,,,,,0,32,24,25,0,4,36,8
Emil Giordano,,,,,,0,25,24,0,3,34,8
Mary Murray,,,,,,,0,25,1,3,29,8
Wade A Kagarise,,,,,,,,0,0,0,26,8
Jules Mermelstein,,,,,,,,,0,9,0,8
Dwayne Woodruff,,,,,,,,,,4,0,8
Sallie Mundy,,,,,,,,,,,3,8
Total,240,238,229,227,40,37,32,26,9,239,58,8
,Justice Of The Supreme Court,,Judge Of The Superior Court,,,,,,,,,9
,Dwayne Woodruff,Sallie Mundy,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Carolyn H Nichols,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,9
Dwayne Woodruff,6,0,203,198,194,199,6,4,2,1,12,9
