col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,All
,Mary Murray,Emil Giordano,Craig Stedman,Wade A Kagarise,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Marissa Brumbach,Matt Wolf,All
Wade A Kagarise,,,,,0,1,0,0,0,5,7,6
Debbie Kunselman,,,,,,0,34,26,1,35,30,6
Carolyn H Nichols,,,,,,,0,26,0,32,29,6
Geoff Moulton,,,,,,,,0,1,26,23,6
Jules Mermelstein,,,,,,,,,0,3,2,6
Marissa Brumbach,,,,,,,,,,0,35,6
Matt Wolf,,,,,,,,,,,0,6
Total,66,61,56,53,51,38,37,27,4,51,43,6
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,7
,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Maria Mclaughlin,Geoff Moulton,Carolyn H Nichols,Debbie Kunselman,Jules Mermelstein,Matt Wolf,Marissa Brumbach,7
Mary Murray,5,59,57,56,6,1,3,3,1,16,9,7
Craig Stedman,,0,59,55,3,4,1,3,1,16,9,7
Emil Giordano,,,0,55,3,4,1,3,1,15,8,7
Wade A Kagarise,,,,0,1,2,2,1,0,12,5,7
Maria Mclaughlin,,,,,0,32,36,34,0,37,41,7
Geoff Moulton,,,,,,1,32,33,0,34,35,7
Carolyn H Nichols,,,,,,,0,33,0,32,35,7
Debbie Kunselman,,,,,,,,0,0,34,35,7
Jules Mermelstein,,,,,,,,,0,1,1,7
Matt Wolf,,,,,,,,,,0,37,7
Marissa Brumbach,,,,,,,,,,,1,7
Total,68,62,62,58,46,38,37,37,1,52,49,7
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,8
,Emil Giordano,Craig Stedman,Wade A Kagarise,Mary Murray,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Carolyn H Nichols,Jules Mermelstein,Marissa Brumbach,Matt Wolf,8
Emil Giordano,2,49,46,41,5,5,4,0,0,9,7,8
Craig Stedman,,0,46,41,2,5,3,1,0,7,6,8
Wade A Kagarise,,,0,42,2,1,0,0,0,6,6,8
Mary Murray,,,,0,5,2,0,3,0,7,6,8
Maria Mclaughlin,,,,,1,27,23,25,2,19,20,8
Debbie Kunselman,,,,,,0,28,26,4,19,18,8
Geoff Moulton,,,,,,,0,24,5,19,19,8
Carolyn H Nichols,,,,,,,,0,4,17,18,8
Jules Mermelstein,,,,,,,,,2,3,4,8
Marissa Brumbach,,,,,,,,,,0,20,8
Matt Wolf,,,,,,,,,,,0,8
Total,56,51,48,46,36,34,29,28,7,27,27,8
,Judge Of The Superior Court,,,,,,,,,Judge Of The Municipal Court,,9
,Maria Mclaughlin,Emil Giordano,Debbie Kunselman,Geoff Moulton,Mary Murray,Wade A Kagarise,Carolyn H Nichols,Craig Stedman,Jules Mermelstein,Marissa Brumbach,Matt Wolf,9
Maria Mclaughlin,3,12,27,26,6,5,23,1,0,31,26,9
Emil Giordano,,0,5,8,23,25,0,20,0,12,12,9
Debbie Kunselman,,,0,21,5,1,23,1,0,25,24,9
Geoff Moulton,,,,0,1,4,19,1,0,23,22,9
Mary Murray,,,,,0,19,3,19,0,9,10,9
Wade A Kagarise,,,,,,0,0,20,0,8,8,9
Carolyn H Nichols,,,,,,,0,1,0,21,20,9
Craig Stedman,,,,,,,,0,0,5,7,9
Jules Mermelstein,,,,,,,,,0,0,0,9
Marissa Brumbach,,,,,,,,,,0,29,9
Matt Wolf,,,,,,,,,,,0,9
