col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,District Attorney,,Judge Of The Superior Court,,,,,,,,,All
,Lawrence S Krasner,Beth Grossman,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,All
Lawrence S Krasner,88,0,"2,387","2,310","2,253","2,168",110,34,29,26,11,All
Beth Grossman,,12,62,65,66,53,9,57,53,54,40,All
Carolyn H Nichols,,,27,"2,248","2,231","2,165",99,13,10,26,6,All
Maria Mclaughlin,,,,18,"2,225","2,148",69,21,9,27,7,All
Debbie Kunselman,,,,,2,"2,149",86,37,30,24,3,All
Geoff Moulton,,,,,,1,42,31,25,13,8,All
Jules Mermelstein,,,,,,,4,5,5,10,4,All
Emil Giordano,,,,,,,,2,65,49,43,All
Craig Stedman,,,,,,,,,1,49,43,All
Mary Murray,,,,,,,,,,0,41,All
Wade A Kagarise,,,,,,,,,,,1,All
Total,"2,697",145,"2,508","2,429","2,355","2,254",127,96,85,84,54,All
,District Attorney,,Judge Of The Superior Court,,,,,,,,,1
,Lawrence S Krasner,Beth Grossman,Carolyn H Nichols,Geoff Moulton,Maria Mclaughlin,Debbie Kunselman,Craig Stedman,Emil Giordano,Jules Mermelstein,Wade A Kagarise,Mary Murray,1
Lawrence S Krasner,4,0,99,94,94,92,2,2,2,2,1,1
Beth Grossman,,1,4,4,4,4,0,0,0,0,0,1
Carolyn H Nichols,,,1,97,94,94,1,0,2,1,0,1
Geoff Moulton,,,,0,94,94,1,0,2,1,0,1
Maria Mclaughlin,,,,,0,94,0,0,0,0,0,1
Debbie Kunselman,,,,,,0,0,0,0,0,0,1
Craig Stedman,,,,,,,1,1,1,1,1,1
Emil Giordano,,,,,,,,0,0,1,1,1
Jules Mermelstein,,,,,,,,,0,1,0,1
Wade A Kagarise,,,,,,,,,,0,1,1
Mary Murray,,,,,,,,,,,0,1
Total,110,5,104,98,98,96,3,2,2,2,1,1
,District Attorney,,Judge Of The Superior Court,,,,,,,,,2
,Lawrence S Krasner,Beth Grossman,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Craig Stedman,Emil Giordano,Jules Mermelstein,Mary Murray,Wade A Kagarise,2
Lawrence S Krasner,3,0,95,93,92,91,0,0,0,0,0,2
Beth Grossman,,0,1,0,1,1,1,1,0,1,1,2
Carolyn H Nichols,,,0,90,92,91,0,0,0,0,0,2
Maria Mclaughlin,,,,2,89,88,0,0,0,0,0,2
Debbie Kunselman,,,,,0,91,0,0,0,0,0,2
Geoff Moulton,,,,,,0,0,0,0,0,0,2
Craig Stedman,,,,,,,0,1,0,1,1,2
Emil Giordano,,,,,,,,0,0,1,1,2
Jules Mermelstein,,,,,,,,,1,0,0,2
Mary Murray,,,,,,,,,,0,1,2
Wade A Kagarise,,,,,,,,,,,0,2
Total,103,2,96,95,93,92,1,1,1,1,1,2
,District Attorney,,Judge Of The Superior Court,,,,,,,,,3
,Lawrence S Krasner,Beth Grossman,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Craig Stedman,Emil Giordano,Mary Murray,Wade A Kagarise,3
Lawrence S Krasner,1,0,63,62,59,57,1,0,0,0,0,3
Beth Grossman,,0,0,0,0,0,0,0,0,0,0,3
Maria Mclaughlin,,,3,59,58,56,1,0,0,0,0,3
Carolyn H Nichols,,,,3,58,56,1,0,0,0,0,3
Debbie Kunselman,,,,,1,57,1,0,0,0,0,3
Geoff Moulton,,,,,,0,0,0,0,0,0,3
Jules Mermelstein,,,,,,,0,0,0,0,0,3
Craig Stedman,,,,,,,,0,0,0,0,3
Emil Giordano,,,,,,,,,0,0,0,3
Mary Murray,,,,,,,,,,0,0,3
Wade A Kagarise,,,,,,,,,,,0,3
Total,69,0,67,66,60,57,1,0,0,0,0,3
,District Attorney,,Judge Of The Superior Court,,,,,,,,,4
,Lawrence S Krasner,Beth Grossman,Carolyn H Nichols,Debbie Kunselman,Maria Mclaughlin,Geoff Moulton,Jules Mermelstein,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,4
Lawrence S Krasner,3,0,49,49,47,44,1,0,0,0,0,4
Beth Grossman,,0,2,2,2,1,0,1,0,0,0,4
Carolyn H Nichols,,,0,49,47,44,1,1,0,0,0,4
Debbie Kunselman,,,,0,48,45,1,1,0,0,0,4
Maria Mclaughlin,,,,,0,45,0,1,0,0,0,4
Geoff Moulton,,,,,,0,0,0,0,0,0,4
Jules Mermelstein,,,,,,,0,0,0,0,0,4
Mary Murray,,,,,,,,0,0,0,0,4
Craig Stedman,,,,,,,,,0,0,0,4
Emil Giordano,,,,,,,,,,0,0,4
Wade A Kagarise,,,,,,,,,,,0,4
Total,55,2,51,51,49,45,1,1,0,0,0,4
,District Attorney,,Judge Of The Superior Court,,,,,,,,,5
