col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Judge Of The Court Of Common Pleas,,,,,,,,,All
,Stella Tsai,Shanese Johnson,Deborah Canty,Mark B Cohen,Zac Shaffer,Lucretia C Clemons,Deborah Cianfrani,Vincent Furlong,Vikki Kristiansson,All
Stella Tsai,31,995,"1,001",991,994,"1,003",988,980,996,All
Shanese Johnson,,19,999,992,995,998,987,976,990,All
Deborah Canty,,,8,989,991,999,990,980,992,All
Mark B Cohen,,,,12,995,988,985,976,989,All
Zac Shaffer,,,,,11,995,980,984,993,All
Lucretia C Clemons,,,,,,6,984,977,994,All
Deborah Cianfrani,,,,,,,8,970,985,All
Vincent Furlong,,,,,,,,17,980,All
Vikki Kristiansson,,,,,,,,,2,All
Total,"1,052","1,046","1,031","1,029","1,029","1,027","1,017","1,017","1,015",All
,Judge Of The Court Of Common Pleas,,,,,,,,,1
,Stella Tsai,Deborah Canty,Deborah Cianfrani,Lucretia C Clemons,Vikki Kristiansson,Vincent Furlong,Shanese Johnson,Mark B Cohen,Zac Shaffer,1
Stella Tsai,2,31,31,31,31,31,30,30,28,1
Deborah Canty,,1,32,31,32,31,31,30,29,1
Deborah Cianfrani,,,0,30,32,31,30,30,28,1
Lucretia C Clemons,,,,1,31,31,31,30,29,1
Vikki Kristiansson,,,,,0,32,31,31,29,1
Vincent Furlong,,,,,,0,31,31,29,1
Shanese Johnson,,,,,,,0,29,29,1
Mark B Cohen,,,,,,,,0,29,1
Zac Shaffer,,,,,,,,,0,1
Total,35,34,33,33,33,33,32,31,29,1
,Judge Of The Court Of Common Pleas,,,,,,,,,2
,Stella Tsai,Deborah Canty,Lucretia C Clemons,Mark B Cohen,Shanese Johnson,Vikki Kristiansson,Deborah Cianfrani,Vincent Furlong,Zac Shaffer,2
Stella Tsai,6,59,59,58,58,58,58,56,57,2
Deborah Canty,,2,59,58,59,58,58,56,57,2
Lucretia C Clemons,,,2,58,58,58,58,56,57,2
Mark B Cohen,,,,1,57,58,57,56,57,2
Shanese Johnson,,,,,1,58,57,56,57,2
Vikki Kristiansson,,,,,,0,57,56,57,2
Deborah Cianfrani,,,,,,,0,55,56,2
Vincent Furlong,,,,,,,,1,56,2
Zac Shaffer,,,,,,,,,0,2
Total,65,62,61,60,60,59,58,57,57,2
,Judge Of The Court Of Common Pleas,,,,,,,,,3
