col_1,col_2,col_3,col_4,col_5,col_6,col_7,division
,District Attorney,,Judge Of The Commonwealth Court,,,,All
,Lawrence S Krasner,Beth Grossman,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,All
Lawrence S Krasner,150,0,"3,580","3,566",23,6,All
Beth Grossman,,17,67,63,23,20,All
Ellen Ceisler,,,50,"3,429",17,5,All
Irene M Clark,,,,43,11,8,All
Christine Fizzano Cannon,,,,,1,14,All
Paul Lalley,,,,,,0,All
Total,"3,964",117,"3,744","3,719",51,28,All
,District Attorney,,Judge Of The Commonwealth Court,,,,1
,Lawrence S Krasner,Beth Grossman,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,1
Lawrence S Krasner,6,0,125,125,0,0,1
Beth Grossman,,0,4,3,1,1,1
Ellen Ceisler,,,0,125,0,0,1
Irene M Clark,,,,0,0,0,1
Christine Fizzano Cannon,,,,,0,1,1
Paul Lalley,,,,,,0,1
Total,134,5,129,128,1,1,1
,Judge Of The Commonwealth Court,,,,District Attorney,,2
,Irene M Clark,Ellen Ceisler,Christine Fizzano Cannon,Paul Lalley,Lawrence S Krasner,Beth Grossman,2
Irene M Clark,1,137,0,1,142,3,2
Ellen Ceisler,,1,0,0,136,2,2
Christine Fizzano Cannon,,,1,1,0,0,2
Paul Lalley,,,,0,0,1,2
Lawrence S Krasner,,,,,1,0,2
Beth Grossman,,,,,,0,2
Total,149,142,2,2,147,3,2
,District Attorney,,Judge Of The Commonwealth Court,,,,3
,Lawrence S Krasner,Beth Grossman,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,3
Lawrence S Krasner,3,0,141,142,0,0,3
Beth Grossman,,0,3,1,2,0,3
Ellen Ceisler,,,2,138,2,0,3
Irene M Clark,,,,1,0,0,3
Christine Fizzano Cannon,,,,,0,0,3
Paul Lalley,,,,,,0,3
Total,150,3,147,145,2,0,3
,District Attorney,,Judge Of The Commonwealth Court,,,,4
