col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Commonwealth Court,,,,All
,Vincent Furlong,Stella Tsai,Lucretia C Clemons,Deborah Canty,Vikki Kristiansson,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,All
Vincent Furlong,"1,063","128,627","128,556","128,375","128,602","128,217","121,185","119,618","120,378","124,726","114,973","30,198","23,595",All
Stella Tsai,,444,"138,123","136,519","137,331","135,182","126,210","126,171","123,894","135,887","122,581","10,493","4,611",All
Lucretia C Clemons,,,240,"136,993","136,758","135,435","125,669","127,301","124,010","133,385","122,549","9,879","4,267",All
Deborah Canty,,,,413,"135,465","133,948","126,537","126,302","124,468","131,775","121,877","10,167","4,611",All
Vikki Kristiansson,,,,,224,"134,769","125,527","124,726","123,361","132,307","120,660","10,614","4,714",All
Zac Shaffer,,,,,,190,"124,067","124,168","123,604","130,471","119,593","9,852","4,701",All
Deborah Cianfrani,,,,,,,376,"124,414","123,560","121,994","117,672","8,550","4,720",All
Shanese Johnson,,,,,,,,434,"123,066","121,811","118,531","6,992","3,751",All
Mark B Cohen,,,,,,,,,570,"120,273","116,683","7,789","4,639",All
Ellen Ceisler,,,,,,,,,,"1,935","124,336","7,521","1,077",All
Irene M Clark,,,,,,,,,,,951,"1,163",808,All
Christine Fizzano Cannon,,,,,,,,,,,,"1,145","22,804",All
Paul Lalley,,,,,,,,,,,,,392,All
Total,"156,177","146,762","144,428","143,622","142,567","140,529","132,980","132,678","131,650","150,380","135,622","35,403","26,186",All
