col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Commonwealth Court,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,All
Maria Mclaughlin,"1,830","135,465","133,585","128,557","4,315","4,669","1,970","1,832","4,993","139,364","125,864","8,634","2,639",All
Carolyn H Nichols,,"1,973","133,424","128,591","1,631","3,405","1,599",907,"6,118","136,121","127,637","6,075","1,677",All
Debbie Kunselman,,,394,"128,904","3,755","3,352","2,778",547,"5,983","133,963","124,331","7,516","1,903",All
Geoff Moulton,,,,268,"3,520",766,"2,589","1,175","2,827","129,140","119,488","6,312","1,719",All
Emil Giordano,,,,,196,"23,473","23,895","22,792",905,"4,537","1,541","26,255","22,965",All
Mary Murray,,,,,,173,"22,338","22,049",942,"3,575","2,680","24,596","22,394",All
Craig Stedman,,,,,,,130,"21,945",604,"3,086","1,281","23,936","22,385",All
Wade A Kagarise,,,,,,,,44,536,"1,645",803,"22,594","21,678",All
Jules Mermelstein,,,,,,,,,312,"6,765","5,622","1,588",880,All
Ellen Ceisler,,,,,,,,,,907,"124,336","7,521","1,077",All
Irene M Clark,,,,,,,,,,,607,"1,163",808,All
Christine Fizzano Cannon,,,,,,,,,,,,706,"22,804",All
Paul Lalley,,,,,,,,,,,,,160,All
Total,"151,906","148,220","142,070","135,847","30,115","28,822","27,245","24,577","8,818","150,380","135,622","35,403","26,186",All
