col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,,,,,,,,All
,Vincent Furlong,Stella Tsai,Lucretia C Clemons,Deborah Canty,Vikki Kristiansson,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,All
Vincent Furlong,732,"128,627","128,556","128,375","128,602","128,217","121,185","119,618","120,378","125,580","122,791","122,537","118,994","26,572","25,374","24,419","22,487","5,716",All
Stella Tsai,,260,"138,123","136,519","137,331","135,182","126,210","126,171","123,894","135,106","133,109","131,846","127,142","7,061","6,227","5,625","4,049","6,866",All
Lucretia C Clemons,,,88,"136,993","136,758","135,435","125,669","127,301","124,010","132,724","132,999","130,742","126,279","6,735","5,818","5,278","3,845","6,687",All
Deborah Canty,,,,204,"135,465","133,948","126,537","126,302","124,468","131,474","132,051","130,104","124,969","6,707","6,424","5,624","3,758","6,540",All
Vikki Kristiansson,,,,,107,"134,769","125,527","124,726","123,361","132,178","130,580","129,957","125,819","7,292","6,380","5,696","4,203","6,249",All
Zac Shaffer,,,,,,89,"124,067","124,168","123,604","129,861","129,141","128,360","124,385","6,780","5,931","5,688","3,870","6,443",All
Deborah Cianfrani,,,,,,,208,"124,414","123,560","122,497","122,182","121,189","115,593","6,236","6,938","4,978","4,033","5,955",All
Shanese Johnson,,,,,,,,218,"123,066","121,914","123,171","120,240","116,089","5,177","5,475","4,103","3,580","5,861",All
Mark B Cohen,,,,,,,,,341,"120,885","120,777","118,966","115,340","5,794","6,367","4,918","3,950","5,374",All
Maria Mclaughlin,,,,,,,,,,"1,733","135,465","133,585","128,557","4,315","4,669","1,970","1,832","4,993",All
Carolyn H Nichols,,,,,,,,,,,"1,274","133,424","128,591","1,631","3,405","1,599",907,"6,118",All
Debbie Kunselman,,,,,,,,,,,,208,"128,904","3,755","3,352","2,778",547,"5,983",All
Geoff Moulton,,,,,,,,,,,,,200,"3,520",766,"2,589","1,175","2,827",All
Emil Giordano,,,,,,,,,,,,,,277,"23,473","23,895","22,792",905,All
Mary Murray,,,,,,,,,,,,,,,222,"22,338","22,049",942,All
Craig Stedman,,,,,,,,,,,,,,,,191,"21,945",604,All
Wade A Kagarise,,,,,,,,,,,,,,,,,54,536,All
Jules Mermelstein,,,,,,,,,,,,,,,,,,312,All
Total,"156,177","146,762","144,428","143,622","142,567","140,529","132,980","132,678","131,650","151,906","148,220","142,070","135,847","30,115","28,822","27,245","24,577","8,818",All
