col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,division
,Judge Of The Commonwealth Court,,,,Judge Of The Court Of Common Pleas,,,,,,,,,All
,Irene M Clark,Ellen Ceisler,Christine Fizzano Cannon,Paul Lalley,Deborah Canty,Vincent Furlong,Stella Tsai,Shanese Johnson,Mark B Cohen,Lucretia C Clemons,Deborah Cianfrani,Zac Shaffer,Vikki Kristiansson,All
Irene M Clark,5,"1,186",7,2,"1,197","1,154","1,172","1,179","1,179","1,180","1,175","1,167","1,165",All
Ellen Ceisler,,8,13,1,"1,191","1,153","1,203","1,176","1,174","1,183","1,169","1,172","1,177",All
Christine Fizzano Cannon,,,1,68,27,79,24,25,26,26,27,23,25,All
Paul Lalley,,,,3,17,68,16,15,16,15,16,16,17,All
Deborah Canty,,,,,3,"1,179","1,201","1,198","1,191","1,216","1,195","1,199","1,202",All
Vincent Furlong,,,,,,4,"1,174","1,171","1,173","1,176","1,172","1,175","1,174",All
Stella Tsai,,,,,,,3,"1,192","1,181","1,200","1,185","1,190","1,197",All
Shanese Johnson,,,,,,,,6,"1,180","1,198","1,180","1,186","1,186",All
Mark B Cohen,,,,,,,,,5,"1,191","1,179","1,186","1,184",All
Lucretia C Clemons,,,,,,,,,,0,"1,186","1,197","1,200",All
Deborah Cianfrani,,,,,,,,,,,5,"1,178","1,185",All
Zac Shaffer,,,,,,,,,,,,4,"1,193",All
Vikki Kristiansson,,,,,,,,,,,,,0,All
Total,"1,296","1,291",94,77,"1,274","1,265","1,256","1,252","1,250","1,244","1,234","1,231","1,229",All
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Commonwealth Court,,,,1
,Vincent Furlong,Deborah Cianfrani,Lucretia C Clemons,Stella Tsai,Deborah Canty,Mark B Cohen,Shanese Johnson,Vikki Kristiansson,Zac Shaffer,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,1
Vincent Furlong,0,45,47,46,47,45,46,44,45,47,45,8,7,1
Deborah Cianfrani,,0,47,47,47,46,46,46,47,48,49,0,0,1
Lucretia C Clemons,,,0,49,48,47,47,47,47,48,46,1,0,1
Stella Tsai,,,,0,48,46,47,47,47,48,46,1,0,1
Deborah Canty,,,,,0,45,47,46,47,48,46,1,0,1
Mark B Cohen,,,,,,0,46,45,45,47,45,0,0,1
Shanese Johnson,,,,,,,0,45,45,46,45,0,0,1
Vikki Kristiansson,,,,,,,,0,46,46,45,1,0,1
Zac Shaffer,,,,,,,,,0,47,46,1,0,1
Ellen Ceisler,,,,,,,,,,0,47,1,0,1
Irene M Clark,,,,,,,,,,,0,0,0,1
Christine Fizzano Cannon,,,,,,,,,,,,0,7,1
Paul Lalley,,,,,,,,,,,,,0,1
Total,55,50,50,50,49,48,48,48,48,52,49,8,7,1
,Judge Of The Commonwealth Court,,,,Judge Of The Court Of Common Pleas,,,,,,,,,2
