col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,division
,Judge Of The Superior Court,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,All
Maria Mclaughlin,104,"3,821","3,788","3,657",75,50,95,28,151,All
Carolyn H Nichols,,96,"3,796","3,666",40,36,82,16,198,All
Debbie Kunselman,,,25,"3,728",123,103,68,7,188,All
Geoff Moulton,,,,62,119,108,16,23,110,All
Emil Giordano,,,,,6,383,321,319,19,All
Craig Stedman,,,,,,4,315,328,10,All
Mary Murray,,,,,,,8,315,22,All
Wade A Kagarise,,,,,,,,3,5,All
Jules Mermelstein,,,,,,,,,21,All
Total,"4,104","4,089","4,034","3,944",491,466,440,361,271,All
,Judge Of The Superior Court,,,,,,,,,1
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,1
Carolyn H Nichols,9,240,238,236,0,0,2,1,9,1
Maria Mclaughlin,,6,238,233,3,3,5,2,6,1
Debbie Kunselman,,,2,239,5,4,4,0,8,1
Geoff Moulton,,,,0,4,4,0,2,6,1
Emil Giordano,,,,,0,15,12,13,0,1
Craig Stedman,,,,,,0,11,13,0,1
Mary Murray,,,,,,,0,10,1,1
Wade A Kagarise,,,,,,,,0,0,1
Jules Mermelstein,,,,,,,,,0,1
Total,255,253,250,245,18,17,15,14,10,1
,Judge Of The Superior Court,,,,,,,,,2
,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Jules Mermelstein,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,2
Carolyn H Nichols,15,220,221,213,18,2,2,3,0,2
Maria Mclaughlin,,4,217,211,11,7,1,1,0,2
Debbie Kunselman,,,1,215,11,10,3,3,0,2
Geoff Moulton,,,,6,7,9,3,0,0,2
Jules Mermelstein,,,,,5,0,0,2,0,2
Emil Giordano,,,,,,0,11,8,8,2
Craig Stedman,,,,,,,1,8,7,2
Mary Murray,,,,,,,,2,7,2
Wade A Kagarise,,,,,,,,,0,2
Total,252,234,232,231,23,21,14,13,8,2
,Judge Of The Superior Court,,,,,,,,,3
,Maria Mclaughlin,Debbie Kunselman,Carolyn H Nichols,Geoff Moulton,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Jules Mermelstein,3
Maria Mclaughlin,4,284,284,273,10,1,3,1,8,3
Debbie Kunselman,,4,283,278,8,2,5,0,13,3
Carolyn H Nichols,,,3,273,9,3,2,2,10,3
Geoff Moulton,,,,1,1,2,1,1,7,3
Mary Murray,,,,,0,17,19,17,1,3
Craig Stedman,,,,,,0,17,18,0,3
Emil Giordano,,,,,,,0,16,1,3
Wade A Kagarise,,,,,,,,0,0,3
Jules Mermelstein,,,,,,,,,4,3
Total,302,301,300,286,29,22,22,19,18,3
,Judge Of The Superior Court,,,,,,,,,4
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,4
Maria Mclaughlin,5,199,195,190,4,2,8,3,10,4
Carolyn H Nichols,,3,194,189,2,0,5,1,13,4
Debbie Kunselman,,,1,192,6,6,3,0,13,4
Geoff Moulton,,,,4,5,4,1,0,7,4
Emil Giordano,,,,,0,26,23,25,4,4
Craig Stedman,,,,,,0,18,22,1,4
Mary Murray,,,,,,,0,22,2,4
Wade A Kagarise,,,,,,,,0,2,4
Jules Mermelstein,,,,,,,,,1,4
