col_1,col_2,col_3,col_4,col_5,division
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,21
Ellen Ceisler,14,96,2,0,21
Irene M Clark,,4,0,2,21
Christine Fizzano Cannon,,,6,28,21
Paul Lalley,,,,3,21
Total,112,102,36,33,21
,Judge Of The Commonwealth Court,,,,22
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,22
Ellen Ceisler,11,44,9,0,22
Irene M Clark,,3,0,0,22
Christine Fizzano Cannon,,,1,17,22
Paul Lalley,,,,2,22
Total,64,47,27,19,22
,Judge Of The Commonwealth Court,,,,23
,Irene M Clark,Ellen Ceisler,Paul Lalley,Christine Fizzano Cannon,23
Irene M Clark,1,32,4,0,23
Ellen Ceisler,,3,0,1,23
Paul Lalley,,,0,7,23
Christine Fizzano Cannon,,,,0,23
Total,37,36,11,8,23
,Judge Of The Commonwealth Court,,,,24
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,24
Ellen Ceisler,20,91,2,0,24
Irene M Clark,,7,1,0,24
Christine Fizzano Cannon,,,3,13,24
Paul Lalley,,,,1,24
Total,113,99,19,14,24
,Judge Of The Commonwealth Court,,,,25
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,25
Ellen Ceisler,8,61,4,0,25
Irene M Clark,,5,0,0,25
Christine Fizzano Cannon,,,12,36,25
Paul Lalley,,,,3,25
Total,73,66,52,39,25
,Judge Of The Commonwealth Court,,,,26
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,26
Ellen Ceisler,15,116,17,0,26
Irene M Clark,,3,3,1,26
Christine Fizzano Cannon,,,3,20,26
Paul Lalley,,,,0,26
Total,148,123,43,21,26
,Judge Of The Commonwealth Court,,,,27
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,27
Ellen Ceisler,11,91,15,0,27
Irene M Clark,,4,0,1,27
Christine Fizzano Cannon,,,2,19,27
Paul Lalley,,,,1,27
Total,117,96,36,21,27
,Judge Of The Commonwealth Court,,,,28
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,28
Ellen Ceisler,7,108,4,0,28
Irene M Clark,,4,0,2,28
Christine Fizzano Cannon,,,1,2,28
Paul Lalley,,,,0,28
Total,119,114,7,4,28
,Judge Of The Commonwealth Court,,,,29
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,29
Ellen Ceisler,7,34,2,2,29
Irene M Clark,,2,0,0,29
Christine Fizzano Cannon,,,4,20,29
Paul Lalley,,,,1,29
Total,45,36,26,23,29
,Judge Of The Commonwealth Court,,,,30
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,30
Ellen Ceisler,19,126,14,0,30
Irene M Clark,,9,1,0,30
Christine Fizzano Cannon,,,3,16,30
Paul Lalley,,,,1,30
Total,159,136,34,17,30
,Judge Of The Commonwealth Court,,,,31
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,31
Ellen Ceisler,2,43,5,1,31
Irene M Clark,,3,0,0,31
Christine Fizzano Cannon,,,2,35,31
Paul Lalley,,,,1,31
Total,51,46,42,37,31
,Judge Of The Commonwealth Court,,,,32
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,32
Ellen Ceisler,4,43,6,0,32
Irene M Clark,,3,0,0,32
Christine Fizzano Cannon,,,2,13,32
Paul Lalley,,,,0,32
Total,53,46,21,13,32
,Judge Of The Commonwealth Court,,,,33
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,33
Ellen Ceisler,11,32,1,0,33
Irene M Clark,,2,0,0,33
Christine Fizzano Cannon,,,4,20,33
Paul Lalley,,,,5,33
Total,44,34,25,25,33
,Judge Of The Commonwealth Court,,,,34
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,34
Ellen Ceisler,8,63,5,0,34
Irene M Clark,,2,0,0,34
Christine Fizzano Cannon,,,1,14,34
Paul Lalley,,,,0,34
Total,76,65,20,14,34
,Judge Of The Commonwealth Court,,,,35
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,35
Ellen Ceisler,11,99,7,1,35
Irene M Clark,,8,2,0,35
Christine Fizzano Cannon,,,8,16,35
Paul Lalley,,,,2,35
Total,118,109,33,19,35
,Judge Of The Commonwealth Court,,,,36
,Christine Fizzano Cannon,Paul Lalley,Ellen Ceisler,Irene M Clark,36
Christine Fizzano Cannon,7,42,6,0,36
Paul Lalley,,3,1,1,36
Ellen Ceisler,,,6,25,36
Irene M Clark,,,,0,36
Total,55,47,38,26,36
,Judge Of The Commonwealth Court,,,,37
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,37
Ellen Ceisler,14,82,14,1,37
Irene M Clark,,4,0,0,37
Christine Fizzano Cannon,,,10,26,37
Paul Lalley,,,,1,37
Total,111,86,50,28,37
,Judge Of The Commonwealth Court,,,,38
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,38
Ellen Ceisler,16,86,13,0,38
Irene M Clark,,2,0,1,38
Christine Fizzano Cannon,,,1,22,38
Paul Lalley,,,,1,38
Total,115,89,36,24,38
,Judge Of The Commonwealth Court,,,,39
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,39
Ellen Ceisler,6,45,8,0,39
Irene M Clark,,6,2,0,39
Christine Fizzano Cannon,,,11,31,39
Paul Lalley,,,,1,39
Total,59,53,52,32,39
,Judge Of The Commonwealth Court,,,,40
,Ellen Ceisler,Irene M Clark,Christine Fizzano Cannon,Paul Lalley,40
Ellen Ceisler,10,34,3,0,40
Irene M Clark,,3,0,0,40
Christine Fizzano Cannon,,,1,3,40
Paul Lalley,,,,0,40
Total,47,37,7,3,40
,Judge Of The Commonwealth Court,,,,41
