col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Court Of Common Pleas,,,,,,,,,Justice Of The Supreme Court,,All
,Stella Tsai,Vincent Furlong,Vikki Kristiansson,Lucretia C Clemons,Zac Shaffer,Deborah Canty,Deborah Cianfrani,Mark B Cohen,Shanese Johnson,Dwayne Woodruff,Sallie Mundy,All
Stella Tsai,8,"5,440","5,931","5,866","5,784","5,769","4,707","4,612","4,628","5,583",601,All
Vincent Furlong,,9,"5,425","5,380","5,399","5,365","4,412","4,386","4,335","4,989","1,066",All
Vikki Kristiansson,,,3,"5,847","5,767","5,762","4,695","4,588","4,599","5,444",598,All
Lucretia C Clemons,,,,0,"5,732","5,732","4,656","4,555","4,618","5,405",536,All
Zac Shaffer,,,,,6,"5,639","4,611","4,602","4,555","5,331",561,All
Deborah Canty,,,,,,2,"4,636","4,541","4,582","5,307",556,All
Deborah Cianfrani,,,,,,,6,"4,505","4,517","4,380",432,All
Mark B Cohen,,,,,,,,15,"4,437","4,362",413,All
Shanese Johnson,,,,,,,,,3,"4,318",367,All
Dwayne Woodruff,,,,,,,,,,294,0,All
Sallie Mundy,,,,,,,,,,,192,All
Total,"6,258","6,122","6,108","6,003","5,958","5,925","4,865","4,842","4,729","6,204","1,392",All
,Judge Of The Court Of Common Pleas,,,,,,,,,Justice Of The Supreme Court,,1
,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Vincent Furlong,Zac Shaffer,Deborah Canty,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Dwayne Woodruff,Sallie Mundy,1
Stella Tsai,1,209,205,193,203,198,163,159,157,203,16,1
Vikki Kristiansson,,0,206,195,201,200,163,160,154,199,15,1
Lucretia C Clemons,,,0,191,200,198,160,159,152,197,12,1
Vincent Furlong,,,,0,191,192,153,152,151,182,23,1
Zac Shaffer,,,,,0,193,157,157,154,192,13,1
Deborah Canty,,,,,,0,155,154,151,189,13,1
Deborah Cianfrani,,,,,,,0,153,150,157,9,1
Shanese Johnson,,,,,,,,0,150,154,7,1
Mark B Cohen,,,,,,,,,0,148,10,1
Dwayne Woodruff,,,,,,,,,,8,0,1
Sallie Mundy,,,,,,,,,,,5,1
Total,220,215,210,206,206,203,166,163,160,218,31,1
,Judge Of The Court Of Common Pleas,,,,,,,,,Justice Of The Supreme Court,,2
,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Vincent Furlong,Deborah Canty,Zac Shaffer,Mark B Cohen,Deborah Cianfrani,Shanese Johnson,Dwayne Woodruff,Sallie Mundy,2
Stella Tsai,0,199,194,180,189,185,152,154,154,190,17,2
Vikki Kristiansson,,0,194,181,191,186,150,154,153,184,15,2
Lucretia C Clemons,,,0,176,187,184,147,151,150,181,13,2
Vincent Furlong,,,,0,178,173,146,146,143,166,28,2
Deborah Canty,,,,,0,183,148,153,150,174,15,2
Zac Shaffer,,,,,,0,148,148,146,174,13,2
Mark B Cohen,,,,,,,0,149,146,147,8,2
Deborah Cianfrani,,,,,,,,0,150,145,9,2
Shanese Johnson,,,,,,,,,0,146,8,2
Dwayne Woodruff,,,,,,,,,,8,0,2
Sallie Mundy,,,,,,,,,,,8,2
Total,208,201,196,196,191,188,156,155,155,203,39,2
,Judge Of The Court Of Common Pleas,,,,,,,,,Justice Of The Supreme Court,,3
,Stella Tsai,Vikki Kristiansson,Lucretia C Clemons,Deborah Canty,Zac Shaffer,Vincent Furlong,Deborah Cianfrani,Mark B Cohen,Shanese Johnson,Dwayne Woodruff,Sallie Mundy,3
Stella Tsai,2,240,238,236,234,211,191,189,192,221,24,3
Vikki Kristiansson,,0,239,236,235,213,188,187,191,218,24,3
Lucretia C Clemons,,,0,236,233,213,190,190,192,216,23,3
Deborah Canty,,,,0,231,213,190,191,192,214,24,3
Zac Shaffer,,,,,0,212,187,190,188,213,23,3
Vincent Furlong,,,,,,0,173,175,175,192,37,3
Deborah Cianfrani,,,,,,,0,183,185,177,14,3
Mark B Cohen,,,,,,,,0,185,177,13,3
Shanese Johnson,,,,,,,,,0,177,13,3
Dwayne Woodruff,,,,,,,,,,12,0,3
Sallie Mundy,,,,,,,,,,,4,3
Total,250,245,242,241,239,231,193,193,193,240,45,3
,Justice Of The Supreme Court,,Judge Of The Court Of Common Pleas,,,,,,,,,4
,Dwayne Woodruff,Sallie Mundy,Stella Tsai,Vincent Furlong,Vikki Kristiansson,Lucretia C Clemons,Zac Shaffer,Deborah Canty,Shanese Johnson,Deborah Cianfrani,Mark B Cohen,4
Dwayne Woodruff,18,0,204,186,202,199,195,167,162,158,152,4
Sallie Mundy,,9,21,39,21,19,20,14,15,14,14,4
Stella Tsai,,,0,202,222,218,215,180,177,171,163,4
Vincent Furlong,,,,0,202,198,199,170,163,159,158,4
Vikki Kristiansson,,,,,0,218,214,181,175,171,163,4
Lucretia C Clemons,,,,,,0,213,178,174,170,163,4
Zac Shaffer,,,,,,,0,175,173,167,163,4
Deborah Canty,,,,,,,,0,143,139,136,4
Shanese Johnson,,,,,,,,,0,169,164,4
Deborah Cianfrani,,,,,,,,,,0,162,4
Mark B Cohen,,,,,,,,,,,1,4
Total,229,53,227,226,225,219,216,182,178,172,167,4
,Justice Of The Supreme Court,,Judge Of The Court Of Common Pleas,,,,,,,,,5
,Dwayne Woodruff,Sallie Mundy,Stella Tsai,Vikki Kristiansson,Vincent Furlong,Zac Shaffer,Deborah Canty,Lucretia C Clemons,Deborah Cianfrani,Mark B Cohen,Shanese Johnson,5
Dwayne Woodruff,12,0,187,183,160,178,178,179,150,145,150,5
