col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,Judge Of The Court Of Common Pleas,,,,,,,,,City Controller,,All
,Vincent Furlong,Vikki Kristiansson,Deborah Cianfrani,Stella Tsai,Lucretia C Clemons,Zac Shaffer,Deborah Canty,Mark B Cohen,Shanese Johnson,Michael Tomlinson,Rebecca Rhynhart,All
Vincent Furlong,56,"1,622","1,541","1,547","1,567","1,564","1,531","1,483","1,422","1,802","1,363",All
Vikki Kristiansson,,0,"1,533","1,600","1,610","1,574","1,561","1,437","1,461",351,"1,352",All
Deborah Cianfrani,,,7,"1,494","1,469","1,472","1,525","1,479","1,436",342,"1,330",All
Stella Tsai,,,,3,"1,566","1,518","1,530","1,408","1,450",309,"1,355",All
Lucretia C Clemons,,,,,2,"1,555","1,522","1,401","1,460",320,"1,312",All
Zac Shaffer,,,,,,7,"1,508","1,434","1,416",335,"1,291",All
Deborah Canty,,,,,,,3,"1,430","1,428",317,"1,328",All
Mark B Cohen,,,,,,,,16,"1,373",337,"1,271",All
Shanese Johnson,,,,,,,,,2,263,"1,224",All
Michael Tomlinson,,,,,,,,,,225,0,All
Rebecca Rhynhart,,,,,,,,,,,152,All
Total,"3,281","1,753","1,717","1,704","1,686","1,685","1,675","1,653","1,514","2,086","1,794",All
,Judge Of The Court Of Common Pleas,,,,,,,,,City Controller,,1
,Vincent Furlong,Deborah Canty,Vikki Kristiansson,Lucretia C Clemons,Mark B Cohen,Stella Tsai,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Michael Tomlinson,Rebecca Rhynhart,1
Vincent Furlong,2,58,59,57,57,56,56,52,51,74,51,1
Deborah Canty,,0,59,59,57,58,56,56,52,18,45,1
Vikki Kristiansson,,,0,60,57,58,57,55,54,17,46,1
Lucretia C Clemons,,,,0,56,58,56,55,54,17,45,1
Mark B Cohen,,,,,0,56,55,54,53,17,43,1
Stella Tsai,,,,,,0,55,54,53,15,45,1
Zac Shaffer,,,,,,,1,51,52,17,41,1
Deborah Cianfrani,,,,,,,,0,52,15,43,1
Shanese Johnson,,,,,,,,,0,14,39,1
Michael Tomlinson,,,,,,,,,,16,0,1
Rebecca Rhynhart,,,,,,,,,,,7,1
Total,128,64,64,63,61,61,60,59,54,93,65,1
,Judge Of The Court Of Common Pleas,,,,,,,,,City Controller,,2
,Vincent Furlong,Deborah Cianfrani,Stella Tsai,Vikki Kristiansson,Deborah Canty,Mark B Cohen,Lucretia C Clemons,Zac Shaffer,Shanese Johnson,Michael Tomlinson,Rebecca Rhynhart,2
Vincent Furlong,2,61,61,61,61,60,60,58,52,94,49,2
Deborah Cianfrani,,0,57,58,59,58,56,54,53,18,45,2
Stella Tsai,,,0,60,61,56,61,58,53,14,50,2
Vikki Kristiansson,,,,0,59,54,61,59,53,14,48,2
Deborah Canty,,,,,0,57,62,60,53,14,49,2
Mark B Cohen,,,,,,0,55,53,52,17,45,2
Lucretia C Clemons,,,,,,,0,60,53,11,48,2
Zac Shaffer,,,,,,,,0,51,11,47,2
Shanese Johnson,,,,,,,,,0,11,40,2
Michael Tomlinson,,,,,,,,,,10,0,2
Rebecca Rhynhart,,,,,,,,,,,8,2
Total,150,67,67,67,66,65,64,63,53,108,68,2
,Judge Of The Court Of Common Pleas,,,,,,,,,City Controller,,3
,Vincent Furlong,Deborah Cianfrani,Mark B Cohen,Stella Tsai,Vikki Kristiansson,Zac Shaffer,Deborah Canty,Lucretia C Clemons,Shanese Johnson,Michael Tomlinson,Rebecca Rhynhart,3
Vincent Furlong,2,72,72,70,70,70,69,66,63,120,56,3
Deborah Cianfrani,,0,70,68,70,66,68,63,65,22,56,3
Mark B Cohen,,,0,69,68,66,68,62,64,23,54,3
Stella Tsai,,,,0,72,70,71,67,66,18,59,3
Vikki Kristiansson,,,,,0,69,70,67,64,18,57,3
Zac Shaffer,,,,,,0,66,65,62,18,55,3
Deborah Canty,,,,,,,0,65,63,19,53,3
Lucretia C Clemons,,,,,,,,0,62,13,54,3
Shanese Johnson,,,,,,,,,0,13,52,3
Michael Tomlinson,,,,,,,,,,16,0,3
Rebecca Rhynhart,,,,,,,,,,,4,3
Total,180,80,78,78,77,74,73,68,67,137,74,3
,Judge Of The Court Of Common Pleas,,,,,,,,,City Controller,,4
