col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,division
,Judge Of The Superior Court,,,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,All
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Mary Murray,Craig Stedman,Wade A Kagarise,Jules Mermelstein,Stella Tsai,Vincent Furlong,Lucretia C Clemons,Vikki Kristiansson,Deborah Canty,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,All
Maria Mclaughlin,15,"2,132","2,085","1,933",46,64,28,24,170,"2,086","1,840","2,058","2,053","2,004","2,009","1,769","1,759","1,695",All
Carolyn H Nichols,,7,"2,090","1,948",11,45,26,15,196,"2,089","1,817","2,058","2,040","2,005","2,002","1,770","1,768","1,703",All
Debbie Kunselman,,,2,"1,962",42,40,36,9,183,"2,063","1,806","2,035","2,027","1,983","1,982","1,765","1,766","1,691",All
Geoff Moulton,,,,5,41,11,42,10,72,"1,921","1,710","1,910","1,894","1,849","1,875","1,640","1,642","1,591",All
Emil Giordano,,,,,5,256,267,251,10,79,294,74,90,80,77,60,47,54,All
Mary Murray,,,,,,2,244,247,16,78,287,66,75,81,60,75,65,68,All
Craig Stedman,,,,,,,0,240,8,80,283,70,78,81,73,59,46,55,All
Wade A Kagarise,,,,,,,,2,6,49,249,43,52,50,43,50,40,47,All
Jules Mermelstein,,,,,,,,,13,216,173,207,205,202,198,176,173,161,All
Stella Tsai,,,,,,,,,,2,"1,899","2,150","2,141","2,092","2,090","1,834","1,832","1,758",All
Vincent Furlong,,,,,,,,,,,13,"1,901","1,891","1,891","1,890","1,702","1,679","1,673",All
Lucretia C Clemons,,,,,,,,,,,,1,"2,123","2,083","2,086","1,823","1,834","1,757",All
Vikki Kristiansson,,,,,,,,,,,,,2,"2,075","2,074","1,821","1,816","1,751",All
Deborah Canty,,,,,,,,,,,,,,1,"2,032","1,829","1,821","1,767",All
Zac Shaffer,,,,,,,,,,,,,,,0,"1,786","1,786","1,760",All
Deborah Cianfrani,,,,,,,,,,,,,,,,1,"1,798","1,759",All
Shanese Johnson,,,,,,,,,,,,,,,,,1,"1,741",All
Mark B Cohen,,,,,,,,,,,,,,,,,,0,All
Total,"2,296","2,246","2,207","2,045",328,328,310,275,264,"2,256","2,210","2,205","2,203","2,155","2,146","1,899","1,872","1,810",All
,Judge Of The Court Of Common Pleas,,,,,,,,,Judge Of The Superior Court,,,,,,,,,1
,Vincent Furlong,Stella Tsai,Lucretia C Clemons,Deborah Canty,Vikki Kristiansson,Zac Shaffer,Deborah Cianfrani,Shanese Johnson,Mark B Cohen,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Emil Giordano,Craig Stedman,Mary Murray,Wade A Kagarise,Jules Mermelstein,1
Vincent Furlong,0,234,235,234,231,234,213,211,206,223,219,224,213,40,36,33,31,22,1
Stella Tsai,,0,251,247,250,249,226,223,215,242,237,242,228,14,11,7,7,22,1
Lucretia C Clemons,,,0,246,247,248,224,221,213,235,232,236,227,14,11,7,6,23,1
Deborah Canty,,,,0,242,242,223,222,214,230,230,232,221,15,12,8,8,23,1
Vikki Kristiansson,,,,,0,245,220,219,210,234,232,237,225,14,9,7,7,20,1
Zac Shaffer,,,,,,0,219,220,214,232,230,233,224,14,11,6,6,22,1
Deborah Cianfrani,,,,,,,0,222,216,214,217,216,204,9,7,8,6,22,1
Shanese Johnson,,,,,,,,0,213,211,213,212,202,9,7,6,5,22,1
Mark B Cohen,,,,,,,,,0,203,205,202,191,9,7,6,5,20,1
Maria Mclaughlin,,,,,,,,,,1,235,236,225,8,4,4,2,15,1
Carolyn H Nichols,,,,,,,,,,,1,235,228,2,2,3,3,20,1
Debbie Kunselman,,,,,,,,,,,,0,230,8,6,3,2,21,1
Geoff Moulton,,,,,,,,,,,,,0,8,6,1,1,12,1
Emil Giordano,,,,,,,,,,,,,,1,35,30,33,1,1
Craig Stedman,,,,,,,,,,,,,,,0,29,30,1,1
Mary Murray,,,,,,,,,,,,,,,,0,32,2,1
Wade A Kagarise,,,,,,,,,,,,,,,,,0,0,1
Jules Mermelstein,,,,,,,,,,,,,,,,,,1,1
Total,269,263,255,252,252,250,233,226,218,254,251,251,239,44,39,36,35,28,1
,Judge Of The Superior Court,,,,,,,,,Judge Of The Court Of Common Pleas,,,,,,,,,2
