col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,division
,City Controller,,Judge Of The Superior Court,,,,,,,,,All
,Rebecca Rhynhart,Michael Tomlinson,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Mary Murray,Emil Giordano,Wade A Kagarise,Craig Stedman,Jules Mermelstein,All
Rebecca Rhynhart,21,0,665,634,621,582,22,12,10,13,18,All
Michael Tomlinson,,9,41,29,38,24,135,130,124,120,7,All
Maria Mclaughlin,,,7,624,628,595,27,18,14,9,14,All
Carolyn H Nichols,,,,5,613,586,20,6,7,7,14,All
Debbie Kunselman,,,,,2,591,27,16,9,15,22,All
Geoff Moulton,,,,,,2,3,12,8,6,7,All
Mary Murray,,,,,,,1,127,122,118,8,All
Emil Giordano,,,,,,,,0,122,121,3,All
Wade A Kagarise,,,,,,,,,0,121,2,All
Craig Stedman,,,,,,,,,,1,4,All
Jules Mermelstein,,,,,,,,,,,3,All
Total,758,189,727,683,675,621,166,148,141,140,32,All
,City Controller,,Judge Of The Superior Court,,,,,,,,,1
,Rebecca Rhynhart,Michael Tomlinson,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Jules Mermelstein,1
Rebecca Rhynhart,0,0,39,35,36,33,1,0,0,0,2,1
Michael Tomlinson,,1,0,0,0,1,2,2,2,2,0,1
Maria Mclaughlin,,,0,35,35,33,1,0,0,0,2,1
Carolyn H Nichols,,,,1,34,33,0,0,0,0,1,1
Debbie Kunselman,,,,,0,32,1,0,0,0,2,1
Geoff Moulton,,,,,,0,0,0,0,0,0,1
Mary Murray,,,,,,,0,3,3,3,1,1
Craig Stedman,,,,,,,,0,3,3,0,1
Emil Giordano,,,,,,,,,0,3,0,1
Wade A Kagarise,,,,,,,,,,0,0,1
Jules Mermelstein,,,,,,,,,,,0,1
Total,40,4,39,36,36,34,4,3,3,3,2,1
,City Controller,,Judge Of The Superior Court,,,,,,,,,2
,Rebecca Rhynhart,Michael Tomlinson,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Craig Stedman,Mary Murray,Wade A Kagarise,Emil Giordano,Jules Mermelstein,2
Rebecca Rhynhart,1,0,36,32,30,30,1,1,0,0,0,2
Michael Tomlinson,,0,1,0,1,0,3,2,3,2,0,2
Maria Mclaughlin,,,0,30,31,30,2,1,1,0,0,2
Carolyn H Nichols,,,,0,28,29,0,0,0,0,0,2
Debbie Kunselman,,,,,0,29,2,1,1,0,0,2
Geoff Moulton,,,,,,0,0,0,0,0,0,2
Craig Stedman,,,,,,,0,3,3,2,0,2
Mary Murray,,,,,,,,0,2,2,0,2
Wade A Kagarise,,,,,,,,,0,2,0,2
Emil Giordano,,,,,,,,,,0,0,2
Jules Mermelstein,,,,,,,,,,,0,2
Total,39,3,37,32,31,30,4,3,3,2,0,2
,Judge Of The Superior Court,,,,,,,,,City Controller,,3
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Mary Murray,Emil Giordano,Wade A Kagarise,Craig Stedman,Jules Mermelstein,Rebecca Rhynhart,Michael Tomlinson,3
Maria Mclaughlin,0,34,33,33,1,2,1,0,1,36,1,3
Carolyn H Nichols,,0,32,32,1,0,0,0,1,34,1,3
Debbie Kunselman,,,0,31,1,1,0,0,0,31,1,3
Geoff Moulton,,,,0,0,1,1,0,1,33,0,3
Mary Murray,,,,,0,3,2,2,0,0,5,3
Emil Giordano,,,,,,0,3,2,0,1,3,3
Wade A Kagarise,,,,,,,0,2,0,1,2,3
Craig Stedman,,,,,,,,0,0,0,2,3
Jules Mermelstein,,,,,,,,,0,1,0,3
Rebecca Rhynhart,,,,,,,,,,0,0,3
Michael Tomlinson,,,,,,,,,,,0,3
Total,38,36,33,33,5,4,3,2,1,37,5,3
,City Controller,,Judge Of The Superior Court,,,,,,,,,4
,Rebecca Rhynhart,Michael Tomlinson,Carolyn H Nichols,Maria Mclaughlin,Debbie Kunselman,Geoff Moulton,Mary Murray,Wade A Kagarise,Craig Stedman,Emil Giordano,Jules Mermelstein,4
Rebecca Rhynhart,1,0,41,41,36,36,1,0,0,0,1,4
Michael Tomlinson,,0,1,1,1,1,5,5,5,5,0,4
Carolyn H Nichols,,,0,40,38,38,1,0,0,0,1,4
Maria Mclaughlin,,,,0,38,39,0,0,0,0,0,4
Debbie Kunselman,,,,,0,38,1,0,0,0,1,4
Geoff Moulton,,,,,,0,0,0,0,0,0,4
Mary Murray,,,,,,,0,6,6,5,1,4
Wade A Kagarise,,,,,,,,0,6,6,0,4
Craig Stedman,,,,,,,,,0,5,0,4
Emil Giordano,,,,,,,,,,0,0,4
Jules Mermelstein,,,,,,,,,,,0,4
Total,46,6,44,44,39,39,7,7,6,6,1,4
,Judge Of The Superior Court,,,,,,,,,City Controller,,5
,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Mary Murray,Craig Stedman,Emil Giordano,Wade A Kagarise,Jules Mermelstein,Rebecca Rhynhart,Michael Tomlinson,5
Maria Mclaughlin,2,26,24,23,0,0,0,0,2,26,1,5
Carolyn H Nichols,,0,26,24,0,0,0,0,4,24,1,5
Debbie Kunselman,,,0,22,0,0,0,0,4,23,2,5
Geoff Moulton,,,,0,0,0,0,0,1,22,0,5
Mary Murray,,,,,0,10,10,10,0,0,10,5
Craig Stedman,,,,,,0,10,10,0,0,9,5
Emil Giordano,,,,,,,0,10,0,0,9,5
Wade A Kagarise,,,,,,,,0,0,0,9,5
Jules Mermelstein,,,,,,,,,0,1,2,5
Rebecca Rhynhart,,,,,,,,,,0,0,5
Michael Tomlinson,,,,,,,,,,,0,5
Total,32,29,28,24,11,10,10,10,5,29,13,5
,City Controller,,Judge Of The Superior Court,,,,,,,,,6
,Rebecca Rhynhart,Michael Tomlinson,Maria Mclaughlin,Carolyn H Nichols,Debbie Kunselman,Geoff Moulton,Mary Murray,Emil Giordano,Wade A Kagarise,Craig Stedman,Jules Mermelstein,6
Rebecca Rhynhart,1,0,38,35,33,31,1,0,0,0,1,6
Michael Tomlinson,,0,0,0,0,0,5,4,5,4,0,6
Maria Mclaughlin,,,0,32,32,31,1,0,0,0,1,6
Carolyn H Nichols,,,,0,33,30,2,0,0,0,1,6
Debbie Kunselman,,,,,1,31,2,0,0,0,2,6
Geoff Moulton,,,,,,0,0,0,0,0,1,6
Mary Murray,,,,,,,0,5,5,4,2,6
Emil Giordano,,,,,,,,0,4,4,1,6
Wade A Kagarise,,,,,,,,,0,4,0,6
